name,value,network
L_6v_ROI,-0.049191739120471,Somatomotor
R_PH_ROI,0.043694466323402,Visual2
R_FST_ROI,0.042993876371029,Visual2
DIENCEPHALON_VENTRAL_LEFT,0.042786845435448,Subcortex
R_STSvp_ROI,-0.041112456081172,Default
L_AVI_ROI,0.038195623834123,Frontoparietal
R_MIP_ROI,0.037874407082492,Dorsal_Attention
R_7PL_ROI,0.037307476404929,Dorsal_Attention
R_LO1_ROI,0.03602202471974,Visual2
R_8BM_ROI,0.035717385917229,Frontoparietal
HIPPOCAMPUS_LEFT,-0.035182025237681,Subcortex
L_IFJa_ROI,0.034572615923062,Language
L_RI_ROI,0.033370544740409,Auditory
R_AVI_ROI,0.033197421611951,Frontoparietal
L_a32pr_ROI,0.033170595918366,Cingulo-Opercular
L_V8_ROI,0.032210838451387,Visual2
L_43_ROI,-0.031014035590069,Cingulo-Opercular
L_V2_ROI,-0.030868366015656,Visual2
L_OP1_ROI,-0.030727221888428,Somatomotor
R_FFC_ROI,0.030716511048472,Visual2
R_VMV2_ROI,-0.030516691573212,Visual2
L_IP0_ROI,-0.030427138776833,Dorsal_Attention
L_PSL_ROI,0.030314608888347,Language
R_PFm_ROI,-0.030115377682007,Frontoparietal
L_PCV_ROI,-0.02990488110716,Posterior_Multimodal
R_IPS1_ROI,0.029095347802911,Visual2
L_31a_ROI,-0.028959030795738,Default
L_A1_ROI,-0.028905896546539,Auditory
R_STSdp_ROI,0.028761755617306,Language
R_STGa_ROI,-0.028340760911182,Language
L_V3B_ROI,-0.028330627670912,Visual2
ACCUMBENS_LEFT,0.02811279381013,Subcortex
L_7AL_ROI,0.027670159351333,Somatomotor
L_PFm_ROI,-0.027597330913896,Frontoparietal
R_PCV_ROI,-0.027252452282318,Posterior_Multimodal
R_8C_ROI,0.027130039517155,Frontoparietal
R_A4_ROI,-0.026814345483462,Auditory
R_V7_ROI,-0.026623650153592,Visual2
L_6d_ROI,0.026583961271928,Somatomotor
L_8C_ROI,0.026583923968773,Frontoparietal
L_v23ab_ROI,0.02633698347126,Default
L_A5_ROI,0.024780319334572,Language
L_PoI1_ROI,-0.024733941449444,Cingulo-Opercular
R_IFJa_ROI,0.024610722929268,Language
L_LO3_ROI,0.024480990449972,Visual2
R_PGi_ROI,-0.024337475013788,Default
R_9p_ROI,-0.024321612945625,Default
R_6a_ROI,0.024100982992028,Dorsal_Attention
L_STSvp_ROI,0.023947602338576,Default
R_RSC_ROI,0.023819618406701,Frontoparietal
R_OP4_ROI,-0.023737486578218,Somatomotor
R_SFL_ROI,-0.023586453444579,Language
R_11l_ROI,0.023455312903929,Frontoparietal
L_PoI2_ROI,-0.023433365400518,Cingulo-Opercular
L_7Am_ROI,0.023331043696585,Cingulo-Opercular
L_VMV3_ROI,-0.023259495493416,Visual2
L_p10p_ROI,-0.02320490324067,Frontoparietal
L_TPOJ1_ROI,0.023176056159831,Language
L_10d_ROI,-0.02284576082741,Default
L_Pir_ROI,0.022472645552101,Orbito-Affective
R_TF_ROI,0.022402405675541,Ventral_Multimodal
L_LBelt_ROI,0.022351841915041,Auditory
L_MST_ROI,-0.022267405485916,Visual2
L_V4t_ROI,0.021921836452166,Visual2
R_TPOJ3_ROI,0.021890395983675,Posterior_Multimodal
L_STSdp_ROI,0.021867528929445,Language
R_6r_ROI,0.021827514340099,Cingulo-Opercular
R_VMV3_ROI,-0.021820198368915,Visual2
R_p32pr_ROI,-0.021666785181913,Cingulo-Opercular
L_IFJp_ROI,0.021663958293307,Frontoparietal
R_IFSa_ROI,0.021384027682835,Cingulo-Opercular
R_v23ab_ROI,-0.021356587516609,Default
R_a9-46v_ROI,0.021312754719929,Frontoparietal
R_45_ROI,0.021244852289588,Language
R_6v_ROI,-0.021232065598094,Somatomotor
R_i6-8_ROI,0.020989149986773,Frontoparietal
