name,value,network
R_V1_ROI,0,Visual1
R_MST_ROI,0,Visual2
R_V6_ROI,0,Visual2
R_V2_ROI,0,Visual2
R_V3_ROI,0,Visual2
R_V4_ROI,0,Visual2
R_V8_ROI,0,Visual2
R_4_ROI,-0.022794702801755,Somatomotor
R_3b_ROI,0,Somatomotor
R_FEF_ROI,0,Cingulo-Opercular
R_PEF_ROI,0,Cingulo-Opercular
R_55b_ROI,0,Language
R_V3A_ROI,0,Visual2
R_RSC_ROI,0,Frontoparietal
R_POS2_ROI,0,Frontoparietal
R_V7_ROI,0,Visual2
R_IPS1_ROI,0,Visual2
R_FFC_ROI,0,Visual2
R_V3B_ROI,0,Visual2
R_LO1_ROI,0,Visual2
R_LO2_ROI,0,Visual2
R_PIT_ROI,0,Visual2
R_MT_ROI,0,Visual2
R_A1_ROI,0,Auditory
R_PSL_ROI,0,Cingulo-Opercular
R_SFL_ROI,0,Language
R_PCV_ROI,0,Posterior_Multimodal
R_STV_ROI,0,Posterior_Multimodal
R_7Pm_ROI,0,Frontoparietal
R_7m_ROI,0,Default
R_POS1_ROI,0,Default
R_23d_ROI,0,Default
R_v23ab_ROI,0,Default
R_d23ab_ROI,0,Default
R_31pv_ROI,0,Default
R_5m_ROI,0,Somatomotor
R_5mv_ROI,0,Cingulo-Opercular
R_23c_ROI,0,Cingulo-Opercular
R_5L_ROI,0,Somatomotor
R_24dd_ROI,0,Somatomotor
R_24dv_ROI,0,Somatomotor
R_7AL_ROI,0,Somatomotor
R_SCEF_ROI,0,Cingulo-Opercular
R_6ma_ROI,0,Cingulo-Opercular
R_7Am_ROI,0,Cingulo-Opercular
R_7PL_ROI,0,Dorsal_Attention
R_7PC_ROI,0,Somatomotor
R_LIPv_ROI,0,Visual2
R_VIP_ROI,0,Visual2
R_MIP_ROI,0,Dorsal_Attention
R_1_ROI,0,Somatomotor
R_2_ROI,0,Somatomotor
R_3a_ROI,-0.011391105522627,Somatomotor
R_6d_ROI,0,Somatomotor
R_6mp_ROI,0,Somatomotor
R_6v_ROI,0,Somatomotor
R_p24pr_ROI,0,Cingulo-Opercular
R_33pr_ROI,0,Frontoparietal
R_a24pr_ROI,0,Cingulo-Opercular
R_p32pr_ROI,0,Cingulo-Opercular
R_a24_ROI,0,Default
R_d32_ROI,0,Frontoparietal
R_8BM_ROI,0,Frontoparietal
R_p32_ROI,0,Default
R_10r_ROI,0,Default
R_47m_ROI,0,Default
R_8Av_ROI,0,Default
R_8Ad_ROI,0,Default
R_9m_ROI,0,Default
R_8BL_ROI,0,Default
R_9p_ROI,0,Default
R_10d_ROI,0,Default
R_8C_ROI,0,Frontoparietal
R_44_ROI,0,Frontoparietal
R_45_ROI,0,Language
R_47l_ROI,0,Default
R_a47r_ROI,0,Frontoparietal
R_6r_ROI,0,Cingulo-Opercular
R_IFJa_ROI,0,Language
R_IFJp_ROI,0.007452365105762,Frontoparietal
R_IFSp_ROI,0,Frontoparietal
R_IFSa_ROI,0,Cingulo-Opercular
R_p9-46v_ROI,0.000377019485542,Frontoparietal
R_46_ROI,0,Cingulo-Opercular
R_a9-46v_ROI,0,Frontoparietal
R_9-46d_ROI,0,Cingulo-Opercular
R_9a_ROI,0,Default
R_10v_ROI,0,Default
R_a10p_ROI,0,Frontoparietal
R_10pp_ROI,0,Default
R_11l_ROI,0,Frontoparietal
R_13l_ROI,0,Frontoparietal
R_OFC_ROI,0,Frontoparietal
R_47s_ROI,0,Default
R_LIPd_ROI,0.073380124894155,Dorsal_Attention
R_6a_ROI,0,Dorsal_Attention
R_i6-8_ROI,0,Frontoparietal
R_s6-8_ROI,0,Frontoparietal
R_43_ROI,0,Cingulo-Opercular
R_OP4_ROI,0,Somatomotor
R_OP1_ROI,0,Somatomotor
R_OP2-3_ROI,0,Somatomotor
R_52_ROI,0,Auditory
R_RI_ROI,0,Somatomotor
R_PFcm_ROI,0,Cingulo-Opercular
R_PoI2_ROI,0,Cingulo-Opercular
R_TA2_ROI,0,Auditory
R_FOP4_ROI,0,Cingulo-Opercular
R_MI_ROI,0,Cingulo-Opercular
R_Pir_ROI,0,Orbito-Affective
R_AVI_ROI,0,Frontoparietal
R_AAIC_ROI,0,Orbito-Affective
R_FOP1_ROI,0,Cingulo-Opercular
R_FOP3_ROI,0,Cingulo-Opercular
R_FOP2_ROI,0,Somatomotor
R_PFt_ROI,0,Dorsal_Attention
R_AIP_ROI,0.013618988999056,Dorsal_Attention
R_EC_ROI,0,Default
R_PreS_ROI,0,Default
R_H_ROI,0,Default
R_ProS_ROI,0,Visual1
R_PeEc_ROI,0,Ventral_Multimodal
R_STGa_ROI,0,Language
R_PBelt_ROI,0,Auditory
R_A5_ROI,0,Language
R_PHA1_ROI,0,Default
R_PHA3_ROI,0,Dorsal_Attention
R_STSda_ROI,0,Default
R_STSdp_ROI,0,Language
R_STSvp_ROI,0,Default
R_TGd_ROI,0,Default
R_TE1a_ROI,0,Default
R_TE1p_ROI,0,Frontoparietal
R_TE2a_ROI,0,Default
R_TF_ROI,-0.020826087819359,Ventral_Multimodal
R_TE2p_ROI,0,Dorsal_Attention
R_PHT_ROI,0,Dorsal_Attention
R_PH_ROI,0,Visual2
R_TPOJ1_ROI,0,Language
R_TPOJ2_ROI,0,Posterior_Multimodal
R_TPOJ3_ROI,0,Posterior_Multimodal
R_DVT_ROI,0,Visual1
R_PGp_ROI,0,Dorsal_Attention
R_IP2_ROI,0,Frontoparietal
R_IP1_ROI,0,Frontoparietal
R_IP0_ROI,0,Dorsal_Attention
R_PFop_ROI,0,Cingulo-Opercular
R_PF_ROI,0,Cingulo-Opercular
R_PFm_ROI,0,Frontoparietal
R_PGi_ROI,0,Default
R_PGs_ROI,0,Default
R_V6A_ROI,0,Visual2
R_VMV1_ROI,0,Visual2
R_VMV3_ROI,0,Visual2
R_PHA2_ROI,0,Default
R_V4t_ROI,0,Visual2
R_FST_ROI,0,Visual2
R_V3CD_ROI,0,Visual2
R_LO3_ROI,0,Visual2
R_VMV2_ROI,0,Visual2
R_31pd_ROI,0,Default
R_31a_ROI,0,Frontoparietal
R_VVC_ROI,0,Visual2
R_25_ROI,0,Default
R_s32_ROI,0,Default
R_pOFC_ROI,0,Orbito-Affective
R_PoI1_ROI,0,Cingulo-Opercular
R_Ig_ROI,0,Somatomotor
R_FOP5_ROI,0,Cingulo-Opercular
R_p10p_ROI,0,Frontoparietal
R_p47r_ROI,0,Frontoparietal
R_TGv_ROI,0,Language
R_MBelt_ROI,0,Auditory
R_LBelt_ROI,0,Auditory
R_A4_ROI,0,Auditory
R_STSva_ROI,0,Default
R_TE1m_ROI,0,Frontoparietal
R_PI_ROI,0,Cingulo-Opercular
R_a32pr_ROI,0,Cingulo-Opercular
R_p24_ROI,0,Cingulo-Opercular
L_V1_ROI,0,Visual1
L_MST_ROI,0,Visual2
L_V6_ROI,0,Visual2
L_V2_ROI,0,Visual2
L_V3_ROI,0,Visual2
L_V4_ROI,0,Visual2
L_V8_ROI,0,Visual2
L_4_ROI,0,Somatomotor
L_3b_ROI,-0.018699354858604,Somatomotor
L_FEF_ROI,0,Cingulo-Opercular
L_PEF_ROI,0,Dorsal_Attention
L_55b_ROI,0,Language
L_V3A_ROI,0,Visual2
L_RSC_ROI,0,Frontoparietal
L_POS2_ROI,0,Frontoparietal
L_V7_ROI,0,Visual2
L_IPS1_ROI,0.002336489095478,Visual2
L_FFC_ROI,0,Visual2
L_V3B_ROI,-0.025917643143753,Visual2
L_LO1_ROI,0,Visual2
L_LO2_ROI,0,Visual2
L_PIT_ROI,0,Visual2
L_MT_ROI,0,Visual2
L_A1_ROI,0,Auditory
L_PSL_ROI,0,Language
L_SFL_ROI,0,Language
L_PCV_ROI,0,Posterior_Multimodal
L_STV_ROI,0,Language
L_7Pm_ROI,0,Frontoparietal
L_7m_ROI,0,Default
L_POS1_ROI,-0.021186798704189,Default
L_23d_ROI,0,Default
L_v23ab_ROI,0,Default
L_d23ab_ROI,0,Default
L_31pv_ROI,0,Default
L_5m_ROI,-0.002991745272234,Somatomotor
L_5mv_ROI,0,Cingulo-Opercular
L_23c_ROI,0,Cingulo-Opercular
L_5L_ROI,-0.008030291886542,Somatomotor
L_24dd_ROI,0,Somatomotor
L_24dv_ROI,0,Somatomotor
L_7AL_ROI,0,Somatomotor
L_SCEF_ROI,0,Cingulo-Opercular
L_6ma_ROI,0,Cingulo-Opercular
L_7Am_ROI,0,Cingulo-Opercular
L_7PL_ROI,0,Dorsal_Attention
L_7PC_ROI,0,Somatomotor
L_LIPv_ROI,0,Visual2
L_VIP_ROI,0,Visual2
L_MIP_ROI,0,Dorsal_Attention
L_1_ROI,0,Somatomotor
L_2_ROI,0,Somatomotor
L_3a_ROI,0,Somatomotor
L_6d_ROI,0,Somatomotor
L_6mp_ROI,0,Somatomotor
L_6v_ROI,0,Somatomotor
L_p24pr_ROI,0,Cingulo-Opercular
L_33pr_ROI,0,Cingulo-Opercular
L_a24pr_ROI,0,Cingulo-Opercular
L_p32pr_ROI,0,Cingulo-Opercular
L_a24_ROI,0,Default
L_d32_ROI,0,Default
L_8BM_ROI,0,Frontoparietal
L_p32_ROI,0,Default
L_10r_ROI,0,Default
