name,value,network
R_LIPd_ROI,0.073380124894155,Dorsal_Attention
L_LIPd_ROI,0.053494586045725,Dorsal_Attention
CEREBELLUM_LEFT,0.042859920557589,Subcortex
L_IP2_ROI,0.036243975244781,Frontoparietal
L_V3B_ROI,-0.025917643143753,Visual2
R_4_ROI,-0.022794702801755,Somatomotor
HIPPOCAMPUS_RIGHT,-0.022605053120451,Subcortex
L_AIP_ROI,0.021294107308139,Dorsal_Attention
L_POS1_ROI,-0.021186798704189,Default
L_V4t_ROI,-0.020882836428316,Visual2
R_TF_ROI,-0.020826087819359,Ventral_Multimodal
L_3b_ROI,-0.018699354858604,Somatomotor
L_TF_ROI,-0.018417891495951,Ventral_Multimodal
THALAMUS_LEFT,0.014834815265541,Subcortex
R_AIP_ROI,0.013618988999056,Dorsal_Attention
R_3a_ROI,-0.011391105522627,Somatomotor
HIPPOCAMPUS_LEFT,-0.010997880523612,Subcortex
L_5L_ROI,-0.008030291886542,Somatomotor
L_TE2a_ROI,-0.007795685434139,Default
R_IFJp_ROI,0.007452365105762,Frontoparietal
L_TE1m_ROI,-0.005900613279859,Default
L_5m_ROI,-0.002991745272234,Somatomotor
L_VMV2_ROI,-0.002555411968909,Visual2
L_IPS1_ROI,0.002336489095478,Visual2
L_OP2-3_ROI,-0.00208135257067,Somatomotor
R_p9-46v_ROI,0.000377019485542,Frontoparietal
