name,value,network
R_V1_ROI,0.00631719982065,Visual1
R_MST_ROI,-0.022529412171087,Visual2
R_V6_ROI,0.008755097506685,Visual2
R_V2_ROI,0.014934009132216,Visual2
R_V3_ROI,-0.014368668867268,Visual2
R_V4_ROI,0.003564430013778,Visual2
R_V8_ROI,-0.003238599625477,Visual2
R_4_ROI,-0.018477136761627,Somatomotor
R_3b_ROI,-0.012353976857327,Somatomotor
R_FEF_ROI,0.008651889199863,Cingulo-Opercular
R_PEF_ROI,-0.005571326715534,Cingulo-Opercular
R_55b_ROI,-0.004199121299929,Language
R_V3A_ROI,-0.023219962146277,Visual2
R_RSC_ROI,0.008589039880078,Frontoparietal
R_POS2_ROI,0.003151074767636,Frontoparietal
R_V7_ROI,-0.014399480395352,Visual2
R_IPS1_ROI,0.00332567907765,Visual2
R_FFC_ROI,-0.004059538478169,Visual2
R_V3B_ROI,-0.013497607274596,Visual2
R_LO1_ROI,-0.028439083211259,Visual2
R_LO2_ROI,0.01461381512611,Visual2
R_PIT_ROI,-6.18589203944422E-05,Visual2
R_MT_ROI,0.011643878102456,Visual2
R_A1_ROI,-0.028239180738795,Auditory
R_PSL_ROI,-0.014095829992936,Cingulo-Opercular
R_SFL_ROI,0.012662648058716,Language
R_PCV_ROI,-0.008664084273204,Posterior_Multimodal
R_STV_ROI,-0.0194499262486,Posterior_Multimodal
R_7Pm_ROI,-0.001580939896393,Frontoparietal
R_7m_ROI,-0.008184301058543,Default
R_POS1_ROI,0.016174055020471,Default
R_23d_ROI,-0.012291586171228,Default
R_v23ab_ROI,0.002911144363218,Default
R_d23ab_ROI,-0.004770473911512,Default
R_31pv_ROI,0.004622059529747,Default
R_5m_ROI,-0.011279112257026,Somatomotor
R_5mv_ROI,-0.012707454738656,Cingulo-Opercular
R_23c_ROI,0.014700551333697,Cingulo-Opercular
R_5L_ROI,-0.0209134800631,Somatomotor
R_24dd_ROI,-0.010383316826187,Somatomotor
R_24dv_ROI,-0.001850615034681,Somatomotor
R_7AL_ROI,-0.005351411582124,Somatomotor
R_SCEF_ROI,0.017603335499503,Cingulo-Opercular
R_6ma_ROI,0.021315407968419,Cingulo-Opercular
R_7Am_ROI,0.003326805212087,Cingulo-Opercular
R_7PL_ROI,2.50295783688538E-05,Dorsal_Attention
R_7PC_ROI,-0.009974242693804,Somatomotor
R_LIPv_ROI,-0.018521366589417,Visual2
R_VIP_ROI,-0.019004527481753,Visual2
R_MIP_ROI,-0.009097708046568,Dorsal_Attention
R_1_ROI,-0.023168897788322,Somatomotor
R_2_ROI,-0.002849281037119,Somatomotor
R_3a_ROI,-0.010220377550505,Somatomotor
R_6d_ROI,0.000123847900041,Somatomotor
R_6mp_ROI,-0.00835188015372,Somatomotor
R_6v_ROI,-0.016623725074868,Somatomotor
R_p24pr_ROI,0.016514365648105,Cingulo-Opercular
R_33pr_ROI,0.011346766412379,Frontoparietal
R_a24pr_ROI,-0.000239062149763,Cingulo-Opercular
R_p32pr_ROI,-0.000312128628753,Cingulo-Opercular
R_a24_ROI,0.006117024779994,Default
R_d32_ROI,-0.00656139277386,Frontoparietal
R_8BM_ROI,0.010201869511532,Frontoparietal
R_p32_ROI,0.01760570211678,Default
R_10r_ROI,-0.017023166123733,Default
R_47m_ROI,0.009450182355102,Default
R_8Av_ROI,-0.008647172052273,Default
R_8Ad_ROI,-0.017332586710397,Default
R_9m_ROI,-0.00179699804841,Default
R_8BL_ROI,-0.002147281116448,Default
R_9p_ROI,-0.018042250305679,Default
R_10d_ROI,-0.001812258783242,Default
R_8C_ROI,-0.005840496145712,Frontoparietal
R_44_ROI,-0.00232265389985,Frontoparietal
R_45_ROI,0.015373462861015,Language
R_47l_ROI,-0.010892054768935,Default
R_a47r_ROI,-0.001533561618163,Frontoparietal
R_6r_ROI,0.001278062379582,Cingulo-Opercular
R_IFJa_ROI,-0.009310973952702,Language
R_IFJp_ROI,0.006314591894179,Frontoparietal
R_IFSp_ROI,-0.010577806451056,Frontoparietal
R_IFSa_ROI,-0.006981333080048,Cingulo-Opercular
R_p9-46v_ROI,0.00395419919817,Frontoparietal
R_46_ROI,0.012416961049568,Cingulo-Opercular
R_a9-46v_ROI,0.010764061919374,Frontoparietal
R_9-46d_ROI,-0.009322290866699,Cingulo-Opercular
R_9a_ROI,-0.00580147784462,Default
R_10v_ROI,-0.01812260358574,Default
R_a10p_ROI,0.018012247152815,Frontoparietal
R_10pp_ROI,0.015440653087167,Default
R_11l_ROI,0.015763664620459,Frontoparietal
R_13l_ROI,0.017016337486447,Frontoparietal
R_OFC_ROI,0.005255408541558,Frontoparietal
R_47s_ROI,0.003944417170704,Default
R_LIPd_ROI,0.008632610506952,Dorsal_Attention
R_6a_ROI,0.00126453110167,Dorsal_Attention
R_i6-8_ROI,0.017866063285787,Frontoparietal
R_s6-8_ROI,0.001488206384978,Frontoparietal
R_43_ROI,-0.02611590312064,Cingulo-Opercular
R_OP4_ROI,-0.016928156080413,Somatomotor
R_OP1_ROI,-0.002687625761631,Somatomotor
R_OP2-3_ROI,-0.000188194287988,Somatomotor
R_52_ROI,-0.014375990072765,Auditory
R_RI_ROI,-0.016291618797498,Somatomotor
R_PFcm_ROI,-0.012682944024588,Cingulo-Opercular
R_PoI2_ROI,0.007767580612819,Cingulo-Opercular
R_TA2_ROI,0.002597602655055,Auditory
R_FOP4_ROI,-0.003485353152598,Cingulo-Opercular
R_MI_ROI,-0.011561828381026,Cingulo-Opercular
R_Pir_ROI,0.002333939460477,Orbito-Affective
R_AVI_ROI,-0.016909501461003,Frontoparietal
R_AAIC_ROI,-0.009871229897792,Orbito-Affective
R_FOP1_ROI,-0.030597682992147,Cingulo-Opercular
R_FOP3_ROI,0.009057414752817,Cingulo-Opercular
R_FOP2_ROI,0.008734409524851,Somatomotor
R_PFt_ROI,0.003686769603948,Dorsal_Attention
R_AIP_ROI,0.024319365388685,Dorsal_Attention
R_EC_ROI,-0.006677329064201,Default
R_PreS_ROI,0.018530156998847,Default
R_H_ROI,0.014495362290593,Default
R_ProS_ROI,0.022869215012764,Visual1
R_PeEc_ROI,0.014880525991831,Ventral_Multimodal
R_STGa_ROI,-0.004864764325963,Language
R_PBelt_ROI,-0.014734725926627,Auditory
R_A5_ROI,-0.011770095695107,Language
R_PHA1_ROI,-0.003972783960415,Default
R_PHA3_ROI,0.010525493232206,Dorsal_Attention
R_STSda_ROI,-0.013021561505068,Default
R_STSdp_ROI,0.002507410460603,Language
R_STSvp_ROI,-0.004126357370505,Default
R_TGd_ROI,-0.006709178047216,Default
R_TE1a_ROI,-0.014096804642553,Default
R_TE1p_ROI,-0.031197044129773,Frontoparietal
R_TE2a_ROI,-0.002107755566889,Default
R_TF_ROI,-0.01725109170881,Ventral_Multimodal
R_TE2p_ROI,0.012757972820119,Dorsal_Attention
R_PHT_ROI,0.008154775747411,Dorsal_Attention
R_PH_ROI,0.013146298559027,Visual2
R_TPOJ1_ROI,-0.013491944440211,Language
R_TPOJ2_ROI,0.021632278814376,Posterior_Multimodal
R_TPOJ3_ROI,0.01121028567649,Posterior_Multimodal
R_DVT_ROI,-0.015239574197713,Visual1
R_PGp_ROI,0.000598583327739,Dorsal_Attention
R_IP2_ROI,0.003821474576893,Frontoparietal
R_IP1_ROI,0.005692118513524,Frontoparietal
R_IP0_ROI,-0.012225867169776,Dorsal_Attention
R_PFop_ROI,-0.004359753198479,Cingulo-Opercular
R_PF_ROI,-0.006036605926019,Cingulo-Opercular
R_PFm_ROI,-0.011491714675347,Frontoparietal
R_PGi_ROI,-0.014835061236923,Default
R_PGs_ROI,0.014220529603525,Default
R_V6A_ROI,-0.026136112261191,Visual2
R_VMV1_ROI,0.020362586323448,Visual2
R_VMV3_ROI,-0.027045341956192,Visual2
R_PHA2_ROI,-0.003039849907419,Default
R_V4t_ROI,-0.00204505629165,Visual2
R_FST_ROI,-0.013114052136505,Visual2
R_V3CD_ROI,-0.014453250049566,Visual2
R_LO3_ROI,-0.03251967042592,Visual2
R_VMV2_ROI,-0.011276984311756,Visual2
R_31pd_ROI,-0.013569541096676,Default
R_31a_ROI,0.001918998498724,Frontoparietal
R_VVC_ROI,0.014549041502,Visual2
R_25_ROI,-0.009836687723048,Default
R_s32_ROI,-0.004367785223542,Default
R_pOFC_ROI,-6.42793258864102E-05,Orbito-Affective
R_PoI1_ROI,0.00552223259404,Cingulo-Opercular
R_Ig_ROI,0.000631748921226,Somatomotor
R_FOP5_ROI,-0.0155089917758,Cingulo-Opercular
R_p10p_ROI,0.01101494345657,Frontoparietal
R_p47r_ROI,-0.013023071731623,Frontoparietal
R_TGv_ROI,-0.013359235124757,Language
R_MBelt_ROI,-0.031893083006573,Auditory
R_LBelt_ROI,-0.032355129764548,Auditory
R_A4_ROI,-0.020021144808935,Auditory
R_STSva_ROI,-0.01770481128517,Default
R_TE1m_ROI,-0.005874614501324,Frontoparietal
R_PI_ROI,-0.002183434247339,Cingulo-Opercular
R_a32pr_ROI,0.004781978636478,Cingulo-Opercular
R_p24_ROI,0.005971357831092,Cingulo-Opercular
L_V1_ROI,0.006837075315197,Visual1
L_MST_ROI,-0.004967007254044,Visual2
L_V6_ROI,0.013424804432453,Visual2
L_V2_ROI,0.022201392450857,Visual2
L_V3_ROI,-0.013289938676459,Visual2
L_V4_ROI,-0.01416005275763,Visual2
L_V8_ROI,0.002009111492624,Visual2
L_4_ROI,-0.003700423258862,Somatomotor
L_3b_ROI,0.018532983792973,Somatomotor
L_FEF_ROI,-0.019720337407693,Cingulo-Opercular
L_PEF_ROI,0.021195063686261,Dorsal_Attention
L_55b_ROI,0.002645754071631,Language
L_V3A_ROI,0.010722723047999,Visual2
L_RSC_ROI,-0.00867867105043,Frontoparietal
L_POS2_ROI,-0.004071220728901,Frontoparietal
L_V7_ROI,-0.000969469966189,Visual2
L_IPS1_ROI,-0.016078335476176,Visual2
L_FFC_ROI,-0.012912172524547,Visual2
L_V3B_ROI,0.012131161065854,Visual2
L_LO1_ROI,-0.019999072574728,Visual2
L_LO2_ROI,-0.002885919225424,Visual2
L_PIT_ROI,-0.022969859581617,Visual2
L_MT_ROI,0.032839009894856,Visual2
L_A1_ROI,-0.002693008348252,Auditory
L_PSL_ROI,0.007754402198568,Language
L_SFL_ROI,-0.003599609015351,Language
L_PCV_ROI,0.028796601231914,Posterior_Multimodal
L_STV_ROI,0.006659439255769,Language
L_7Pm_ROI,0.004560780874274,Frontoparietal
L_7m_ROI,-0.016128251740138,Default
L_POS1_ROI,0.007061359057356,Default
L_23d_ROI,-0.003521739094489,Default
L_v23ab_ROI,-0.007616829321325,Default
L_d23ab_ROI,0.010440436629191,Default
L_31pv_ROI,-0.014499911918408,Default
L_5m_ROI,-0.006812285316964,Somatomotor
L_5mv_ROI,-0.009805364182527,Cingulo-Opercular
L_23c_ROI,0.006808044578381,Cingulo-Opercular
L_5L_ROI,-0.010142115530965,Somatomotor
L_24dd_ROI,0.02523066910995,Somatomotor
L_24dv_ROI,0.021981224624992,Somatomotor
L_7AL_ROI,-3.17759861970446E-05,Somatomotor
L_SCEF_ROI,0.004666002446143,Cingulo-Opercular
L_6ma_ROI,-0.002172724968933,Cingulo-Opercular
L_7Am_ROI,-0.002523847964392,Cingulo-Opercular
L_7PL_ROI,-0.005712713107785,Dorsal_Attention
L_7PC_ROI,0.014174895168741,Somatomotor
L_LIPv_ROI,-0.003227124037937,Visual2
L_VIP_ROI,-0.016177285540621,Visual2
L_MIP_ROI,-0.013587008583036,Dorsal_Attention
L_1_ROI,0.019195835423087,Somatomotor
L_2_ROI,0.029521345636919,Somatomotor
L_3a_ROI,0.009721539186186,Somatomotor
L_6d_ROI,0.030936755173224,Somatomotor
L_6mp_ROI,0.013630590110986,Somatomotor
L_6v_ROI,-0.028124264719386,Somatomotor
L_p24pr_ROI,0.014958965723255,Cingulo-Opercular
L_33pr_ROI,0.004921225953098,Cingulo-Opercular
L_a24pr_ROI,-0.004762234192654,Cingulo-Opercular
L_p32pr_ROI,-0.013668441312799,Cingulo-Opercular
L_a24_ROI,0.009176631728626,Default
L_d32_ROI,0.027396295599616,Default
L_8BM_ROI,0.029931488834348,Frontoparietal
L_p32_ROI,0.005295666652721,Default
L_10r_ROI,0.000844781613307,Default
L_47m_ROI,0.004243283139993,Default
L_8Av_ROI,-0.00765581961377,Default
