name,value,network
R_V1_ROI,0.01104876737964,Visual1
R_MST_ROI,0,Visual2
R_V6_ROI,0,Visual2
R_V2_ROI,0,Visual2
R_V3_ROI,0,Visual2
R_V4_ROI,0,Visual2
R_V8_ROI,-0.004071591158783,Visual2
R_4_ROI,0,Somatomotor
R_3b_ROI,0,Somatomotor
R_FEF_ROI,0.006704133694024,Cingulo-Opercular
R_PEF_ROI,0,Cingulo-Opercular
R_55b_ROI,0,Language
R_V3A_ROI,0,Visual2
R_RSC_ROI,0,Frontoparietal
R_POS2_ROI,-0.003116025403565,Frontoparietal
R_V7_ROI,0,Visual2
R_IPS1_ROI,0,Visual2
R_FFC_ROI,0,Visual2
R_V3B_ROI,-0.001585814799758,Visual2
R_LO1_ROI,0,Visual2
R_LO2_ROI,0,Visual2
R_PIT_ROI,0,Visual2
R_MT_ROI,0,Visual2
R_A1_ROI,0.019079244798107,Auditory
R_PSL_ROI,-0.004735221787445,Cingulo-Opercular
R_SFL_ROI,-0.006600968226874,Language
R_PCV_ROI,0.042116603908551,Posterior_Multimodal
R_STV_ROI,0.009302800110753,Posterior_Multimodal
R_7Pm_ROI,0.039200476012386,Frontoparietal
R_7m_ROI,0.017873899552052,Default
R_POS1_ROI,0,Default
R_23d_ROI,0,Default
R_v23ab_ROI,-0.005438921026916,Default
R_d23ab_ROI,-0.006913105475725,Default
R_31pv_ROI,0,Default
R_5m_ROI,0,Somatomotor
R_5mv_ROI,-0.028656178167183,Cingulo-Opercular
R_23c_ROI,-0.00341494170737,Cingulo-Opercular
R_5L_ROI,0,Somatomotor
R_24dd_ROI,0,Somatomotor
R_24dv_ROI,0,Somatomotor
R_7AL_ROI,0,Somatomotor
R_SCEF_ROI,0,Cingulo-Opercular
R_6ma_ROI,0,Cingulo-Opercular
R_7Am_ROI,0,Cingulo-Opercular
R_7PL_ROI,0,Dorsal_Attention
R_7PC_ROI,0,Somatomotor
R_LIPv_ROI,0,Visual2
R_VIP_ROI,0.040932893140727,Visual2
R_MIP_ROI,0.005738814700067,Dorsal_Attention
R_1_ROI,0,Somatomotor
R_2_ROI,0,Somatomotor
R_3a_ROI,0,Somatomotor
R_6d_ROI,0,Somatomotor
R_6mp_ROI,0,Somatomotor
R_6v_ROI,-0.031710446001074,Somatomotor
R_p24pr_ROI,0,Cingulo-Opercular
R_33pr_ROI,0.040530153755688,Frontoparietal
R_a24pr_ROI,0,Cingulo-Opercular
R_p32pr_ROI,0,Cingulo-Opercular
R_a24_ROI,0.018045595985696,Default
R_d32_ROI,0.039550843225601,Frontoparietal
R_8BM_ROI,0,Frontoparietal
R_p32_ROI,0.026719860438307,Default
R_10r_ROI,0,Default
R_47m_ROI,-0.016443555233853,Default
R_8Av_ROI,-0.02141148456011,Default
R_8Ad_ROI,-0.001018217052468,Default
R_9m_ROI,0,Default
R_8BL_ROI,-0.06991665698502,Default
R_9p_ROI,-0.016505715236709,Default
R_10d_ROI,0,Default
R_8C_ROI,0,Frontoparietal
R_44_ROI,-0.001853554220399,Frontoparietal
R_45_ROI,0,Language
R_47l_ROI,0,Default
R_a47r_ROI,0.00715685625907,Frontoparietal
R_6r_ROI,-0.027658933968635,Cingulo-Opercular
R_IFJa_ROI,0,Language
R_IFJp_ROI,0.027981548506666,Frontoparietal
R_IFSp_ROI,-0.01808989726522,Frontoparietal
R_IFSa_ROI,-0.032120600147923,Cingulo-Opercular
R_p9-46v_ROI,0,Frontoparietal
R_46_ROI,0,Cingulo-Opercular
R_a9-46v_ROI,0,Frontoparietal
R_9-46d_ROI,0,Cingulo-Opercular
R_9a_ROI,0,Default
R_10v_ROI,-0.003572079998998,Default
R_a10p_ROI,0,Frontoparietal
R_10pp_ROI,-0.009500738860361,Default
R_11l_ROI,0.003446997072802,Frontoparietal
R_13l_ROI,-0.027625846907862,Frontoparietal
R_OFC_ROI,-0.010511768375703,Frontoparietal
R_47s_ROI,0,Default
R_LIPd_ROI,0.021320520309213,Dorsal_Attention
R_6a_ROI,0.021582810651509,Dorsal_Attention
R_i6-8_ROI,0.028599410154523,Frontoparietal
R_s6-8_ROI,0,Frontoparietal
R_43_ROI,-0.005597045075201,Cingulo-Opercular
R_OP4_ROI,0,Somatomotor
R_OP1_ROI,0,Somatomotor
R_OP2-3_ROI,0,Somatomotor
R_52_ROI,0,Auditory
R_RI_ROI,0,Somatomotor
R_PFcm_ROI,0,Cingulo-Opercular
R_PoI2_ROI,0,Cingulo-Opercular
R_TA2_ROI,0,Auditory
R_FOP4_ROI,0,Cingulo-Opercular
R_MI_ROI,0,Cingulo-Opercular
R_Pir_ROI,0,Orbito-Affective
R_AVI_ROI,0.026301064490427,Frontoparietal
R_AAIC_ROI,0.036049163918089,Orbito-Affective
R_FOP1_ROI,-0.006024132628856,Cingulo-Opercular
R_FOP3_ROI,-0.01735745198595,Cingulo-Opercular
R_FOP2_ROI,0.011106176253425,Somatomotor
R_PFt_ROI,0,Dorsal_Attention
R_AIP_ROI,0.019645876172355,Dorsal_Attention
R_EC_ROI,0.039675706461405,Default
R_PreS_ROI,0,Default
R_H_ROI,0,Default
R_ProS_ROI,0,Visual1
R_PeEc_ROI,0.015713054586312,Ventral_Multimodal
R_STGa_ROI,0,Language
R_PBelt_ROI,0,Auditory
R_A5_ROI,0.016663725374378,Language
R_PHA1_ROI,-0.040628089726651,Default
R_PHA3_ROI,-0.001326551771927,Dorsal_Attention
R_STSda_ROI,0.003552163955764,Default
R_STSdp_ROI,0.017495816275988,Language
R_STSvp_ROI,0,Default
R_TGd_ROI,0,Default
R_TE1a_ROI,-0.009837572350533,Default
R_TE1p_ROI,0,Frontoparietal
R_TE2a_ROI,0,Default
R_TF_ROI,0,Ventral_Multimodal
R_TE2p_ROI,0.00814488970749,Dorsal_Attention
R_PHT_ROI,-0.01437566408309,Dorsal_Attention
R_PH_ROI,0,Visual2
R_TPOJ1_ROI,0.028575721560007,Language
R_TPOJ2_ROI,0,Posterior_Multimodal
R_TPOJ3_ROI,0,Posterior_Multimodal
R_DVT_ROI,-0.025025781210144,Visual1
R_PGp_ROI,-0.028696887080615,Dorsal_Attention
R_IP2_ROI,0.015299793131839,Frontoparietal
R_IP1_ROI,0,Frontoparietal
R_IP0_ROI,0,Dorsal_Attention
R_PFop_ROI,-0.053702164400902,Cingulo-Opercular
R_PF_ROI,-0.042532223759389,Cingulo-Opercular
R_PFm_ROI,0,Frontoparietal
R_PGi_ROI,0,Default
R_PGs_ROI,0,Default
R_V6A_ROI,0,Visual2
R_VMV1_ROI,0,Visual2
R_VMV3_ROI,0,Visual2
R_PHA2_ROI,0,Default
R_V4t_ROI,0.000764732285786,Visual2
R_FST_ROI,0.001647630524549,Visual2
R_V3CD_ROI,-0.009979918727642,Visual2
R_LO3_ROI,0.008561957215905,Visual2
R_VMV2_ROI,-0.015207081367571,Visual2
R_31pd_ROI,0,Default
R_31a_ROI,0,Frontoparietal
R_VVC_ROI,0,Visual2
R_25_ROI,0,Default
R_s32_ROI,0,Default
R_pOFC_ROI,0,Orbito-Affective
R_PoI1_ROI,0,Cingulo-Opercular
R_Ig_ROI,0,Somatomotor
R_FOP5_ROI,0,Cingulo-Opercular
R_p10p_ROI,0.021518993821424,Frontoparietal
R_p47r_ROI,0,Frontoparietal
R_TGv_ROI,-0.001319360130056,Language
R_MBelt_ROI,0.00938910152629,Auditory
R_LBelt_ROI,0.018966805451575,Auditory
R_A4_ROI,0,Auditory
R_STSva_ROI,0,Default
