name,value,network
R_8BL_ROI,-0.06991665698502,Default
L_AIP_ROI,0.056748368138557,Dorsal_Attention
R_PFop_ROI,-0.053702164400902,Cingulo-Opercular
L_PCV_ROI,0.050762460124665,Posterior_Multimodal
L_PF_ROI,-0.046264961873236,Cingulo-Opercular
L_PGs_ROI,-0.04323152833292,Default
R_PF_ROI,-0.042532223759389,Cingulo-Opercular
R_PCV_ROI,0.042116603908551,Posterior_Multimodal
R_VIP_ROI,0.040932893140727,Visual2
R_PHA1_ROI,-0.040628089726651,Default
R_33pr_ROI,0.040530153755688,Frontoparietal
R_EC_ROI,0.039675706461405,Default
R_d32_ROI,0.039550843225601,Frontoparietal
R_7Pm_ROI,0.039200476012386,Frontoparietal
L_31pv_ROI,-0.037282097358306,Default
R_AAIC_ROI,0.036049163918089,Orbito-Affective
L_47s_ROI,-0.035495436024425,Default
L_V8_ROI,-0.034206428155103,Visual2
L_FST_ROI,0.033489680608592,Visual2
L_7Pm_ROI,0.033487583977641,Frontoparietal
R_IFSa_ROI,-0.032120600147923,Cingulo-Opercular
R_6v_ROI,-0.031710446001074,Somatomotor
L_6mp_ROI,-0.03113028317367,Somatomotor
R_PGp_ROI,-0.028696887080615,Dorsal_Attention
R_5mv_ROI,-0.028656178167183,Cingulo-Opercular
R_i6-8_ROI,0.028599410154523,Frontoparietal
R_TPOJ1_ROI,0.028575721560007,Language
R_IFJp_ROI,0.027981548506666,Frontoparietal
R_6r_ROI,-0.027658933968635,Cingulo-Opercular
R_13l_ROI,-0.027625846907862,Frontoparietal
L_IP1_ROI,0.027380981166813,Frontoparietal
R_p32_ROI,0.026719860438307,Default
L_MIP_ROI,0.026413817378605,Dorsal_Attention
R_AVI_ROI,0.026301064490427,Frontoparietal
R_DVT_ROI,-0.025025781210144,Visual1
L_LIPd_ROI,0.022205426657575,Dorsal_Attention
PALLIDUM_RIGHT,-0.022064320814152,Subcortex
R_6a_ROI,0.021582810651509,Dorsal_Attention
R_p10p_ROI,0.021518993821424,Frontoparietal
R_8Av_ROI,-0.02141148456011,Default
R_LIPd_ROI,0.021320520309213,Dorsal_Attention
L_TE2p_ROI,0.021219865173903,Dorsal_Attention
CAUDATE_RIGHT,0.021210485372437,Subcortex
R_AIP_ROI,0.019645876172355,Dorsal_Attention
L_33pr_ROI,0.019518181871104,Cingulo-Opercular
L_FOP3_ROI,-0.019378810309245,Cingulo-Opercular
L_p47r_ROI,-0.019185455276398,Frontoparietal
R_A1_ROI,0.019079244798107,Auditory
L_LO2_ROI,-0.018995098756503,Visual2
R_LBelt_ROI,0.018966805451575,Auditory
L_PreS_ROI,0.018476834145457,Default
R_IFSp_ROI,-0.01808989726522,Frontoparietal
R_a24_ROI,0.018045595985696,Default
L_7AL_ROI,-0.017966832334024,Somatomotor
BRAIN_STEM,0.017945558940153,Subcortex
R_7m_ROI,0.017873899552052,Default
L_TPOJ3_ROI,0.017657729127412,Posterior_Multimodal
R_STSdp_ROI,0.017495816275988,Language
R_FOP3_ROI,-0.01735745198595,Cingulo-Opercular
R_A5_ROI,0.016663725374378,Language
R_9p_ROI,-0.016505715236709,Default
R_47m_ROI,-0.016443555233853,Default
L_PIT_ROI,-0.016385538894189,Visual2
R_PeEc_ROI,0.015713054586312,Ventral_Multimodal
L_V4t_ROI,0.01546228749622,Visual2
L_10d_ROI,-0.015410034944963,Default
R_IP2_ROI,0.015299793131839,Frontoparietal
R_VMV2_ROI,-0.015207081367571,Visual2
R_PHT_ROI,-0.01437566408309,Dorsal_Attention
L_7PL_ROI,0.013133720296052,Dorsal_Attention
L_v23ab_ROI,-0.011935619932767,Default
L_V3B_ROI,-0.011896914691706,Visual2
L_PFt_ROI,0.011321973679504,Dorsal_Attention
R_FOP2_ROI,0.011106176253425,Somatomotor
R_V1_ROI,0.01104876737964,Visual1
CEREBELLUM_RIGHT,0.010559263097203,Subcortex
