name,label,Fold_0,Fold_1,Fold_2,Fold_3,Fold_4
"Total Brain Volume, eNet",eNet_VolBrain,0.293098090831117,0.120107203341387,0.114856698597957,0.270847512853378,0.13084438001106
"CARIT Contrast, eNet",eNet_carit1,-0.004485645655768,0.095930268689582,0.180222084944678,0.007410913761868,0.089337451246362
"CARIT FC, eNet",eNet_carit_FC_PCA75,0.361085177274567,0.269140409545109,0.255871153770202,0.22696426977577,0.319988706814675
"Cortical Thickness, eNet",eNet_cort,0.345118706988033,0.285241111208974,0.218038374769728,0.327002707718573,0.38222136917441
"Facename: Encoding-Recall, eNet",eNet_face4,0.365706056286934,0.310667617817258,0.272891760140411,0.39088196558169,0.272378739986472
"Facename: Encoding-Distractor, eNet",eNet_face5,0.574715296432923,0.49212701006101,0.357873951808474,0.446857815612819,0.406205215169834
"Facename: Recall-Distractor, eNet",eNet_face6,0.483072075638568,0.471122636218473,0.460717178333503,0.451487806632655,0.309698563575523
"Facename FC, eNet",eNet_face_FC_PCA75,0.451062879191991,0.487275447615527,0.396602996915156,0.375237578861309,0.344828132283579
"Resting State FC, eNet",eNet_rest_PCA75,0.521426836355002,0.312725708117897,0.482206932526919,0.435692685343054,0.446950557155043
"Subcortical Volume, eNet",eNet_subc,0.239744317068675,0.188426311911101,0.234918860630929,0.293322157221004,0.234684573612607
"Surface Area, eNet",eNet_surf,0.375073845138412,0.341783106341856,0.211845231341687,0.185050108353515,0.134310509360393
"Vismotor Contrast, eNet",eNet_vism,0.333385999387548,0.408897983331541,0.25290545226951,0.32794871523395,0.220610706485176
"Vismotor FC, eNet",eNet_vism_FC_PCA75,0.313632989481583,0.317266803985009,0.259515139992983,0.299683301787606,0.253412976520483
"Total Brain Volume, RF",rf_VolBrain,0.308304629644468,0.100635990813883,0.10562855640893,0.237022594093827,0.094881350669202
"CARIT Contrast, RF",rf_carit1,-0.097805989293028,0.038030479646242,0.204029735627754,0.188016143281598,0.081627215062389
"CARIT FC, RF",rf_carit_FC_PCA75,0.424280154078053,0.13356652318242,0.20592280075524,0.144563650830695,0.270789833133986
"Cortical Thickness, RF",rf_cort,0.333770639715479,0.251048453352354,0.226700892870457,0.226448934347834,0.4218954379316
"Facename: Encoding-Recall, RF",rf_face4,0.235509881184613,0.343144931567999,0.321757651260598,0.341669637165285,0.284625366772677
"Facename: Encoding-Distractor, RF",rf_face5,0.519837766665007,0.455398514968823,0.395509133068338,0.251648474968653,0.288439723334971
"Facename: Recall-Distractor, RF",rf_face6,0.238210090731555,0.467786905604537,0.343627610504357,0.352826752072697,0.2171352605686
"Facename FC, RF",rf_face_FC_PCA75,0.426474102197834,0.392871664479211,0.339192876955063,0.348350334087701,0.141176441241752
"Resting State FC, RF",rf_rest_PCA75,0.541497270049083,0.384269995237943,0.514793812945903,0.381567759060458,0.402013584283873
"Subcortical Volume, RF",rf_subc,0.213958959439257,0.179106056344918,0.201127353996522,0.27876349984881,0.280467448967947
"Surface Area, RF",rf_surf,0.323867738676929,0.189518795581515,0.14497649164697,0.219160703240161,0.221001419328669
"Vismotor Contrast, RF",rf_vism,0.352182848161353,0.272224232544147,0.230520733092447,0.258233202282026,0.218658114080715
"Vismotor FC, RF",rf_vism_FC_PCA75,0.205073479433744,0.234810532430179,0.241507170361819,0.283802248508664,0.1049229612765
"Total Brain Volume, SVR",svr_VolBrain,0.281579599099255,0.10448218176724,0.13629799239965,0.221435775583894,0.116372501499105
"CARIT Contrast, SVR",svr_carit1,-0.005212254063099,0.127101819413538,0.133651788522906,0.109022116957009,0.039654618276281
"CARIT FC, SVR",svr_carit_FC_PCA75,0.345925960363279,0.279772805096979,0.204560516434216,0.229874051917304,0.32044400305062
"Cortical Thickness, SVR",svr_cort,0.360056689878905,0.299569426037765,0.223724439807624,0.352827844949799,0.433212812308412
"Facename: Encoding-Recall, SVR",svr_face4,0.33496782640623,0.304161761923805,0.263016882442394,0.382108922775702,0.24543590997982
"Facename: Encoding-Distractor, SVR",svr_face5,0.606206340559933,0.467048830332107,0.380409972565017,0.435653478193856,0.363359133335645
"Facename: Recall-Distractor, SVR",svr_face6,0.406453409635063,0.490224715384442,0.356946272928914,0.402642544368017,0.290005880371402
"Facename FC, SVR",svr_face_FC_PCA75,0.484178358183213,0.551658506177359,0.354056426360848,0.436247614370285,0.358954947328483
"Resting State FC, SVR",svr_rest_PCA75,0.464895590626562,0.426443509891726,0.458436014681493,0.516305493645363,0.434580462612361
"Subcortical Volume, SVR",svr_subc,0.233568278243966,0.202959119538447,0.24073330828843,0.236026402616051,0.259135399454402
"Surface Area, SVR",svr_surf,0.386518146087059,0.315496287691685,0.210401223459696,0.24495601687091,0.163966942295079
"Vismotor Contrast, SVR",svr_vism,0.312639215026643,0.391467299009714,0.334584402993257,0.247181121396464,0.235112888754654
"Vismotor FC, SVR",svr_vism_FC_PCA75,0.201439221363385,0.30046768991684,0.305575605395098,0.308603316882724,0.231061162451915
"Total Brain Volume, XGB",xgb_VolBrain,0.199415034074959,0.128305525054215,0.148241644565911,0.215349691226572,0.171065033814447
"CARIT Contrast, XGB",xgb_carit1,-0.121745506434144,0.110765229269199,0.14807967340987,-0.009296487468014,0.101638577768772
"CARIT FC, XGB",xgb_carit_FC_PCA75,0.279423134692849,0.130386249496645,0.183851959283508,0.158997073733779,0.226112832894024
"Cortical Thickness, XGB",xgb_cort,0.254839100118535,0.233283575282675,0.225360238014667,0.216331846188526,0.390585707537544
"Facename: Encoding-Recall, XGB",xgb_face4,0.254704453811798,0.335538422022141,0.22943049630978,0.362532296148451,0.260205993732453
"Facename: Encoding-Distractor, XGB",xgb_face5,0.444401518766728,0.450734490216659,0.324917770693785,0.266284074661647,0.285642698266544
"Facename: Recall-Distractor, XGB",xgb_face6,0.366430657429031,0.451055506907772,0.328127512785028,0.269421700483254,0.157157963755112
"Facename FC, XGB",xgb_face_FC_PCA75,0.409697678099231,0.409535180509457,0.30446423419305,0.280923983048648,0.183565064234398
"Resting State FC, XGB",xgb_rest_PCA75,0.399732379652139,0.356322457633274,0.536867451801088,0.3373598078487,0.363727272221468
"Subcortical Volume, XGB",xgb_subc,0.216673032750544,0.189711417543213,0.275704646106651,0.263312139229503,0.259000251775105
"Surface Area, XGB",xgb_surf,0.317844984650782,0.187259688003186,0.04722959187626,0.127162030256815,0.163257849421629
"Vismotor Contrast, XGB",xgb_vism,0.301824681848399,0.363487953485388,0.172970365352743,0.263780087479975,0.203224494224286
"Vismotor FC, XGB",xgb_vism_FC_PCA75,0.171420427247946,0.200328795965229,0.280239900090091,0.23175740209606,0.178365892190712
"Stacked: All, eNet+eNet",eNet_eNet_set1,0.65423535967391,0.63508247015773,0.574806833114652,0.620352658405531,0.559105498994421
"Stacked: Task Contrast, eNet+eNet",eNet_eNet_set2,0.574982357979886,0.580678009439226,0.445287642058595,0.587157806756466,0.443387128161438
"Stacked: Non Task, eNet+eNet",eNet_eNet_set3,0.574965468032542,0.413761422452412,0.477924058652329,0.4604963860831,0.442739609056382
"Stacked: Task FC, eNet+eNet",eNet_eNet_set4,0.462272159227069,0.461440146308531,0.412747967499867,0.40831721241423,0.359157181607504
"Stacked: Task Contrast & Task FC, eNet+eNet",eNet_eNet_set5,0.595406008081739,0.591246780110567,0.470285578887725,0.604488184682253,0.480663424266367
"Stacked: All excluding Task FC, eNet+eNet",eNet_eNet_set6,0.642369615833787,0.622138254397653,0.565980583093722,0.619514615903623,0.539779564188953
"Stacked: All excluding Task Contrast, eNet+eNet",eNet_eNet_set7,0.605404391914365,0.534950044143568,0.55116622519896,0.502892728066012,0.538838485176414
"Stacked: Resting and Task FC, eNet+eNet",eNet_eNet_set8,0.562661257625043,0.458277987647953,0.524076993264983,0.495105430713499,0.470075665930428
"Stacked: All, eNet+RF",eNet_rf_set1,0.65134956139241,0.664651492786621,0.573498501304435,0.607365047263629,0.561337722923453
"Stacked: Task Contrast, eNet+RF",eNet_rf_set2,0.604747561987654,0.594697256850706,0.439893887558065,0.557672699761763,0.44509831270856
"Stacked: Non Task, eNet+RF",eNet_rf_set3,0.620087371572239,0.414147413996008,0.440414993254457,0.4857329513568,0.457793607379836
"Stacked: Task FC, eNet+RF",eNet_rf_set4,0.412317697582357,0.478504428819001,0.42461385005098,0.397569483683786,0.388448951793352
"Stacked: Task Contrast & Task FC, eNet+RF",eNet_rf_set5,0.621798256259978,0.621783563061073,0.477487282540292,0.578889392996533,0.487541657181115
"Stacked: All excluding Task FC, eNet+RF",eNet_rf_set6,0.648774842885912,0.64599982373797,0.529021777641612,0.599611908610623,0.533854307651401
"Stacked: All excluding Task Contrast, eNet+RF",eNet_rf_set7,0.61763355102753,0.552480661705807,0.571075575761239,0.533113155532045,0.548404352258438
"Stacked: Resting and Task FC, eNet+RF",eNet_rf_set8,0.528405918172919,0.512713556873666,0.524723248779529,0.492529333389497,0.472085247681201
"Stacked: All, eNet+SVR",eNet_svr_set1,0.645095666575837,0.639480479887171,0.572437159637646,0.617727466354828,0.564115769676839
"Stacked: Task Contrast, eNet+SVR",eNet_svr_set2,0.557220453759905,0.578832802936977,0.423642688091637,0.586603547670775,0.446287176387096
"Stacked: Non Task, eNet+SVR",eNet_svr_set3,0.580280625538022,0.425020463121711,0.469939178399869,0.448136532212746,0.463935094954151
"Stacked: Task FC, eNet+SVR",eNet_svr_set4,0.462788768720442,0.467702390156697,0.418355289084169,0.413272421992082,0.364602184428214
"Stacked: Task Contrast & Task FC, eNet+SVR",eNet_svr_set5,0.583291001619984,0.596739214356657,0.461698136998516,0.597954111702556,0.48509535051321
"Stacked: All excluding Task FC, eNet+SVR",eNet_svr_set6,0.641026162973089,0.627304922282354,0.562406124422858,0.609590754001826,0.548726029455063
"Stacked: All excluding Task Contrast, eNet+SVR",eNet_svr_set7,0.613014500535356,0.542100606042237,0.56561855975328,0.489548232587987,0.542418635784891
"Stacked: Resting and Task FC, eNet+SVR",eNet_svr_set8,0.563407889887346,0.474647334968872,0.527218445263379,0.502192527241313,0.475205711200272
"Stacked: All, eNet+XGB",eNet_xgb_set1,0.614340023126748,0.641207888982424,0.558785617784535,0.569998337854189,0.5442246894008
"Stacked: Task Contrast, eNet+XGB",eNet_xgb_set2,0.575512118436652,0.584777999271156,0.432593099562456,0.554393710703084,0.447825563674023
"Stacked: Non Task, eNet+XGB",eNet_xgb_set3,0.627754918047924,0.422390456446108,0.441876842306971,0.448870718965701,0.460275171183933
"Stacked: Task FC, eNet+XGB",eNet_xgb_set4,0.426880118273829,0.493471825246643,0.417180358659562,0.429622512875865,0.374415503357852
"Stacked: Task Contrast & Task FC, eNet+XGB",eNet_xgb_set5,0.61720570176013,0.611833294029768,0.455521126330356,0.570363495785428,0.484389696210236
"Stacked: All excluding Task FC, eNet+XGB",eNet_xgb_set6,0.636019220430809,0.641192156956088,0.534566928657466,0.579182384576,0.533508848244089
"Stacked: All excluding Task Contrast, eNet+XGB",eNet_xgb_set7,0.632753230547012,0.545851904711227,0.531219540338539,0.499104620028397,0.526972360567522
"Stacked: Resting and Task FC, eNet+XGB",eNet_xgb_set8,0.570388907127646,0.501540333808094,0.520794327891721,0.482811618604453,0.46495957537058
"Stacked: All, RF+eNet",rf_eNet_set1,0.600132889852617,0.54769856425006,0.579184064407667,0.564327844613708,0.521859073825052
"Stacked: Task Contrast, RF+eNet",rf_eNet_set2,0.505923188675083,0.539613389812234,0.463797076566179,0.442115818229216,0.374423684046732
"Stacked: Non Task, RF+eNet",rf_eNet_set3,0.586000836477048,0.371106986466187,0.432626087803233,0.422520869841307,0.429006108708329
"Stacked: Task FC, RF+eNet",rf_eNet_set4,0.416494421644031,0.366523211847386,0.374774946759091,0.403476915627119,0.155215355482525
"Stacked: Task Contrast & Task FC, RF+eNet",rf_eNet_set5,0.553321315679737,0.519110489018996,0.504386234106502,0.522724137491356,0.397751053774427
"Stacked: All excluding Task FC, RF+eNet",rf_eNet_set6,0.628907637839092,0.574570551079831,0.572181464194711,0.539847576551858,0.543660227860238
"Stacked: All excluding Task Contrast, RF+eNet",rf_eNet_set7,0.618543498904328,0.460778995095289,0.505308858695769,0.512626303377661,0.473744235575746
"Stacked: Resting and Task FC, RF+eNet",rf_eNet_set8,0.553619054022618,0.437273278728178,0.501820625140165,0.499594935855548,0.327886549942549
"Stacked: All, RF+RF",rf_rf_set1,0.518411766869191,0.49992261231087,0.552883979945037,0.547412457186441,0.483417946798908
