name,label,Fold_0,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6
"Total Brain Volume, eNet",eNet_brainVol,0.327541758693281,0.235880143897275,0.317780020286427,0.237699531948602,0.360277931442289,0.359736820138814,0.353774850745622
"Cortical Thickness, eNet",eNet_cort,0.201675343109608,0.158051056766038,0.273007908445649,0.167236036485851,0.184776719251579,0.274127194397028,0.264156132935811
"Facename: Encoding-Distractor, eNet",eNet_facename,0.400382189292618,0.288016518025379,0.539178652717098,0.516164907516261,0.405229226933686,0.427067076872521,0.44157501448114
"Facename FC, eNet",eNet_facename_FC_PCA75,0.256020587764887,0.227681803503394,0.306969868959768,0.174966010729372,0.189533093669093,0.05955112545212,0.356917629650598
"Emotion Processing Contrast, eNet",eNet_faces,0.374688717841231,0.187657614808414,0.360808737129921,0.287588236773604,0.375177871521177,0.264360694353788,0.35019916956385
"Emotion Processing FC, eNet",eNet_faces_FC_PCA75,0.144524213106947,0.137114864188529,0.118898550428786,0.254854444102219,0.197100585490436,-0.006217750625122,0.151345411481833
"MID Contrast, eNet",eNet_mid,0.033450505585827,0.252293287072363,0.165042107360575,0.234297658805815,0.203130529535999,0.169409980293948,0.078134334978105
"MID FC, eNet",eNet_mid_FC_PCA75,0.300639214870034,0.256843187448076,0.150271859012799,0.238400169245364,0.255202904219971,0.168345912979927,0.274249359652754
"Resting State FC, eNet",eNet_rest_PCA75,0.142593198769219,0.158502393331895,0.264719960344104,0.397263099924883,0.471527458816004,0.324341987509572,0.19690186418021
"Stroop Contrast, eNet",eNet_stroop,0.06465743441663,0.337041325642681,0.202281212300955,0.198964503067082,0.237300680378693,0.186047395299056,0.216536562524917
"Stroop FC, eNet",eNet_stroop_FC_PCA75,0.262700616299326,0.289811731476921,0.281289586927056,0.396416078049015,0.313509802037121,0.232725189596647,0.278057928205334
"Subcortical Volume, eNet",eNet_subc,0.211810595855413,0.251344145966497,0.260816056544611,0.121205099298402,0.340081850324625,0.29357809835769,0.302994728149937
"Surface Area, eNet",eNet_surf,0.221575751232143,0.231298192863803,0.262688496061524,0.285539881578708,0.411102249928727,0.348909962788358,0.306337178767058
"Total Brain Volume, RF",rf_brainVol,0.253734446242847,0.225789301345198,0.242615007747413,0.205572121108351,0.307423069964894,0.325985753672363,0.302657404984899
"Cortical Thickness, RF",rf_cort,0.23036744272645,0.143986879215824,0.232215893636541,0.157117651259025,0.142928389285099,0.223361598097837,0.261348668480742
"Facename: Encoding-Distractor, RF",rf_facename,0.379056782926265,0.322961949916006,0.474689561626483,0.499736629212289,0.428382164835743,0.409989831631207,0.436517099287746
"Facename FC, RF",rf_facename_FC_PCA75,0.40063059833781,0.227249966053406,0.33066159937268,0.137948203665544,0.305344813764592,0.036245035870674,0.333774003912597
"Emotion Processing Contrast, RF",rf_faces,0.396982076901387,0.136250886253714,0.275435265527299,0.258228198351062,0.24195737877913,0.178433215796467,0.28682802341887
"Emotion Processing FC, RF",rf_faces_FC_PCA75,0.174714419579366,0.129002889177777,0.198613030364582,0.214805656926475,0.240441107323584,0.090183385676807,0.267439931422358
"MID Contrast, RF",rf_mid,0.09370760713816,0.230884910732523,0.121323583154445,0.074237257571332,0.168926110126583,0.132352493864541,0.019379243832063
"MID FC, RF",rf_mid_FC_PCA75,0.195111679971833,0.354852233748323,0.128471721695601,0.180693206514026,0.277828399025075,0.067657192051243,0.318478999988207
"Resting State FC, RF",rf_rest_PCA75,0.221636477636792,0.180927837030634,0.27793208134569,0.291569337230286,0.400327038523335,0.266623433338452,0.182048075199798
"Stroop Contrast, RF",rf_stroop,0.303314728683295,0.292793414176283,0.303684609937019,0.217719556383503,0.372137202476838,0.377608736625074,0.190598662900073
"Stroop FC, RF",rf_stroop_FC_PCA75,0.301660385849103,0.276494345314148,0.213589296276911,0.447828368848272,0.293837839159334,0.230419938398748,0.270565281717307
"Subcortical Volume, RF",rf_subc,0.20482629285684,0.283558273878806,0.193493457540856,0.129653657861284,0.323672753738655,0.258648696884756,0.271153023264296
"Surface Area, RF",rf_surf,0.245080718142798,0.174589401963558,0.279456626742074,0.274530309169236,0.415702157078601,0.283582499660946,0.294350898019639
"Total Brain Volume, SVR",svr_brainVol,0.316580760029815,0.217518206516098,0.330208290336886,0.196392858368847,0.358845551452522,0.341750008028502,0.373253243256621
"Cortical Thickness, SVR",svr_cort,0.30925071347567,0.205883083944259,0.283491918597592,0.139957661583747,0.176590919199685,0.219684723489925,0.253547797314079
"Facename: Encoding-Distractor, SVR",svr_facename,0.42468134262654,0.274526892704608,0.560677047524967,0.478351928425746,0.416217030708631,0.471039682831677,0.452950342848211
"Facename FC, SVR",svr_facename_FC_PCA75,0.259316573623793,0.283426228160113,0.337195055419243,0.262463292253333,0.33325553249551,0.086337544370107,0.30750197143521
"Emotion Processing Contrast, SVR",svr_faces,0.311103685057463,0.208569691771172,0.375633926833111,0.279328066187158,0.275809643738059,0.208309788688217,0.346691094876766
"Emotion Processing FC, SVR",svr_faces_FC_PCA75,0.165671302605614,0.183790550787051,0.087550290262157,0.182593805241298,0.165046434831055,0.14100871399167,0.323071659890698
"MID Contrast, SVR",svr_mid,0.037755916399856,0.216454862684747,0.134087671701732,0.225175101238161,0.241128632143119,0.099443477806526,0.07449199628164
"MID FC, SVR",svr_mid_FC_PCA75,0.23617210435931,0.281774125555662,0.205762306912238,0.230990460251486,0.35082404467268,0.14130883723387,0.288753032183687
"Resting State FC, SVR",svr_rest_PCA75,0.22377581174346,0.180580415683766,0.320338433474742,0.354877405931151,0.49581946236709,0.235699818039908,0.161103939484133
"Stroop Contrast, SVR",svr_stroop,0.338252974605864,0.346526538353564,0.389968127067632,0.301154051897042,0.329211762264087,0.406511666019925,0.356704707154927
"Stroop FC, SVR",svr_stroop_FC_PCA75,0.326026241936059,0.339984785960244,0.284739575642841,0.392786825827903,0.368210642804423,0.214153596940027,0.290319806415059
"Subcortical Volume, SVR",svr_subc,0.21294257132356,0.239552704583614,0.256943134057426,0.141570067013501,0.314824953433272,0.28280902470162,0.303179187143291
"Surface Area, SVR",svr_surf,0.154632646885254,0.199414201047193,0.273980760722047,0.224360144170994,0.359444730949945,0.326602045012633,0.255947894943416
"Total Brain Volume, XGB",xgb_brainVol,0.273842490884607,0.241957794619346,0.249686819291185,0.23323526770042,0.327787011569209,0.295697911438406,0.3080381120753
"Cortical Thickness, XGB",xgb_cort,0.148438345785991,0.020799355852023,0.212363412443444,0.106727401505815,0.168027545869528,0.170493874581122,0.156110912540169
