name,label,Fold_0,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6
"Total Brain Volume, eNet",eNet_brainVol,0.306887451298935,0.3062320608018,0.368979380921437,0.243573143290976,0.332482348487521,0.36730831731356,0.339666127062848
"Cortical Thickness, eNet",eNet_cort,0.172908907985701,0.152714605547724,0.239738475357645,0.245379966265759,0.248578121062548,0.23382549575796,0.237030676308196
"Facename: Encoding-Distractor, eNet",eNet_facename,0.376239993050895,0.282107584324005,0.525516869306572,0.510581300425704,0.511923755955241,0.376124950387752,0.39427325914396
"Facename FC, eNet",eNet_facename_FC_PCA75,0.264735658778066,0.282621673839675,0.376336090825016,0.226006748641686,0.27320683662592,0.119191856168682,0.270787005053464
"Emotion Processing Contrast, eNet",eNet_faces,0.245921851744815,0.230159840486592,0.283954391874212,0.324213426269611,0.454011537359291,0.245354449236757,0.383394694111579
"Emotion Processing FC, eNet",eNet_faces_FC_PCA75,0.131325011165794,0.219713899152936,0.201996485547807,0.18678409576265,0.151187953959186,-0.040808324561455,0.163236222807246
"MID Contrast, eNet",eNet_mid,0.033791430223402,0.220148161204354,0.090758153605297,0.138806649400757,0.332744233314699,0.045469082504345,0.058348897449257
"MID FC, eNet",eNet_mid_FC_PCA75,0.312605781596905,0.273091880554903,0.226966183012136,0.302329659408095,0.14936947979389,0.146311081670585,0.245454226694484
"Resting State FC, eNet",eNet_rest_PCA75,0.180361758626391,0.133847919978917,0.334742848566731,0.32731534558491,0.392587939311416,0.327182324043423,0.218858065353365
"Stroop Contrast, eNet",eNet_stroop,0.028274273214974,0.214036972059477,0.044305537765059,0.131803171933438,0.07843386190995,0.155578540227789,0.071250279629749
"Stroop FC, eNet",eNet_stroop_FC_PCA75,0.26012509978023,0.235070955262677,0.313450006114695,0.244689604821856,0.28557642611049,0.24599377322189,0.290082654990759
"Subcortical Volume, eNet",eNet_subc,0.267277211368616,0.35682552526632,0.367463969525873,0.12838507212221,0.323094009918471,0.32542393311113,0.298916834490187
"Surface Area, eNet",eNet_surf,0.263318866778912,0.334522006290194,0.296146691884508,0.182574928464497,0.321793825223609,0.290127430524974,0.327465244038295
"Total Brain Volume, RF",rf_brainVol,0.296798165863051,0.278945943840919,0.320317499234756,0.218609328583637,0.301498618148461,0.321194482631115,0.281899973493815
"Cortical Thickness, RF",rf_cort,0.239976608790534,0.123873662958478,0.143094066775077,0.206764239132369,0.166626758802632,0.231406760525635,0.132199934367491
"Facename: Encoding-Distractor, RF",rf_facename,0.346125875707967,0.323727986955965,0.476277643426667,0.437737592681235,0.446025337758301,0.290342334916532,0.327355751626133
"Facename FC, RF",rf_facename_FC_PCA75,0.309309194283361,0.255989763752728,0.384855310217491,0.245293479770794,0.366852385759568,-0.0027668694591,0.358766113293963
"Emotion Processing Contrast, RF",rf_faces,0.218182489902854,0.19094207778508,0.175063813393055,0.179807693017175,0.353148342927048,0.165821662233516,0.365578541698594
"Emotion Processing FC, RF",rf_faces_FC_PCA75,0.093780626501972,0.159565928136483,0.265065347563615,0.172192344369841,0.260630447908287,0.091947620407658,0.256356162772461
"MID Contrast, RF",rf_mid,0.069431436907495,0.231155061170979,0.133991618591353,0.089521024435144,0.330197153017881,0.122400146786616,-0.044506202109794
"MID FC, RF",rf_mid_FC_PCA75,0.185157476096646,0.226328014979998,0.231463951431118,0.269762304283213,0.254776889031172,0.160104333004164,0.20040492172204
"Resting State FC, RF",rf_rest_PCA75,0.267325163888207,0.150361919752127,0.298379875184341,0.234572435591654,0.482783942126475,0.243964218876254,0.178974922387117
"Stroop Contrast, RF",rf_stroop,0.282874674106302,0.290506819377692,0.239840453551448,0.16412946028525,0.323153688773675,0.301540073241393,0.332525071723653
"Stroop FC, RF",rf_stroop_FC_PCA75,0.219495778025428,0.267088697474372,0.269676469405718,0.293002019080436,0.329484834625358,0.200304530476753,0.314653133038834
"Subcortical Volume, RF",rf_subc,0.262598373679087,0.329233726376848,0.280053144164344,0.12903723611716,0.280554863199605,0.28680676205791,0.282296097479356
"Surface Area, RF",rf_surf,0.296998223485939,0.281585443430329,0.333246189495028,0.221366536958438,0.323785483431884,0.256946575448183,0.333841029879382
"Total Brain Volume, SVR",svr_brainVol,0.303300663178272,0.315785876333557,0.372131965117935,0.228716368197757,0.334942035410882,0.30827394508256,0.331750686301692
"Cortical Thickness, SVR",svr_cort,0.292039356126122,0.190231975335981,0.20986301188711,0.214385636211291,0.2121560271093,0.184650763233832,0.236932849952404
"Facename: Encoding-Distractor, SVR",svr_facename,0.408662468477764,0.380154542240882,0.505896245451965,0.474213115100816,0.481892399217168,0.374771533618928,0.389830212017514
"Facename FC, SVR",svr_facename_FC_PCA75,0.264985226759925,0.270244873483461,0.38783269904867,0.297764614816516,0.412155652667134,0.13747061825699,0.292476819821866
"Emotion Processing Contrast, SVR",svr_faces,0.229857818897805,0.229089389022665,0.268517201590341,0.357339277971673,0.426405477321717,0.200613936677876,0.35160121704481
"Emotion Processing FC, SVR",svr_faces_FC_PCA75,0.173451464290714,0.227071575125174,0.147766643111331,0.156867098272948,0.181369400171988,0.037191795698726,0.258036169639823
"MID Contrast, SVR",svr_mid,0.025008588501568,0.185514905837433,0.02483077250765,0.078992795136936,0.313955034542796,-0.026785910477533,0.04796568385384
"MID FC, SVR",svr_mid_FC_PCA75,0.324432005284978,0.303271334251359,0.268089845365992,0.286723978848262,0.18170309799877,0.194622256389739,0.225514394223174
"Resting State FC, SVR",svr_rest_PCA75,0.204714708657245,0.176739130690681,0.385277268988007,0.34948709386869,0.423154898647818,0.294130017763843,0.226300238906613
"Stroop Contrast, SVR",svr_stroop,0.305727929403957,0.271491997653857,0.312957307452321,0.223232210425408,0.341175836236012,0.376687919905692,0.350073427822627
"Stroop FC, SVR",svr_stroop_FC_PCA75,0.351876949519376,0.308686101342063,0.310881479991472,0.214764333669054,0.317233149714622,0.24976217764637,0.30944506952272
"Subcortical Volume, SVR",svr_subc,0.268792148231054,0.363493084742165,0.361847596167959,0.12860894905653,0.315030587325428,0.32753531504441,0.305430799905191
"Surface Area, SVR",svr_surf,0.262744166052741,0.346452366106121,0.294525866819153,0.191282278131003,0.307097248265977,0.287034078160649,0.330431857715803
"Total Brain Volume, XGB",xgb_brainVol,0.273186032878414,0.282933388373482,0.318602277728802,0.227965379325893,0.308805141084054,0.276759088151395,0.289161363582335
"Cortical Thickness, XGB",xgb_cort,0.197159745410096,0.071105729869898,0.108046099203938,-0.001352225276865,0.162750210103755,0.161060843327665,0.120930819540653
"Facename: Encoding-Distractor, XGB",xgb_facename,0.307774052620711,0.310755026381446,0.47062510085654,0.455958242847851,0.51337556425137,0.286229051541105,0.335103050590032
"Facename FC, XGB",xgb_facename_FC_PCA75,0.278679825235292,0.208512234673302,0.365723183612723,0.312988157988176,0.275095741215951,-0.036020227866678,0.300999153593725
"Emotion Processing Contrast, XGB",xgb_faces,0.155357447683525,0.220045545711744,0.126575899586788,0.176886486885658,0.364526365445522,0.157338003136331,0.239733850189342
"Emotion Processing FC, XGB",xgb_faces_FC_PCA75,0.062172044456561,0.17234027648548,0.286136179761851,0.178248224668726,0.163562157112782,0.100575109973968,0.288122329478969
"MID Contrast, XGB",xgb_mid,0.076167168997598,0.224910025460223,0.093495868865063,-0.071702189875558,0.251861229943951,0.018311869262642,-0.055909788388294
"MID FC, XGB",xgb_mid_FC_PCA75,0.110149673702679,0.259180559466521,0.117047352185773,0.236284878641676,0.2378754496116,0.116927949404631,0.233582175672886
"Resting State FC, XGB",xgb_rest_PCA75,0.210457150205082,0.180581418569531,0.298311149904934,0.235708306570588,0.47157982673909,0.198734864084318,0.205841632350243
"Stroop Contrast, XGB",xgb_stroop,0.246068417458909,0.248587841692018,0.153138387219182,0.136920405151658,0.244955396730414,0.318826090352903,0.240010809304732
"Stroop FC, XGB",xgb_stroop_FC_PCA75,0.156662223144839,0.28056876388318,0.184743199010016,0.248255639973627,0.248049661197892,0.197869269595702,0.305760328993856
"Subcortical Volume, XGB",xgb_subc,0.267013627888918,0.298457979632067,0.276928494940863,0.057984978795061,0.237045978815487,0.274035065402768,0.299306514859889
"Surface Area, XGB",xgb_surf,0.264354647441678,0.315569270085643,0.251136309810681,0.215064091921035,0.296934279771474,0.225266991119255,0.331075228360044
"Stacked: All, eNet+eNet",eNet_eNet_set1,0.443964151951235,0.418961175100734,0.576833840315535,0.548829608310955,0.650437217570512,0.484750721111362,0.537079745277974
"Stacked: Task Contrast, eNet+eNet",eNet_eNet_set2,0.398628368666842,0.334678149279202,0.489384301194533,0.528996282434201,0.582602688382608,0.367220511006746,0.464423792345443
"Stacked: Non Task, eNet+eNet",eNet_eNet_set3,0.295237095444162,0.283869796853386,0.451243319312564,0.289580182708858,0.457254287406323,0.409469396678243,0.370338570831795
"Stacked: Task FC, eNet+eNet",eNet_eNet_set4,0.341652194192601,0.355440766935666,0.353427418628752,0.31122509517625,0.297179850472911,0.108398359249476,0.311837093918449
"Stacked: Task Contrast & Task FC, eNet+eNet",eNet_eNet_set5,0.467063222611453,0.392142759331898,0.524861770200366,0.549956804084193,0.586102397717446,0.37534508360891,0.517244930123303
"Stacked: All excluding Task FC, eNet+eNet",eNet_eNet_set6,0.425620720067722,0.381117579328943,0.573676197979,0.529852047167598,0.673850704473153,0.48028674332236,0.552616516359905
"Stacked: All excluding Task Contrast, eNet+eNet",eNet_eNet_set7,0.368781849592149,0.343616126823356,0.477913561267434,0.381420630716911,0.481777305766218,0.328478201514629,0.423486726634262
"Stacked: Resting and Task FC, eNet+eNet",eNet_eNet_set8,0.317538896959332,0.310632490454808,0.41386495948911,0.381873224100753,0.39493221757808,0.226211110900934,0.323527119222614
