name,label,Fold_0,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7
"Total Brain Volume, eNet",eNet_VolBrain,0.02052679852114,0.174306315672544,0.18764613471911,0.20876526870227,0.115721216783263,0.263128985089966,0.402355196394515,0.273539692646031
"Cortical Thickness, eNet",eNet_cort,0.17235698903729,0.143664960468361,0.093273640191972,0.222037841738652,0.100689556379407,0.190341437141678,0.177991600706111,0.166496718571733
"Emotion Processing Contrast, eNet",eNet_emo,0.154231153108123,0.247359255454972,0.317182386960619,0.320368191381211,0.122181771065768,0.161879242947448,0.273300081885483,0.420416838923915
"Gambling Contrast, eNet",eNet_gam,,,,,,,,
"Gambling FC, eNet",eNet_gam_FC_PCA75,0.252694152004175,0.220510134593941,0.221710749348308,0.39116361631727,0.177488294058688,0.351206381112493,0.407324582755717,0.33420861612912
"Language Contrast, eNet",eNet_lan,0.407169707974764,0.345282453092344,0.431883990990256,0.321266915641399,0.215623948301872,0.365142342275725,0.521583478295069,0.52913429271865
"Language FC, eNet",eNet_lan_FC_PCA75,0.44783859321173,0.342849562683873,0.310821988768361,0.421319959758953,0.237439443140271,0.495408693217184,0.522234960995941,0.355217754946253
"Motor Contrast, eNet",eNet_mot,0.381122162040368,0.228251907076471,0.318725725513889,0.390605558287658,0.115084088674195,0.229281544452757,0.258164394516958,0.255286781557974
"Motor FC, eNet",eNet_mot_FC_PCA75,0.361496880879671,0.275244736074028,0.38998413788045,0.343728520409173,0.298344318236154,0.26833332202134,0.4376820379951,0.399165587679422
"Relational Contrast, eNet",eNet_rel,0.253962435932533,0.263003491315965,0.180221198605742,0.445538370437578,0.427733814108541,0.326392177062562,0.475522820445492,0.308700312118891
"Relational FC, eNet",eNet_rel_FC_PCA75,0.347675279789569,0.264395282340401,0.482133319573499,0.364095900473555,0.181994779311722,0.362076031069324,0.365377725761944,0.295118277274498
"Resting State FC, eNet",eNet_rest_PCA75,0.257897630069481,0.242456486334165,0.376204123216544,0.391581663917069,0.226143524432648,0.270742531426945,0.333190382568144,0.33230693074542
"Social Cognition Contrast, eNet",eNet_soc,0.32027424870309,0.104854369719384,0.323126255405103,0.278566357365291,0.302675818397762,0.170250687366679,0.201939975301841,0.230370343919245
"Social Cognition FC, eNet",eNet_soc_FC_PCA75,0.508809712772421,0.379657256584566,0.513181042263298,0.376662634453724,0.344059032013905,0.437249041934295,0.469727746486918,0.388177020629005
"Subcortical Volume, eNet",eNet_subc,-0.106559963574078,0.327726753470412,0.12392340073749,0.254324572257214,-0.00925991467441,0.233642030659193,0.285101179787601,0.138795868492748
"Surface Area, eNet",eNet_surf,0.098433806205892,0.188608464733317,0.238940690916803,0.327814618547994,0.208270608362622,0.287025291512024,0.278331115082876,0.332662992566491
"Working Memory Contrast, eNet",eNet_wm,0.556363775728207,0.49180485099419,0.52428406878216,0.500274688776994,0.391335357779076,0.423309448229383,0.521486076740829,0.589983971703258
"Working Memory FC, eNet",eNet_wm_FC_PCA75,0.369008902362691,0.37016113917496,0.561439291118881,0.514069613786229,0.302993436445944,0.511388572004098,0.573911247521746,0.5100808592016
"Total Brain Volume, RF",rf_VolBrain,0.017770883432352,0.266241990874674,0.028155537645358,0.303798273050297,0.120677384267575,0.177851600695267,0.38040942829174,0.193056576768741
