name,label,Fold_0,Fold_1,Fold_2,Fold_3,Fold_4
"Total Brain Volume, eNet",eNet_VolBrain,0.808177912615068,0.824000991932241,0.737636753681874,0.867520917289483,0.734436817439974
"CARIT Contrast, eNet",eNet_carit1,0.855997066704725,0.837634491022621,0.735504364966086,0.904519909693803,0.735855042893506
"CARIT FC, eNet",eNet_carit_FC_PCA75,0.805652442092769,0.794073934049101,0.726789302167389,0.887013593351046,0.697485682369724
"Cortical Thickness, eNet",eNet_cort,0.786720291955708,0.791090497411873,0.73434841646844,0.83651799016475,0.677576694898657
"Facename: Encoding-Recall, eNet",eNet_face4,0.784539053095973,0.778522519412439,0.729020812011652,0.822369682140798,0.70655229088342
"Facename: Encoding-Distractor, eNet",eNet_face5,0.703597125754743,0.72855807564318,0.688007377607797,0.801940115818633,0.667623610943517
"Facename: Recall-Distractor, eNet",eNet_face6,0.746320156595796,0.739808772663143,0.676056475548002,0.817786155299347,0.670125778816622
"Facename FC, eNet",eNet_face_FC_PCA75,0.76978212250958,0.754319115388556,0.700258806275454,0.841434488716512,0.695926727039775
"Resting State FC, eNet",eNet_rest_PCA75,0.751267002435135,0.782165496661319,0.656971925068215,0.803216558811299,0.660469318281014
"Subcortical Volume, eNet",eNet_subc,0.807827872913179,0.82356554620647,0.734215035368174,0.872101679942824,0.728739108663125
"Surface Area, eNet",eNet_surf,0.799080224798888,0.776114033457914,0.727353757390125,0.903553631005489,0.737061556870945
"Vismotor Contrast, eNet",eNet_vism,0.792933399428112,0.756430628395512,0.739884213651605,0.841858745270025,0.745585499374011
"Vismotor FC, eNet",eNet_vism_FC_PCA75,0.803114594721741,0.79398153695251,0.726442794930777,0.884934987812973,0.7179253301505
"Total Brain Volume, RF",rf_VolBrain,0.792194046291634,0.834858095601761,0.738234254323382,0.879192237947643,0.746771782457143
"CARIT Contrast, RF",rf_carit1,0.874757853610709,0.831596233840931,0.73916617538802,0.903776674638501,0.739725471864307
"CARIT FC, RF",rf_carit_FC_PCA75,0.805477877900864,0.809313772288011,0.732163951998564,0.904787216276758,0.713451006404951
"Cortical Thickness, RF",rf_cort,0.796168321346257,0.790802627637694,0.735041526080346,0.869362030395376,0.676414545208438
"Facename: Encoding-Recall, RF",rf_face4,0.810225059745447,0.780203878841134,0.697511918699382,0.860877420423059,0.701311130378238
"Facename: Encoding-Distractor, RF",rf_face5,0.770965694147429,0.762542253006385,0.688310998719965,0.875591980075599,0.707735651983937
"Facename: Recall-Distractor, RF",rf_face6,0.83192469218877,0.748700126599964,0.697683228146153,0.877417629644593,0.712667786039422
"Facename FC, RF",rf_face_FC_PCA75,0.780860965992342,0.76964865539945,0.713541583421307,0.845130624907104,0.721329912713933
"Resting State FC, RF",rf_rest_PCA75,0.763267899385729,0.764414164310828,0.661164044025919,0.82416475171774,0.673055587434919
"Subcortical Volume, RF",rf_subc,0.812679394499063,0.821935765541433,0.738337030007507,0.874225557743824,0.718689177300938
"Surface Area, RF",rf_surf,0.796140115633213,0.814427766434738,0.730922004118904,0.884842888549545,0.730134505555328
"Vismotor Contrast, RF",rf_vism,0.786211206794084,0.793433010910469,0.727994014904743,0.874048965015164,0.730644309314223
"Vismotor FC, RF",rf_vism_FC_PCA75,0.821442506254479,0.805042379212132,0.722017552066949,0.875538088356523,0.744979493185271
"Total Brain Volume, SVR",svr_VolBrain,0.786280220530738,0.824766654230767,0.732436554124622,0.878547651436635,0.730596269028662
"CARIT Contrast, SVR",svr_carit1,0.852788541096363,0.842747730175315,0.731976348236086,0.895076509895505,0.746102004845811
"CARIT FC, SVR",svr_carit_FC_PCA75,0.797851379243908,0.798955040699868,0.728980783269357,0.889369549052518,0.687200676448604
"Cortical Thickness, SVR",svr_cort,0.77666430783009,0.793079438674726,0.727182220005699,0.830152948949089,0.685531943200274
"Facename: Encoding-Recall, SVR",svr_face4,0.785394510051368,0.788111407793111,0.729274634293595,0.831799777540026,0.728818576441114
"Facename: Encoding-Distractor, SVR",svr_face5,0.681578201607905,0.739761248136268,0.670724619400813,0.80431911879866,0.680752622077243
"Facename: Recall-Distractor, SVR",svr_face6,0.764265291875763,0.73088896695901,0.693754326228175,0.836717289106063,0.69469920865986
"Facename FC, SVR",svr_face_FC_PCA75,0.719888725413764,0.718586881758885,0.710743278880162,0.820284550959898,0.69117062469899
"Resting State FC, SVR",svr_rest_PCA75,0.745177824808404,0.745884054319194,0.639254220356476,0.763663825190321,0.662198855273909
"Subcortical Volume, SVR",svr_subc,0.802877060644489,0.823212574255683,0.729658752049232,0.879880506304897,0.726587793592399
"Surface Area, SVR",svr_surf,0.760834793698969,0.7748829613274,0.73250528550004,0.875197430637154,0.74541039186532
"Vismotor Contrast, SVR",svr_vism,0.787205790709691,0.735169602948977,0.730283527597926,0.862156122412789,0.757199205542314
"Vismotor FC, SVR",svr_vism_FC_PCA75,0.784370270108012,0.78715950433845,0.70665370408515,0.871583488104318,0.719103559084749
"Total Brain Volume, XGB",xgb_VolBrain,0.80259939240085,0.831196580274899,0.727325545018188,0.893499952910558,0.734561492962822
"CARIT Contrast, XGB",xgb_carit1,0.890264803973817,0.825710718997786,0.732086462674196,0.91218646328519,0.742239508503522
"CARIT FC, XGB",xgb_carit_FC_PCA75,0.787737695653641,0.807112322891871,0.742862538575387,0.887005768496377,0.719040958251162
"Cortical Thickness, XGB",xgb_cort,0.817064834134742,0.794739718114947,0.741464545190021,0.865254868236926,0.668565170516609
"Facename: Encoding-Recall, XGB",xgb_face4,0.822496602381069,0.771119547480029,0.718076590222413,0.843950095004214,0.700746520186928
"Facename: Encoding-Distractor, XGB",xgb_face5,0.756886855008044,0.742618572818902,0.684595810764193,0.883018011022533,0.7073068902327
"Facename: Recall-Distractor, XGB",xgb_face6,0.794993558926588,0.739381448961918,0.699560767767804,0.889570971688756,0.747826540751313
"Facename FC, XGB",xgb_face_FC_PCA75,0.76396973248626,0.741946009611884,0.730799289423192,0.851460520084629,0.719550977771358
"Resting State FC, XGB",xgb_rest_PCA75,0.775430503918815,0.763897631520082,0.622671757366095,0.834415585561235,0.675104022788665
"Subcortical Volume, XGB",xgb_subc,0.812729027170832,0.821862747405424,0.722014391945092,0.873479457220922,0.710102151660711
"Surface Area, XGB",xgb_surf,0.778688160051255,0.821301108780125,0.757678606980095,0.917199632364514,0.749405154271514
"Vismotor Contrast, XGB",xgb_vism,0.805094464895709,0.77473273454778,0.762564493529655,0.861646898157022,0.730484941767789
"Vismotor FC, XGB",xgb_vism_FC_PCA75,0.823829493242644,0.789792633735631,0.719427488676899,0.883906186971685,0.734088982784542
"Stacked: All, eNet+eNet",eNet_eNet_set1,0.631593639919275,0.63188353799986,0.614934947694208,0.688568635335911,0.620058601400709
"Stacked: Task Contrast, eNet+eNet",eNet_eNet_set2,0.679030759346683,0.655505875505342,0.670624906441652,0.710725058018141,0.692602784106501
"Stacked: Non Task, eNet+eNet",eNet_eNet_set3,0.678680373282359,0.749378635532561,0.652282719761753,0.803127601125183,0.652017798281667
"Stacked: Task FC, eNet+eNet",eNet_eNet_set4,0.73054201846718,0.721995285446966,0.678043413199877,0.826564743650545,0.700728162861634
"Stacked: Task Contrast & Task FC, eNet+eNet",eNet_eNet_set5,0.660462793068777,0.647691704051999,0.656584834563543,0.711456409131614,0.664347090567937
"Stacked: All excluding Task FC, eNet+eNet",eNet_eNet_set6,0.643743264177482,0.632918507703613,0.626376195090828,0.690181906224687,0.627592643457958
"Stacked: All excluding Task Contrast, eNet+eNet",eNet_eNet_set7,0.654349639208697,0.693229516090794,0.633840469667348,0.773204943894416,0.624953461502761
"Stacked: Resting and Task FC, eNet+eNet",eNet_eNet_set8,0.68718644967708,0.725200182185175,0.626659361586182,0.78662351728121,0.65281899239518
"Stacked: All, eNet+RF",eNet_rf_set1,0.629490758096672,0.621262848180928,0.599424522186003,0.711199936659843,0.62357384779828
"Stacked: Task Contrast, eNet+RF",eNet_rf_set2,0.661587994459967,0.645537835737319,0.670767613227304,0.738062854867407,0.693196148835245
"Stacked: Non Task, eNet+RF",eNet_rf_set3,0.671970624056021,0.760527232853819,0.685269103073873,0.777731059109514,0.663489009010144
"Stacked: Task FC, eNet+RF",eNet_rf_set4,0.738672919680439,0.721418081955332,0.673902694517762,0.829781553712005,0.700248083511199
"Stacked: Task Contrast & Task FC, eNet+RF",eNet_rf_set5,0.639296460719526,0.630890930302115,0.646058656859947,0.730179550884952,0.660780101672638
"Stacked: All excluding Task FC, eNet+RF",eNet_rf_set6,0.637898868952995,0.621152424411726,0.631776106185337,0.70970971501391,0.630646938813623
"Stacked: All excluding Task Contrast, eNet+RF",eNet_rf_set7,0.649211672111965,0.680641591146002,0.62343737711287,0.755338039003848,0.641100355777578
"Stacked: Resting and Task FC, eNet+RF",eNet_rf_set8,0.700382567125005,0.702693275770335,0.622306098996739,0.792071899675859,0.660907536845205
"Stacked: All, eNet+SVR",eNet_svr_set1,0.643611294187156,0.623509320686525,0.617397895249275,0.698143683793356,0.620072237377025
"Stacked: Task Contrast, eNet+SVR",eNet_svr_set2,0.691310598661795,0.656528940718221,0.683245481268131,0.716362708078977,0.696910163587281
"Stacked: Non Task, eNet+SVR",eNet_svr_set3,0.673229917018441,0.744690471758683,0.663137226004838,0.79941703082181,0.646852453029678
"Stacked: Task FC, eNet+SVR",eNet_svr_set4,0.7281168972675,0.719496688246631,0.670532869150738,0.822355954783924,0.701477627240628
"Stacked: Task Contrast & Task FC, eNet+SVR",eNet_svr_set5,0.671833134740826,0.641247641238241,0.66121021939155,0.721085442709633,0.668362489079195
"Stacked: All excluding Task FC, eNet+SVR",eNet_svr_set6,0.648302328572255,0.629624296242072,0.629632119099089,0.698044698828533,0.625900943908855
"Stacked: All excluding Task Contrast, eNet+SVR",eNet_svr_set7,0.65452980418139,0.689775020739456,0.625452059333142,0.778894289973959,0.63163642471251
"Stacked: Resting and Task FC, eNet+SVR",eNet_svr_set8,0.68654463277156,0.716041973250481,0.620399288599725,0.782869401304691,0.655093862392813
"Stacked: All, eNet+XGB",eNet_xgb_set1,0.655670685998621,0.638048763607372,0.610767215690246,0.718224364721193,0.617430039868578
"Stacked: Task Contrast, eNet+XGB",eNet_xgb_set2,0.679913159094344,0.656226908973472,0.674147315533779,0.741198010858652,0.692526350677902
"Stacked: Non Task, eNet+XGB",eNet_xgb_set3,0.663353780128952,0.75681822893622,0.690856977708299,0.793597927913277,0.662567459230822
"Stacked: Task FC, eNet+XGB",eNet_xgb_set4,0.726441376399664,0.71139787899527,0.675265429988136,0.820519276034361,0.706045577440377
"Stacked: Task Contrast & Task FC, eNet+XGB",eNet_xgb_set5,0.647398278108657,0.641679715322135,0.661417827166253,0.732387249550186,0.675596473035759
"Stacked: All excluding Task FC, eNet+XGB",eNet_xgb_set6,0.652937383659395,0.630706754235042,0.639005883620297,0.723913774069328,0.627476132066626
"Stacked: All excluding Task Contrast, eNet+XGB",eNet_xgb_set7,0.624002882163784,0.690577871252749,0.654172364936992,0.767157677972702,0.642925528174045
"Stacked: Resting and Task FC, eNet+XGB",eNet_xgb_set8,0.687009282591514,0.715731244797132,0.628331267507178,0.798564850438488,0.65903655226722
"Stacked: All, RF+eNet",rf_eNet_set1,0.762356069172137,0.733335328432715,0.6745023888004,0.826399800361065,0.674738593668043
"Stacked: Task Contrast, RF+eNet",rf_eNet_set2,0.766769406273445,0.723671008621858,0.667429429292568,0.844146693394605,0.685967931489098
"Stacked: Non Task, RF+eNet",rf_eNet_set3,0.733515423043603,0.763196990756381,0.674076935109853,0.820663345691042,0.671362678716049
"Stacked: Task FC, RF+eNet",rf_eNet_set4,0.777340047155262,0.764354762825775,0.694497788024021,0.839917103552603,0.730487573821586
"Stacked: Task Contrast & Task FC, RF+eNet",rf_eNet_set5,0.763162468694525,0.740603390266172,0.678704282632936,0.834874755239326,0.692517754498204
"Stacked: All excluding Task FC, RF+eNet",rf_eNet_set6,0.746380925683331,0.722703627507564,0.663734494573396,0.823730395154358,0.665583696013279
"Stacked: All excluding Task Contrast, RF+eNet",rf_eNet_set7,0.742027852805259,0.749264078177785,0.680625477044153,0.810675747384818,0.676779977406527
"Stacked: Resting and Task FC, RF+eNet",rf_eNet_set8,0.753333078732764,0.750220561144193,0.66009173942556,0.811087448596814,0.688782482510942
"Stacked: All, RF+RF",rf_rf_set1,0.777260035128348,0.742303994264988,0.682602864305093,0.823173051359667,0.681994872644329
"Stacked: Task Contrast, RF+RF",rf_rf_set2,0.770279097765866,0.718076317397444,0.671026307149002,0.846412394213728,0.687750905705611
