name,label,Fold_0,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6
"Total Brain Volume, eNet",eNet_brainVol,0.670657178862393,0.786284079651937,0.802174479233993,0.755207823943388,0.813662005314539,0.728453211053793,0.734362528819074
"Cortical Thickness, eNet",eNet_cort,0.704883833109253,0.804190770676095,0.817969260767083,0.771869109795022,0.875209668517461,0.759318866350343,0.760510805034083
"Facename: Encoding-Distractor, eNet",eNet_facename,0.662193541486961,0.743779628079517,0.708927081766169,0.688708274671074,0.811360425641317,0.704618775637739,0.69282442994343
"Facename FC, eNet",eNet_facename_FC_PCA75,0.684161789755151,0.78674230286982,0.80656143876018,0.76395223944393,0.868789039665907,0.795234829231709,0.748654564942538
"Emotion Processing Contrast, eNet",eNet_faces,0.659044534005933,0.794770606192478,0.773211046737124,0.751092897528295,0.818945949443486,0.769688295453449,0.734299942800053
"Emotion Processing FC, eNet",eNet_faces_FC_PCA75,0.708394374611381,0.801118964788617,0.82895306343942,0.755881899139342,0.88871991246874,0.794842878376198,0.780763500692036
"MID Contrast, eNet",eNet_mid,0.731578583459536,0.786912292973998,0.843684987324433,0.76810336785617,0.874862441252715,0.782520496150615,0.794460855291932
"MID FC, eNet",eNet_mid_FC_PCA75,0.677171657005034,0.784503537469794,0.834011760145131,0.762772543760868,0.873978940405946,0.775961190463271,0.762878082564202
"Resting State FC, eNet",eNet_rest_PCA75,0.689787515393444,0.801090960514748,0.800086570057792,0.753610008136959,0.829711473682107,0.767991302973468,0.762166209579225
"Stroop Contrast, eNet",eNet_stroop,0.731326717596969,0.767291185891835,0.804263723020485,0.754664567379647,0.874017444314243,0.774560131816286,0.764998879974262
"Stroop FC, eNet",eNet_stroop_FC_PCA75,0.676737777970073,0.77667515031362,0.805982384867953,0.744625703977447,0.848706832489366,0.765733617701354,0.751722376508548
"Subcortical Volume, eNet",eNet_subc,0.697319037847164,0.785834104984301,0.814531740294022,0.789091308193865,0.833302581574416,0.75716375937891,0.735429986366879
"Surface Area, eNet",eNet_surf,0.709174666202264,0.785182894699724,0.806451938357609,0.753675385298803,0.824126834650884,0.754095563014484,0.742649327585477
"Total Brain Volume, RF",rf_brainVol,0.692266911173821,0.782885577461767,0.809054790885891,0.769729134697253,0.837709273274472,0.746889249679753,0.743750384566129
"Cortical Thickness, RF",rf_cort,0.704888394647643,0.807961530083374,0.813367283179196,0.773352087629869,0.87841844057709,0.765609959499912,0.763125368296129
"Facename: Encoding-Distractor, RF",rf_facename,0.679024802177016,0.744682865879891,0.742083917082129,0.708181373857452,0.808612384968333,0.714658905763183,0.70210896566185
"Facename FC, RF",rf_facename_FC_PCA75,0.663139973807478,0.780019460236014,0.806139470147138,0.764570674729475,0.857725425437138,0.795514954050271,0.752150270691693
"Emotion Processing Contrast, RF",rf_faces,0.677904395164201,0.810513960662356,0.78725109583829,0.758263449746261,0.851667271765681,0.78429197631016,0.755591368677271
"Emotion Processing FC, RF",rf_faces_FC_PCA75,0.707577324813486,0.806863032394709,0.834471787893329,0.745966931385262,0.886508436267796,0.782830378017368,0.755566009223019
"MID Contrast, RF",rf_mid,0.717540406102205,0.787962783189121,0.847615793854538,0.781317522501028,0.882441759997295,0.784836872392251,0.786079597983716
"MID FC, RF",rf_mid_FC_PCA75,0.700837997689229,0.757589140988614,0.848340350437353,0.770720090129274,0.869663062216005,0.790536198317542,0.757866256051574
"Resting State FC, RF",rf_rest_PCA75,0.699450301934511,0.791259141808381,0.817039540335972,0.755916724482874,0.851425127374537,0.772800605609395,0.76961850734921
"Stroop Contrast, RF",rf_stroop,0.696984684498386,0.784181206108194,0.797356718611354,0.74245021660036,0.838816903092339,0.744689890869387,0.775826139890001
"Stroop FC, RF",rf_stroop_FC_PCA75,0.671454659403881,0.771478925026695,0.82791651820146,0.739911227583401,0.86080915471084,0.769487721012693,0.756934258329368
"Subcortical Volume, RF",rf_subc,0.698580138885964,0.778678514327748,0.828550069286677,0.782619864703658,0.841093034175653,0.765969885760887,0.747822929537748
"Surface Area, RF",rf_surf,0.690230585319637,0.799074260798346,0.800629267654382,0.76118042044802,0.833114580432646,0.762953458993995,0.745522203120355
"Total Brain Volume, SVR",svr_brainVol,0.677304231500779,0.792950303882505,0.80216535284487,0.772827944487747,0.812174943111692,0.725044412613956,0.727384432869063
"Cortical Thickness, SVR",svr_cort,0.683400289376722,0.797382007189883,0.816327872095364,0.780373014311936,0.871885696173938,0.77115935618355,0.762298980519283
