name,label,Fold_0,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6
"Total Brain Volume, eNet",eNet_brainVol,0.72509833232648,0.790850472087524,0.738668095106931,0.656525012633856,0.831342806326144,0.797378837208665,0.68214159132648
"Cortical Thickness, eNet",eNet_cort,0.727331584554408,0.829049216342013,0.767355011978779,0.675753213574097,0.862438647483637,0.842880059977163,0.739128829105562
"Facename: Encoding-Distractor, eNet",eNet_facename,0.689060147457768,0.801149476580801,0.660084693290228,0.610668651926025,0.768372935101986,0.786391566656578,0.678203468412402
"Facename FC, eNet",eNet_facename_FC_PCA75,0.714172672836469,0.802130089075141,0.730212788234878,0.677637599875192,0.853667225998306,0.868316561272138,0.719517858787826
"Emotion Processing Contrast, eNet",eNet_faces,0.722195723825479,0.828379297632703,0.746891067155808,0.657778491263163,0.789050587193857,0.815550248664261,0.709130149110423
"Emotion Processing FC, eNet",eNet_faces_FC_PCA75,0.736892968410226,0.835134383196407,0.755636995054491,0.693569683396596,0.875967204551592,0.876771777897467,0.741849573834547
"MID Contrast, eNet",eNet_mid,0.755129118745489,0.835494863784169,0.761354227402644,0.708271761018933,0.869430371852134,0.872831574466031,0.746755757203913
"MID FC, eNet",eNet_mid_FC_PCA75,0.721697440075634,0.834137481546589,0.738411585926624,0.682988883831994,0.873477122146409,0.852390133759375,0.725459250999257
"Resting State FC, eNet",eNet_rest_PCA75,0.721079600959635,0.844025131362521,0.743312694523157,0.663733054485932,0.841899016922769,0.835377444645831,0.739114121147649
"Stroop Contrast, eNet",eNet_stroop,0.779552155682205,0.826906118289317,0.753232903527995,0.69859627315644,0.891053665105331,0.861882765017452,0.745423789806876
"Stroop FC, eNet",eNet_stroop_FC_PCA75,0.716669204410735,0.816255870699096,0.721203024896539,0.692235131836617,0.845887217268648,0.847987750358964,0.71148214974208
"Subcortical Volume, eNet",eNet_subc,0.718551689732492,0.788465349990189,0.743115253372167,0.699382661124506,0.837941411102277,0.813401866300519,0.678486953891805
"Surface Area, eNet",eNet_surf,0.722001217490398,0.792773757336439,0.735629180761669,0.673509982747112,0.836912182560853,0.826202281723327,0.696774374934855
"Total Brain Volume, RF",rf_brainVol,0.717884743903054,0.800472567171929,0.741879690317575,0.660003621717976,0.84523926169526,0.820208719000383,0.696401546888184
"Cortical Thickness, RF",rf_cort,0.728598740325375,0.83367726979631,0.778209266479708,0.688180737074186,0.879301093061717,0.836449571188684,0.751840982632674
"Facename: Encoding-Distractor, RF",rf_facename,0.684096639054068,0.804215412530282,0.692170508133309,0.632755658557616,0.811516197351696,0.812143992394124,0.696715959063254
"Facename FC, RF",rf_facename_FC_PCA75,0.698556453402119,0.808907192559377,0.726634428906065,0.676616340592646,0.84820784341137,0.902362891439702,0.706657014629588
"Emotion Processing Contrast, RF",rf_faces,0.72322792611191,0.835581020967864,0.75126498550441,0.685667829818631,0.824218756296537,0.847580926797273,0.706296027305454
"Emotion Processing FC, RF",rf_faces_FC_PCA75,0.745833892389562,0.829091833641179,0.750521076064242,0.69783211298813,0.861833153882981,0.858678396610572,0.730305513007399
"MID Contrast, RF",rf_mid,0.754298890799175,0.838609963130353,0.758296261514404,0.706406282908966,0.878136448780082,0.856748964255888,0.758220926202533
"MID FC, RF",rf_mid_FC_PCA75,0.741025690509429,0.822300326732208,0.754804984735821,0.671267239577989,0.864367138676283,0.849064280639154,0.725976024255266
"Resting State FC, RF",rf_rest_PCA75,0.726213021596903,0.842935706060563,0.739607699253528,0.674263022981631,0.850672335519199,0.846894861954147,0.736108608623826
"Stroop Contrast, RF",rf_stroop,0.727988360464891,0.81706930609184,0.741586290534943,0.695291683609628,0.850012362931268,0.817034400212859,0.705358092403376
"Stroop FC, RF",rf_stroop_FC_PCA75,0.730697740844755,0.816089827413828,0.732385901959959,0.687055402163517,0.850231733256833,0.848973496234427,0.710733768848645
"Subcortical Volume, RF",rf_subc,0.718788139640195,0.79014243335227,0.756526578993245,0.692903177423045,0.845662780400835,0.824691195342245,0.688452481482915
"Surface Area, RF",rf_surf,0.716797149416387,0.807918461279781,0.733445297134787,0.669670046444402,0.836654981880829,0.836100853323808,0.695163367115603
"Total Brain Volume, SVR",svr_brainVol,0.731609179757034,0.788628526218909,0.737960134573235,0.663358351288856,0.830790315767522,0.815621336953464,0.689446749487865
"Cortical Thickness, SVR",svr_cort,0.71353380264149,0.830462436927789,0.784361929210033,0.677696209166302,0.876406205713404,0.847035183782626,0.738814978053452
"Facename: Encoding-Distractor, SVR",svr_facename,0.679026957107758,0.788124391180928,0.675983191115696,0.617652152965648,0.767387010457775,0.789453429823843,0.686113230016555
"Facename FC, SVR",svr_facename_FC_PCA75,0.708341003574452,0.79881744032701,0.70926428796443,0.666616688470264,0.825678141787637,0.865262142301311,0.713421742571294
"Emotion Processing Contrast, SVR",svr_faces,0.725540869389594,0.816330554383954,0.751625269618156,0.652191906391237,0.782782359077712,0.825471258445586,0.711127144915871
"Emotion Processing FC, SVR",svr_faces_FC_PCA75,0.744937409025428,0.836651009112756,0.766400798010882,0.691370576544173,0.870724593722682,0.86775491028902,0.73669308042373
"MID Contrast, SVR",svr_mid,0.759548134304061,0.841066987170704,0.768736472059873,0.719465482104562,0.882251732793449,0.885615825342505,0.753841293771286
"MID FC, SVR",svr_mid_FC_PCA75,0.707050901814425,0.813510163498524,0.734876079480115,0.660040199256909,0.866210793529231,0.8399441275214,0.731094084263855
"Resting State FC, SVR",svr_rest_PCA75,0.726212960770939,0.840707861217678,0.702312951257293,0.649851240511801,0.820063086525464,0.836404202848592,0.744060016160228
"Stroop Contrast, SVR",svr_stroop,0.72898817894582,0.823020313772582,0.706810964722175,0.681004562428609,0.817314062012949,0.777970320914875,0.695995786516075
"Stroop FC, SVR",svr_stroop_FC_PCA75,0.684593604529279,0.787342439266738,0.708738553841924,0.698209771133536,0.841816102589526,0.837667737472023,0.701284660253704
"Subcortical Volume, SVR",svr_subc,0.717038457129738,0.779704738799986,0.743858047642614,0.699854197147507,0.842149090289414,0.805457998994315,0.674705100823039
"Surface Area, SVR",svr_surf,0.722152523819319,0.792954419260549,0.737420529252318,0.674782951518424,0.84139916529748,0.830106506313243,0.6922526659397
"Total Brain Volume, XGB",xgb_brainVol,0.738198094682201,0.793107295531946,0.745349752723067,0.65934739855341,0.837828817300834,0.833836971057337,0.692363939721208
"Cortical Thickness, XGB",xgb_cort,0.727129551432867,0.842361151251177,0.78088138486032,0.740956621934969,0.885786284822556,0.850318748438734,0.756722290045413
"Facename: Encoding-Distractor, XGB",xgb_facename,0.702078627233509,0.796343585803202,0.68624559582059,0.637364389827047,0.780956361667134,0.79314817154027,0.722839797164638
"Facename FC, XGB",xgb_facename_FC_PCA75,0.709276656054479,0.819203649886692,0.719726239043924,0.658980331774177,0.858608728381777,0.919622074398199,0.72259501608094
"Emotion Processing Contrast, XGB",xgb_faces,0.743421866509342,0.836306783276417,0.780367714787737,0.694029533439277,0.811086202032566,0.844637778711008,0.735819242912918
"Emotion Processing FC, XGB",xgb_faces_FC_PCA75,0.752404684391574,0.826036935410236,0.734507903925601,0.684176303766274,0.861656734591486,0.856236734722929,0.716589204609531
"MID Contrast, XGB",xgb_mid,0.761910205550888,0.834028276910221,0.783315124225804,0.726836960137732,0.867308256785756,0.860906964772379,0.751378837540688
"MID FC, XGB",xgb_mid_FC_PCA75,0.750469080861786,0.798506224303756,0.7767030457082,0.672438130281781,0.868383685712288,0.858849086570719,0.729128868964288
"Resting State FC, XGB",xgb_rest_PCA75,0.726544991748944,0.843972219977625,0.731089013940138,0.676640396706377,0.793314024750084,0.840588231912225,0.746560606270423
"Stroop Contrast, XGB",xgb_stroop,0.749140384715551,0.829925745805335,0.747874258209979,0.717713575746103,0.847723354534722,0.809640404131795,0.717766279218758
"Stroop FC, XGB",xgb_stroop_FC_PCA75,0.737921253631568,0.813726590364235,0.747805865040824,0.68926406915541,0.865460163457927,0.864221071422598,0.716056162739473
"Subcortical Volume, XGB",xgb_subc,0.72552607666206,0.798638625279646,0.761900618905437,0.714174558705181,0.843078331978117,0.824071217756754,0.675452286258187
"Surface Area, XGB",xgb_surf,0.736711349968639,0.793955658667447,0.761076857232963,0.673055328751515,0.842847629615436,0.84892131073963,0.695748953226739
"Stacked: All, eNet+eNet",eNet_eNet_set1,0.685356810369278,0.733052366387044,0.624768510967841,0.606807869856801,0.653638657355735,0.762049470261055,0.635514470388626
"Stacked: Task Contrast, eNet+eNet",eNet_eNet_set2,0.712123627416443,0.790791555439665,0.691208238292262,0.613456550048867,0.696006111724431,0.801775400399479,0.69834323014903
"Stacked: Non Task, eNet+eNet",eNet_eNet_set3,0.732938025854461,0.800359091920329,0.709451162835203,0.656950239662222,0.783807612818565,0.791383102407226,0.690804183648483
"Stacked: Task FC, eNet+eNet",eNet_eNet_set4,0.706508896541161,0.777447761784075,0.704201006877661,0.661835859749839,0.811218541002337,0.872612041481031,0.708079769399635
"Stacked: Task Contrast & Task FC, eNet+eNet",eNet_eNet_set5,0.662285108800403,0.751572555825816,0.645825825780237,0.605334602618949,0.68209278919845,0.7959719380978,0.643280312159712
"Stacked: All excluding Task FC, eNet+eNet",eNet_eNet_set6,0.71159625969506,0.74158886428414,0.652037424668844,0.613000401112297,0.638177343356774,0.762497450555514,0.627130553547183
"Stacked: All excluding Task Contrast, eNet+eNet",eNet_eNet_set7,0.694930247331078,0.792031101102474,0.687085219058109,0.6369998262639,0.758799252939964,0.822871765609937,0.688794117634422
