name,label,Fold_0,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6
"Total Brain Volume, eNet",eNet_brainVol,0.691372066824413,0.807315815489016,0.877656535415686,0.835238139723497,0.854265302928081,0.76869872082094,0.734599758212623
"Cortical Thickness, eNet",eNet_cort,0.689394813007404,0.795572071353623,0.876618963155873,0.839785548132497,0.862681826735337,0.774327276098306,0.737176844898533
"Facename: Encoding-Distractor, eNet",eNet_facename,0.690540392499597,0.770797303786514,0.880786443436299,0.818109285437111,0.858932534026424,0.74584077006029,0.709415272450939
"Facename FC, eNet",eNet_facename_FC_PCA75,0.694732547133678,0.794885807088625,0.876482821382874,0.841784598400076,0.857798307366496,0.779513549341534,0.738277179615876
"Emotion Processing Contrast, eNet",eNet_faces,0.688304869092953,0.790401567768606,0.887003617183938,0.833371345184745,0.84432393654909,0.776453513351602,0.738275371658641
"Emotion Processing FC, eNet",eNet_faces_FC_PCA75,0.69799270919793,0.794455275196509,0.888689723707699,0.843731670562603,0.850173171340473,0.778653338090248,0.733818297475684
"MID Contrast, eNet",eNet_mid,0.701397696026199,0.798387789238046,0.876994538400957,0.842361841324465,0.853438134107774,0.770277191095963,0.747877394963032
"MID FC, eNet",eNet_mid_FC_PCA75,0.697025848328275,0.796095863186945,0.875184373043384,0.843656265596515,0.852902793205751,0.769963168608894,0.733476627870463
"Resting State FC, eNet",eNet_rest_PCA75,0.68831842431966,0.785342310696295,0.873972768104854,0.836693471565015,0.845722321172401,0.771637736825091,0.745609834206532
"Stroop Contrast, eNet",eNet_stroop,0.692540010979854,0.795954125788552,0.87871911456112,0.843438271759315,0.852902793205751,0.770277191095963,0.737176844898533
"Stroop FC, eNet",eNet_stroop_FC_PCA75,0.69492898799265,0.790849838680921,0.880036552354633,0.837780139901098,0.852294387628273,0.771171881916829,0.749474970225022
"Subcortical Volume, eNet",eNet_subc,0.695119521389201,0.802820661589958,0.883541675120989,0.84205162577656,0.852550362906849,0.770558489944955,0.737921435040947
"Surface Area, eNet",eNet_surf,0.705221211234986,0.804536771159958,0.884444682096023,0.843438271759315,0.852902793205751,0.768975086931751,0.741588827293285
"Total Brain Volume, RF",rf_brainVol,0.699590691266757,0.803380639320416,0.878985746474589,0.83785929846261,0.850790791938221,0.766108216400746,0.737004440898689
"Cortical Thickness, RF",rf_cort,0.690223818351308,0.813508550986829,0.87746031975596,0.837162018952499,0.87125556835416,0.776085378357973,0.732162394826592
"Facename: Encoding-Distractor, RF",rf_facename,0.699463553703202,0.78282982177923,0.883681680678763,0.829607972620174,0.854080810439331,0.736889340545834,0.710017966059134
"Facename FC, RF",rf_facename_FC_PCA75,0.693127702718287,0.795480647900127,0.885157408838078,0.842459498826034,0.854483974297079,0.776545034907832,0.736901797169086
"Emotion Processing Contrast, RF",rf_faces,0.686290030291394,0.817192915018657,0.889081055247095,0.835532814724809,0.855953698910172,0.772723421318256,0.728210561189562
"Emotion Processing FC, RF",rf_faces_FC_PCA75,0.696986389415947,0.791161924313784,0.896069865610025,0.839284039571031,0.850299186077355,0.771503071375143,0.735151314331921
"MID Contrast, RF",rf_mid,0.692408996086091,0.799711536537243,0.880064388057384,0.840077112172698,0.849422507888662,0.768632237379731,0.741479443757719
"MID FC, RF",rf_mid_FC_PCA75,0.711411482591835,0.793861883390185,0.896950364976811,0.840367488803115,0.850563012255081,0.770217336343185,0.728659088521534
"Resting State FC, RF",rf_rest_PCA75,0.687264724350109,0.792726860924616,0.883132050623866,0.843828620151242,0.851748419074086,0.780787741510717,0.736543477628783
"Stroop Contrast, RF",rf_stroop,0.698924368767464,0.788550745151878,0.864993431747711,0.835771556321588,0.84724479066601,0.758803677533408,0.72890078459505
"Stroop FC, RF",rf_stroop_FC_PCA75,0.717169047378219,0.786479586204946,0.882532299123311,0.843298307810065,0.853352798623962,0.764508023415162,0.737704662016633
"Subcortical Volume, RF",rf_subc,0.698926870537776,0.79405379376893,0.900421632161072,0.837513928348722,0.863399944959213,0.779288640668367,0.737933408539583
"Surface Area, RF",rf_surf,0.698707489508163,0.804252764977466,0.884247187308115,0.839235165804122,0.850150993538109,0.769026462085786,0.743656116825617
"Total Brain Volume, SVR",svr_brainVol,0.686085585705884,0.80596289690828,0.868147406271798,0.845341883405049,0.846474708711279,0.774182628365417,0.741357466797271
"Cortical Thickness, SVR",svr_cort,0.688237761119468,0.798910781609437,0.8805172654789,0.842013172613727,0.854421934143412,0.773118593260461,0.740955550956382
"Facename: Encoding-Distractor, SVR",svr_facename,0.695002473243128,0.786543579966513,0.90356382374603,0.833478125671444,0.848722380534873,0.753418759590298,0.714445003103318
"Facename FC, SVR",svr_facename_FC_PCA75,0.686703624197911,0.792905235818977,0.879208014213291,0.838386498550726,0.849983407351926,0.77531913614808,0.741514498517243
"Emotion Processing Contrast, SVR",svr_faces,0.687080036030127,0.832844395998073,0.876521235342515,0.840840248354389,0.85772595115985,0.793908062296364,0.74244150507337
"Emotion Processing FC, SVR",svr_faces_FC_PCA75,0.699059541825547,0.797695687020416,0.889939927067227,0.845804987928956,0.850542979909474,0.777085592088547,0.734687394294417
"MID Contrast, SVR",svr_mid,0.698235890563279,0.800029730891952,0.88122648184164,0.847374746130174,0.844234961911065,0.76860177167,0.753061664971323
"MID FC, SVR",svr_mid_FC_PCA75,0.701034759716814,0.798425311810715,0.887820993589784,0.846359348543826,0.8465464034037,0.76661563372849,0.740925849005078
"Resting State FC, SVR",svr_rest_PCA75,0.68678685795862,0.790776081794769,0.877115101717105,0.838122455927543,0.844705527636033,0.776206276528514,0.758020383240457
"Stroop Contrast, SVR",svr_stroop,0.70678138111333,0.797427919792229,0.876209993574677,0.826918594699391,0.819359703788248,0.780651403794912,0.747593058647877
"Stroop FC, SVR",svr_stroop_FC_PCA75,0.686283198314715,0.795306204162248,0.879253661330915,0.845876878442053,0.842379316565761,0.768620436981377,0.750818133305129
"Subcortical Volume, SVR",svr_subc,0.690574684418895,0.815899136507827,0.881164712833393,0.843378012804908,0.84706525883615,0.767661811810123,0.741305749096929
"Surface Area, SVR",svr_surf,0.691285319508638,0.802864743014619,0.881231703709533,0.846399850895071,0.846545322514116,0.768627312810505,0.745184789162467
"Total Brain Volume, XGB",xgb_brainVol,0.70669438236195,0.805129483242509,0.868320459994323,0.83870793144904,0.859930622884603,0.768293864633233,0.737220271359827
"Cortical Thickness, XGB",xgb_cort,0.704657070077806,0.834993247783652,0.858750371494737,0.846960686679816,0.878165726267567,0.780715143851401,0.73863067259204
"Facename: Encoding-Distractor, XGB",xgb_facename,0.696933234335748,0.783079666277452,0.885477560258111,0.828265997369796,0.848476242705633,0.736744496661769,0.709936626688949
"Facename FC, XGB",xgb_facename_FC_PCA75,0.703322788863057,0.805738633930446,0.888261524182933,0.835622397298661,0.858420210683513,0.784668315214613,0.751246590979139
"Emotion Processing Contrast, XGB",xgb_faces,0.685999021752383,0.826551303152083,0.881824082831098,0.869159357505523,0.797036936179534,0.782253428027079,0.746851230014291
"Emotion Processing FC, XGB",xgb_faces_FC_PCA75,0.707304214752715,0.796843844588484,0.891257543843638,0.83199190684628,0.857934351326296,0.779609526185366,0.763926876479506
"MID Contrast, XGB",xgb_mid,0.714554176529466,0.807474959555563,0.878071572792034,0.832573517279388,0.852886812891204,0.759974917452286,0.751899876008203
"MID FC, XGB",xgb_mid_FC_PCA75,0.715458720533507,0.788656630272014,0.898372197397897,0.837254642620368,0.838971287227865,0.779402712082562,0.717713616506953
"Resting State FC, XGB",xgb_rest_PCA75,0.722306119215872,0.786763419335315,0.874148387563616,0.851362915088602,0.841253826956217,0.794763937424025,0.747518014667143
"Stroop Contrast, XGB",xgb_stroop,0.699799208626661,0.809351177394442,0.877349394931029,0.832697189172866,0.85079442196606,0.758813646080777,0.733382384916555
"Stroop FC, XGB",xgb_stroop_FC_PCA75,0.730435312649193,0.776208930655842,0.888985278322218,0.849974512461165,0.850082926935589,0.766326038177731,0.736900474242133
"Subcortical Volume, XGB",xgb_subc,0.711697959137782,0.79846677870542,0.88665471425121,0.822903020793067,0.855382514367845,0.795349155048228,0.744862092392053
"Surface Area, XGB",xgb_surf,0.706403588211251,0.809627796945795,0.902428900539874,0.814034062503647,0.842831692968283,0.770875771527363,0.738827143756937
"Stacked: All, eNet+eNet",eNet_eNet_set1,0.780776807235937,0.768180385251314,0.872899161633256,0.804294472241912,0.880977569357149,0.794795907484617,0.770918470819055
"Stacked: Task Contrast, eNet+eNet",eNet_eNet_set2,0.727042586823311,0.784160192628489,0.920852278802444,0.803141588734545,0.869749255369937,0.787959459834391,0.782500448810871
"Stacked: Non Task, eNet+eNet",eNet_eNet_set3,0.761437545355841,0.809507971133951,0.859608040218295,0.81463091555826,0.844809612385883,0.781255689379266,0.807139854861903
"Stacked: Task FC, eNet+eNet",eNet_eNet_set4,0.770000267869564,0.797172881518437,0.896543577094695,0.844263157167667,0.880215993864846,0.826816461869208,0.763767350594835
"Stacked: Task Contrast & Task FC, eNet+eNet",eNet_eNet_set5,0.771122062501687,0.763396329375748,0.922350482640365,0.809057927012252,0.866445449647738,0.804907130530436,0.746806249233626
"Stacked: All excluding Task FC, eNet+eNet",eNet_eNet_set6,0.761227187042318,0.780237649835258,0.8669089317137,0.79030023267887,0.877890393823265,0.778517872026958,0.798135922377783
"Stacked: All excluding Task Contrast, eNet+eNet",eNet_eNet_set7,0.784074346610345,0.808174877687339,0.861988896565516,0.82720685167585,0.8801245034212,0.823795177564207,0.798925708346375
