name,label,Fold_0,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7
"Total Brain Volume, eNet",eNet_VolBrain,0.747745680894589,0.825491087642113,0.859915920528678,0.851372647664335,0.707233955262087,0.777023019319789,0.814387017222869,0.813604683661062
"Cortical Thickness, eNet",eNet_cort,0.721382393542194,0.817415060640223,0.870142187800222,0.852033946767619,0.698123749948357,0.78444879598367,0.861802483203186,0.84907928421123
"Emotion Processing Contrast, eNet",eNet_emo,0.730279059260351,0.811485891090844,0.836381679910084,0.843949869300204,0.713480818581905,0.807296926067913,0.83921175895824,0.778182168727909
"Gambling Contrast, eNet",eNet_gam,0.726863622431031,0.825500274775719,0.875699632013877,0.874111869534432,0.711670529427569,0.805838071272102,0.866031856606165,0.851493340789506
"Gambling FC, eNet",eNet_gam_FC_PCA75,0.700466717628336,0.812237223792952,0.853961547866736,0.825109280792691,0.687871225993826,0.763258469276195,0.80492530575757,0.806542206513179
"Language Contrast, eNet",eNet_lan,0.653047441709332,0.776091452894991,0.788061087851606,0.828593151915524,0.704189949352465,0.739138915511534,0.760844557928889,0.758888487852998
"Language FC, eNet",eNet_lan_FC_PCA75,0.672493939730817,0.7762773152474,0.839979282145512,0.801558739788269,0.69581751593068,0.723054382646373,0.773408201853269,0.807012526718076
"Motor Contrast, eNet",eNet_mot,0.685310959723685,0.793228239916117,0.852956915707158,0.81318318781235,0.723149077487757,0.783892697635337,0.847727897846251,0.829155765647356
"Motor FC, eNet",eNet_mot_FC_PCA75,0.678276940879972,0.791703330249521,0.829073042960674,0.824417856076502,0.674480414383757,0.790369560138773,0.798996586125321,0.797181736154864
"Relational Contrast, eNet",eNet_rel,0.712792065943588,0.797057586290446,0.859390316163091,0.793405994163302,0.634825407342766,0.770072422839253,0.761111143784321,0.79832143857397
"Relational FC, eNet",eNet_rel_FC_PCA75,0.700877997633518,0.787346261488176,0.815724812892984,0.80841209127917,0.690779482138509,0.770236886562504,0.811630352153929,0.817074878328786
"Resting State FC, eNet",eNet_rest_PCA75,0.705536879158726,0.803863149819662,0.83433747151742,0.801207810104239,0.683216855447064,0.776812819281199,0.826341097168709,0.80074853422939
"Social Cognition Contrast, eNet",eNet_soc,0.676460848794142,0.824872346201294,0.843862319093902,0.846780152998898,0.675453473784393,0.786143022409016,0.858857173655882,0.828929521919394
"Social Cognition FC, eNet",eNet_soc_FC_PCA75,0.641616125823019,0.739573297693476,0.788439290476702,0.823675824994489,0.646029495092121,0.714867507901605,0.781039198570971,0.778136273068661
"Subcortical Volume, eNet",eNet_subc,0.768684215213689,0.808303703692484,0.875242599315229,0.852409833094996,0.724553023320067,0.778263429252093,0.838366540024492,0.853116236452295
"Surface Area, eNet",eNet_surf,0.728438341196949,0.841947400071521,0.831600935284257,0.833820780083019,0.702182614466054,0.783881585257929,0.856708267498914,0.797220855805192
"Working Memory Contrast, eNet",eNet_wm,0.602806957041049,0.724613155638869,0.74003622864861,0.740419874981076,0.635299159850541,0.753305731133318,0.73823399739573,0.68563927208121
"Working Memory FC, eNet",eNet_wm_FC_PCA75,0.65348008569069,0.774242451323138,0.784052238259435,0.779562184031632,0.674690462340981,0.720729326503321,0.756584994399633,0.742819703139568
"Total Brain Volume, RF",rf_VolBrain,0.753005770358965,0.807907357393364,0.890805453645361,0.828560767852456,0.712309921925855,0.790523405560548,0.819853978889499,0.818766142479522
"Cortical Thickness, RF",rf_cort,0.728276560516314,0.821698941601871,0.877306085830979,0.85085336136092,0.697481559926216,0.782077102669988,0.867228800786975,0.854153708047566
"Emotion Processing Contrast, RF",rf_emo,0.726766147805095,0.816356544841239,0.85453758997524,0.849803354871879,0.700178031650688,0.798309392372611,0.846721061384225,0.809096367442229
"Gambling Contrast, RF",rf_gam,0.715343738887748,0.824981515594188,0.887291763885908,0.863767663438103,0.714500030315034,0.803603409586681,0.849892854649389,0.851177585838593
