name,label,Fold_0,Fold_1,Fold_2,Fold_3,Fold_4
"Total Brain Volume, eNet",eNet_VolBrain,0.058898252431818,-0.002965298071198,0.006302210007267,0.06168614300666,0.002050883545245
"CARIT Contrast, eNet",eNet_carit1,-0.041426321369256,0.004479869693508,0.02984527243743,-0.003439047552761,0.00177857039496
"CARIT FC, eNet",eNet_carit_FC_PCA75,0.081289773446814,0.049437465582007,0.057633923000195,0.045852798663608,0.084146806608572
"Cortical Thickness, eNet",eNet_cort,0.103185051044748,0.076960130695999,0.030822033251775,0.099267543421952,0.12909740940971
"Facename: Encoding-Recall, eNet",eNet_face4,0.111270338978696,0.094976539409586,0.060721473546431,0.123309898565284,0.071573771782396
"Facename: Encoding-Distractor, eNet",eNet_face5,0.249619046670061,0.236778717018697,0.127215494055163,0.195746416971855,0.160478158743679
"Facename: Recall-Distractor, eNet",eNet_face6,0.203127018133032,0.214125890019711,0.199380051672139,0.195521809600729,0.07004217222305
"Facename FC, eNet",eNet_face_FC_PCA75,0.156062772608178,0.158721472193035,0.118094842427003,0.109612909972459,0.096623199326293
"Resting State FC, eNet",eNet_rest_PCA75,0.196993855044587,0.097463123511142,0.215803306401962,0.166243801456301,0.157337759822277
"Subcortical Volume, eNet",eNet_subc,0.045755769059336,0.032065158946461,0.054796957620805,0.072919437091977,0.041022856448955
"Surface Area, eNet",eNet_surf,0.081762441628938,0.100658786983892,0.04179422971892,0.024890152752888,-0.003127922344623
"Vismotor Contrast, eNet",eNet_vism,0.097520376138671,0.138961551897325,0.043156322507867,0.104929251371676,0.031405697067554
"Vismotor FC, eNet",eNet_vism_FC_PCA75,0.063582682527359,0.074565708211328,0.056780268688461,0.051801767907877,0.056081589262139
"Total Brain Volume, RF",rf_VolBrain,0.078715635886334,-0.019171019532354,-0.017775086176709,0.053909197993952,-0.021243228895322
"CARIT Contrast, RF",rf_carit1,-0.080381322563503,-0.003957979441295,0.009935228435821,0.004831697322517,-0.001225578824794
"CARIT FC, RF",rf_carit_FC_PCA75,0.070708130861784,0.000718298781946,0.036876773672425,0.018728855991654,0.06088894191391
"Cortical Thickness, RF",rf_cort,0.086134369348439,0.059535389073526,0.04101214923426,0.051240362107448,0.139323313493167
"Facename: Encoding-Recall, RF",rf_face4,0.042643147202252,0.102741296060914,0.098282270978833,0.081488737577072,0.075066074281564
"Facename: Encoding-Distractor, RF",rf_face5,0.165267881066754,0.145801041993018,0.116887482161504,0.059231817851467,0.069805434304687
"Facename: Recall-Distractor, RF",rf_face6,0.050324325559398,0.174031523257031,0.101778233564859,0.097801535986078,0.034826567759859
"Facename FC, RF",rf_face_FC_PCA75,0.115236257621978,0.104824401862272,0.099436461870963,0.091324305449609,0.008372810930851
"Resting State FC, RF",rf_rest_PCA75,0.18543131997154,0.132341467129484,0.185528924330145,0.111565989288569,0.128680823702785
"Subcortical Volume, RF",rf_subc,0.028339976772037,0.027090368147362,0.037344011996511,0.069442085276541,0.054821080971079
"Surface Area, RF",rf_surf,0.077148845253782,0.034255044649287,0.015798226876371,0.043086041609791,0.035145395028069
"Vismotor Contrast, RF",rf_vism,0.088074355396155,0.067375382276955,0.052923495072415,0.057643575271314,0.04215297533771
"Vismotor FC, RF",rf_vism_FC_PCA75,0.025201413341436,0.036534189230697,0.057524136029869,0.069492438995055,-0.003145612054645
"Total Brain Volume, SVR",svr_VolBrain,0.071865471956344,-0.014722226295763,0.008505214503533,0.037473830021633,-0.024498770285917
"CARIT Contrast, SVR",svr_carit1,-0.044121002344427,-0.004459107906368,0.007697053909931,0.00688732580162,-0.026392476280818
"CARIT FC, SVR",svr_carit_FC_PCA75,0.09367661445644,0.043898074774247,0.037684511522434,0.036645623550171,0.086604081563592
"Cortical Thickness, SVR",svr_cort,0.118533401016962,0.069845254238338,0.035437810490748,0.109072701903043,0.117220079711059
"Facename: Encoding-Recall, SVR",svr_face4,0.105589707802508,0.084530444866649,0.042524189444302,0.112585245178946,0.046516267185605
