name,label,Fold_0,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6
"Total Brain Volume, eNet",eNet_brainVol,0.096415589858136,0.043642920572875,0.094549578778267,0.041174145751444,0.106541900463497,0.108419711160706,0.108638534588868
"Cortical Thickness, eNet",eNet_cort,0.030935549990532,0.016413169849061,0.059140908283295,0.003181161183449,0.015281337045984,0.060282540955641,0.069177557027062
"Facename: Encoding-Distractor, eNet",eNet_facename,0.15366096918979,0.069966643858305,0.247846993255476,0.236440951087468,0.154330458936939,0.168297565482519,0.189152862217025
"Facename FC, eNet",eNet_facename_FC_PCA75,0.059571848458278,0.049407700549314,0.063066173545522,-0.00957006459967,0.020036568067412,-0.029497991421021,0.078182651397574
"Emotion Processing Contrast, eNet",eNet_faces,0.132390660234129,0.01943839130796,0.119807412530355,0.054379510830624,0.125357775312604,0.064131332538551,0.119982885542064
"Emotion Processing FC, eNet",eNet_faces_FC_PCA75,0.007398153268762,0.015441160554057,-0.003441222773736,0.013001244431297,0.016136558212442,-0.028619210783294,0.01866637426128
"MID Contrast, eNet",eNet_mid,-0.035884081031081,0.043259827534917,0.015988622965015,0.012622909843157,0.026566568053614,0.013350546717402,-0.014562828155864
"MID FC, eNet",eNet_mid_FC_PCA75,0.067961449160588,0.04691833920358,0.00382703072904,0.008707256697403,0.03169391608043,0.016712229483237,0.065776238741217
"Resting State FC, eNet",eNet_rest_PCA75,0.002533085241165,0.021717711458915,0.049217231439654,0.066627633764086,0.124592202791436,0.07100874349034,0.036646533808753
"Stroop Contrast, eNet",eNet_stroop,-0.045552859902841,0.082054850436086,0.033602967994498,0.004622138271411,0.045474717936685,0.024808848937717,0.04450374113888
"Stroop FC, eNet",eNet_stroop_FC_PCA75,0.050231406029043,0.080530830754086,0.063213165744489,0.088249839285415,0.0806824930212,0.04976517584839,0.076694291043674
"Subcortical Volume, eNet",eNet_subc,0.024110241201452,0.054879323769423,0.061467718130956,-0.018463658789982,0.090395420477433,0.068760194782713,0.08720275090012
"Surface Area, eNet",eNet_surf,0.026022649372233,0.044665186723644,0.055836321274243,0.059657038191072,0.136543885391779,0.103693202879579,0.09173768413152
"Total Brain Volume, RF",rf_brainVol,0.051276441155796,0.042371040267438,0.049791708521909,0.02392110893981,0.0775199157697,0.084493850391423,0.081766238650186
"Cortical Thickness, RF",rf_cort,0.036250019843315,0.015693641240788,0.042472910860662,-0.00023225592241,0.006698265085304,0.038945893719614,0.06386558165592
"Facename: Encoding-Distractor, RF",rf_facename,0.143581090983484,0.101941080797046,0.186358308037467,0.182878131321968,0.155169002548147,0.138306469810812,0.163326587587953
"Facename FC, RF",rf_facename_FC_PCA75,0.122951707821985,0.051221532947594,0.061465767981324,-0.004112177204882,0.049881774865667,-0.034234171843333,0.072353122507528
"Emotion Processing Contrast, RF",rf_faces,0.110455764741001,0.003437220591593,0.062394054034665,0.035272432514991,0.045217860152242,0.021117993783889,0.073180600148628
"Emotion Processing FC, RF",rf_faces_FC_PCA75,0.011671333489573,0.01372313339843,0.00889935835543,0.028417267624739,0.025640370298828,0.001928376917251,0.058453378675117
"MID Contrast, RF",rf_mid,-0.009023980486524,0.034253492989561,-0.000546312504246,-0.039446538462313,0.009775998548963,0.007266831056619,-0.01431893308169
"MID FC, RF",rf_mid_FC_PCA75,0.015948494779738,0.094267767990595,-0.017598830812804,0.008129128909439,0.030612768547724,-0.02525659871284,0.084851302944412
"Resting State FC, RF",rf_rest_PCA75,0.027577130047151,0.032527095639272,0.031580597625245,0.052524393286074,0.077611357603879,0.042073764129048,0.028062910749906
"Stroop Contrast, RF",rf_stroop,0.077250426310592,0.083936409414639,0.069452698057925,0.022231422393484,0.108925677919367,0.13205783742095,0.032727632508113
"Stroop FC, RF",rf_stroop_FC_PCA75,0.077962404408365,0.073850801215921,0.024101156925421,0.082548116174946,0.061026900198274,0.044243844242077,0.070938506227408
"Subcortical Volume, RF",rf_subc,0.030424945679072,0.065416188428255,0.02580590015184,-0.0052734725577,0.069703631752966,0.046667748327926,0.065007089608463
"Surface Area, RF",rf_surf,0.041366173224492,0.020771703917939,0.061456742750539,0.054813872578406,0.108644454579166,0.066308128332697,0.08550386213113
"Total Brain Volume, SVR",svr_brainVol,0.090781266719016,0.026623454109302,0.102847766686653,-0.003436075916893,0.107888814169472,0.103942550050617,0.128224262723372
"Cortical Thickness, SVR",svr_cort,0.075173642477935,0.035984663900373,0.074681848432457,-0.011177003652592,0.022542877814441,0.02888026941854,0.064020840248985
"Facename: Encoding-Distractor, SVR",svr_facename,0.169473327186073,0.042498663789336,0.29237595048182,0.192290328463923,0.162774189170158,0.201431778527333,0.197885959423472
"Facename FC, SVR",svr_facename_FC_PCA75,0.061797945728143,0.074032397948974,0.096008226329114,0.051318779055905,0.080214462876198,-0.039437100425989,0.081944794830344
"Emotion Processing Contrast, SVR",svr_faces,0.093186944142849,0.031776729418467,0.133288013148219,0.031995893009594,0.054006735486336,0.025753557854254,0.119477456286979
"Emotion Processing FC, SVR",svr_faces_FC_PCA75,-0.004752672772887,0.033226006066784,-0.045458231679025,0.004101474111497,0.015252586560955,0.012301532187029,0.068321169175098
"MID Contrast, SVR",svr_mid,-0.026949268668893,0.028801538795422,0.003111530940199,-0.000153022440929,0.035916384965598,-0.012215703511063,-0.001582718425461
"MID FC, SVR",svr_mid_FC_PCA75,0.049473455788936,0.064811750333801,0.030197536167262,0.019173650459796,0.090625558826194,-0.043540849678629,0.083364096200981
"Resting State FC, SVR",svr_rest_PCA75,-0.018577719723361,0.027139759294046,0.084717051151618,0.058410542860561,0.195940186709292,0.02628400611065,0.013499243253678
"Stroop Contrast, SVR",svr_stroop,0.110901536160196,0.117418757922851,0.146040707841392,0.065468278948928,0.103053020257743,0.145321897996806,0.127085798521015
"Stroop FC, SVR",svr_stroop_FC_PCA75,0.095729933895169,0.114615000270524,0.073414565514078,0.111851927440942,0.114023666471146,0.043172118282252,0.083167404673792
"Subcortical Volume, SVR",svr_subc,0.029611232373906,0.043681848340622,0.060558215577786,-0.016752918830307,0.082013068737655,0.059822022757359,0.086506048423886
"Surface Area, SVR",svr_surf,-0.020208648380508,0.026430759274392,0.063546323839533,0.02011590492794,0.096790090663865,0.079598511608996,0.064557379067168
"Total Brain Volume, XGB",xgb_brainVol,0.051878833237136,0.050628623502302,0.051837854042954,0.038889183172592,0.088252787435565,0.073384365672492,0.089901746471016
"Cortical Thickness, XGB",xgb_cort,0.0093557089074,-0.047050301056532,0.037969553197225,-0.019112993285161,0.016637745647013,-0.000812760548671,0.021176352182797
"Facename: Encoding-Distractor, XGB",xgb_facename,0.095212068822996,-0.012087056784202,0.220501468501575,0.147170275818325,0.131498156707389,0.148186921720963,0.143240377680057
"Facename FC, XGB",xgb_facename_FC_PCA75,0.088027143220105,0.058871105127632,0.061820153849118,0.037848631573792,0.069719492658145,-0.040704874634678,0.060149879634844
"Emotion Processing Contrast, XGB",xgb_faces,0.076960127697261,-0.060714414117062,0.033944049520435,0.011177088458728,0.034717432922511,-0.008985182786103,0.060873809944315
"Emotion Processing FC, XGB",xgb_faces_FC_PCA75,0.001378440228127,0.014642974813201,-0.010891439643994,0.011040326558127,0.000533648344559,-0.025587028609916,0.067862063691657
"MID Contrast, XGB",xgb_mid,-0.066908615041313,-0.017498617429745,-0.031579563713751,-0.120656700164125,-0.008072207488264,-0.101405773002211,0.011295753750788
"MID FC, XGB",xgb_mid_FC_PCA75,0.005704406713008,0.061855877478619,-0.050656260104431,-0.060805155832492,0.0585663538883,-0.096396876588473,0.076712394362332
"Resting State FC, XGB",xgb_rest_PCA75,-0.008875171511132,0.017092281884685,0.021998693414921,0.026957535577864,0.118614077743809,0.034233240342865,-0.004848154481551
"Stroop Contrast, XGB",xgb_stroop,-0.013507263528811,0.083830472094538,0.042988334758355,0.095871189928311,0.063709046258558,0.098054382145727,-0.05000488622495
"Stroop FC, XGB",xgb_stroop_FC_PCA75,0.047120671360635,0.122187453827563,-0.029540760509453,0.12587400153509,0.056038371859336,-0.06302921001599,0.091102767374988
"Subcortical Volume, XGB",xgb_subc,-0.006611062300405,0.054115807042391,-0.012605628270159,-0.0208761870373,0.059981993906896,0.03742912625753,0.070178381019568
