name,label,Fold_0,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6
"Total Brain Volume, eNet",eNet_brainVol,0.080824593663246,0.088787930217289,0.128577218318231,0.044519152107903,0.103742795981302,0.108767270768466,0.112543667484264
"Cortical Thickness, eNet",eNet_cort,0.018900021704351,0.015677509439496,0.04929452317262,0.056445495625216,0.05391066095892,0.032371264692388,0.056092700943363
"Facename: Encoding-Distractor, eNet",eNet_facename,0.133825063582079,0.060447123249299,0.247085488482648,0.25541307458501,0.234737105509385,0.120114054116537,0.14691054808567
"Facename FC, eNet",eNet_facename_FC_PCA75,0.052745794887089,0.073629461128688,0.090970837146853,0.050351422995525,0.070576820237703,-0.008465616470278,0.06046608396737
"Emotion Processing Contrast, eNet",eNet_faces,0.052501089785265,0.048950991436409,0.068041164060705,0.100602802758113,0.166188218997123,0.050731964147724,0.141198582145239
"Emotion Processing FC, eNet",eNet_faces_FC_PCA75,0.002604418606361,0.033274634891951,0.017082540602222,0.019809216210604,0.014660641883584,-0.042022114145151,0.022034526835766
"MID Contrast, eNet",eNet_mid,-0.022184888677883,0.033763567523934,-0.008189747925541,0.018526490858667,0.045837751486483,-0.030826445232573,-0.005658297083719
"MID FC, eNet",eNet_mid_FC_PCA75,0.055108926153292,0.052615446861545,0.035357859217242,0.045811930916703,0.0196503091447,-0.000969200380355,0.051331885887342
"Resting State FC, eNet",eNet_rest_PCA75,0.023794824035383,0.014513839989004,0.058978985302211,0.073554177135797,0.105370613334196,0.055684135508822,0.039833402826069
"Stroop Contrast, eNet",eNet_stroop,-0.046551281591132,0.041197463576354,-0.020451836397969,0.016530225706343,-0.001843820842807,0.006411069968274,-0.002950831977012
"Stroop FC, eNet",eNet_stroop_FC_PCA75,0.058673250344217,0.055190725181532,0.070943275223463,0.056387044041007,0.068459541904052,0.038265840930973,0.072006485693236
"Subcortical Volume, eNet",eNet_subc,0.059030218585031,0.10869320980914,0.117656065915708,-0.021678203556567,0.096399773083449,0.074655174350418,0.087033764744713
"Surface Area, eNet",eNet_surf,0.058908251890528,0.099171816947895,0.069786376491584,3.38284037252334E-05,0.097282867270386,0.058987553226471,0.099651035046495
"Total Brain Volume, RF",rf_brainVol,0.077490087170821,0.073017819833159,0.09003897200283,0.032309943416887,0.082054386031795,0.071603178702592,0.075591217780105
"Cortical Thickness, RF",rf_cort,0.033566917467875,0.011423790089266,0.007946649832096,0.039288349211602,0.026028007762284,0.027371894983443,0.014523139921564
"Facename: Encoding-Distractor, RF",rf_facename,0.111950113400912,0.100921622849361,0.176331661113054,0.164386253798473,0.159610898606308,0.060350336135602,0.101377603641665
"Facename FC, RF",rf_facename_FC_PCA75,0.071312301764217,0.063008932716897,0.089156473359412,0.05412405798604,0.088969682471155,-0.062771298430543,0.096911707377346
"Emotion Processing Contrast, RF",rf_faces,0.037437658976092,0.034601850221116,0.012895045047908,0.030754792499776,0.095302033291188,0.012115684327268,0.112184331872728
"Emotion Processing FC, RF",rf_faces_FC_PCA75,-0.020385961328105,0.024858738025732,0.010900287162448,0.024446261019968,0.049059504169992,-0.004957440617494,0.048757086606942
"MID Contrast, RF",rf_mid,-0.012759448777933,0.03206820912278,0.000251701858843,0.007507123350598,0.03428208727289,-0.005776663470374,-0.043384487523369
"MID FC, RF",rf_mid_FC_PCA75,0.006821319587964,0.044186348888128,0.01741274962833,0.053026836560541,0.044381653178468,0.015678352785732,0.033916194440662
"Resting State FC, RF",rf_rest_PCA75,0.035863893153817,0.02074917843053,0.057362923797977,0.054122690412633,0.087850475939754,0.026102381078211,0.028260467803436
"Stroop Contrast, RF",rf_stroop,0.06504567621357,0.079778738108825,0.036527008915327,0.018248872952728,0.08648068387659,0.076926917845274,0.093221404788592
"Stroop FC, RF",rf_stroop_FC_PCA75,0.032413058197182,0.066708616099827,0.042416527577213,0.07375580964537,0.08419894840006,0.031610440473749,0.079933049164811
"Subcortical Volume, RF",rf_subc,0.05714609205626,0.095148939215881,0.065316101624334,-0.003363670572192,0.073203233750092,0.054952575837161,0.072041492578516
"Surface Area, RF",rf_surf,0.078650047196631,0.074543979977621,0.089606051698095,0.0393313220729,0.092845643378316,0.041232062461382,0.101129527533898
"Total Brain Volume, SVR",svr_brainVol,0.074567504818264,0.093963828128038,0.130288528185239,0.034418286388877,0.105070687210234,0.074391360509242,0.106841290869909
"Cortical Thickness, SVR",svr_cort,0.056503870184175,0.035149499171652,0.036460017165305,0.043996554400093,0.041161215733044,0.009156794270167,0.055344973026811
"Facename: Encoding-Distractor, SVR",svr_facename,0.166544990630186,0.139064683151918,0.238937939485969,0.221156281995783,0.217693265053321,0.123667837967475,0.137323485817391
"Facename FC, SVR",svr_facename_FC_PCA75,0.057699937975074,0.071695901787082,0.119521715574566,0.082207563902833,0.131097660558955,-0.005261763016513,0.077934707127007
"Emotion Processing Contrast, SVR",svr_faces,0.039430560189146,0.045368690198152,0.049278116404502,0.125195011170939,0.162527474236148,0.017954714843885,0.122856395344335
"Emotion Processing FC, SVR",svr_faces_FC_PCA75,-0.003791527733189,0.037343001470502,-0.027934965568504,0.022246628650023,0.026466446046132,-0.012645316954662,0.048337837844263
"MID Contrast, SVR",svr_mid,-0.033338638384362,0.032330970936747,-0.025710469220779,-0.024251471278311,0.0238411255759,-0.062116062957022,-0.009279336429278
"MID FC, SVR",svr_mid_FC_PCA75,0.073898458758649,0.075674517927735,0.053441583290443,0.080229776711017,0.031529353190022,-0.005532948960871,0.025531014298271
"Resting State FC, SVR",svr_rest_PCA75,0.014717617242319,0.00634875950531,0.130728634913542,0.106348508022764,0.169713575913167,0.062658423191731,0.044229754930838
"Stroop Contrast, SVR",svr_stroop,0.088764257878271,0.057125894520019,0.081297616623168,0.029404080517277,0.114730875423356,0.132469704989248,0.121731437605346
"Stroop FC, SVR",svr_stroop_FC_PCA75,0.102962312917607,0.093423224082851,0.069200037601813,0.038944412331898,0.095848742754059,0.059072706057699,0.092712340447807
"Subcortical Volume, SVR",svr_subc,0.056119155344554,0.122753909455096,0.120419155412539,-0.024965129943811,0.094480359351074,0.092435006157191,0.091091721715699
"Surface Area, SVR",svr_surf,0.060823721435285,0.107089716554907,0.072038993543168,0.00932353425266,0.089596579096211,0.060672517674599,0.105759942699697
"Total Brain Volume, XGB",xgb_brainVol,0.047996021481981,0.076595406268518,0.089292552672867,0.041304327421564,0.089875668600602,0.047592953221082,0.082350926321534
"Cortical Thickness, XGB",xgb_cort,0.028004205515345,-0.011409388098269,-0.002522805030461,-0.097029674981274,0.02093480269029,-0.00419336489571,0.008219121534627
"Facename: Encoding-Distractor, XGB",xgb_facename,0.081989814311934,0.088277256572312,0.20502353438611,0.205651244658889,0.245585412415311,0.063746589883298,0.106524373913672
"Facename FC, XGB",xgb_facename_FC_PCA75,0.048066536954348,0.038578060318535,0.117553252619156,0.092898726853736,0.072301580980449,-0.12416565370425,0.080742201264334
"Emotion Processing Contrast, XGB",xgb_faces,-0.021143043704776,0.034885999539468,-0.02988989504705,0.03016942828005,0.12386205342292,-0.013094564882936,0.050570403481551
"Emotion Processing FC, XGB",xgb_faces_FC_PCA75,-0.041630034813461,0.029473109688998,0.024645959298933,0.031370552479647,0.026629884811204,-0.002821022140539,0.07013211059411
"MID Contrast, XGB",xgb_mid,-0.018767302248826,0.042947340698746,-0.032948556099304,-0.051049770502482,0.043361580077645,-0.032413569701721,-0.042473725056679
"MID FC, XGB",xgb_mid_FC_PCA75,-0.019284139615418,0.065248449869149,-0.05028963029645,0.048873421643317,0.046327257834853,-0.003412492851229,0.042134338273079
"Resting State FC, XGB",xgb_rest_PCA75,0.027855209670247,0.019620420655036,0.073315512829718,0.052549696051726,0.182021784964666,0.024972325485583,0.029367258176868
"Stroop Contrast, XGB",xgb_stroop,0.049539033945122,0.04145643308527,-0.008927763628474,-0.014165240603479,0.058261079880453,0.088769922587569,0.053126265429592
"Stroop FC, XGB",xgb_stroop_FC_PCA75,-0.00447413900417,0.074464933283065,-0.007886223765535,0.059760396165093,0.049240338228445,0.017165794135909,0.083990690235642
"Subcortical Volume, XGB",xgb_subc,0.057029890903333,0.087237783110855,0.066793830827818,-0.068528679498915,0.055287290072288,0.047731518988633,0.087984622290999
"Surface Area, XGB",xgb_surf,0.056670098275129,0.094982086899939,0.040505876106048,0.026185604471225,0.087642502173705,0.023549273067275,0.108361935504954
"Stacked: All, eNet+eNet",eNet_eNet_set1,0.165259271785388,0.155611855969755,0.325937637265674,0.288382868773578,0.392972340042849,0.226697771287946,0.286765502971604
"Stacked: Task Contrast, eNet+eNet",eNet_eNet_set2,0.098823187515075,0.054176987917634,0.216648834780571,0.264363152266534,0.33880196040675,0.099660990846398,0.172127621695574
"Stacked: Non Task, eNet+eNet",eNet_eNet_set3,0.052715120413532,0.062684837181559,0.185152536696247,0.047190207319696,0.204596747000443,0.145835666792632,0.13430666792538
"Stacked: Task FC, eNet+eNet",eNet_eNet_set4,0.101686043159594,0.124729449425944,0.10625163525698,0.090560228798348,0.084112538118976,-0.063420012302917,0.086310123461552
"Stacked: Task Contrast & Task FC, eNet+eNet",eNet_eNet_set5,0.193185362683849,0.122853340841818,0.259798883640642,0.296285589858607,0.340129461232406,0.121628790892982,0.260401526397407
