name,label,Fold_0,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7
"Total Brain Volume, eNet",eNet_VolBrain,-0.028920079347189,0.028479831407361,0.030267400903037,0.030877832586591,-0.012673658761249,0.065069776395203,0.079946137479181,0.066987170339776
"Cortical Thickness, eNet",eNet_cort,0.028092799428537,0.01844048649937,0.000919257713056,0.015617128232928,0.001834455515333,0.030226580270027,-0.015739799668062,0.024853369489009
"Emotion Processing Contrast, eNet",eNet_emo,-0.00108774781839,0.057127132090136,0.08918230710754,0.089246964858538,-0.034236112659129,0.004025798162169,0.029131228084029,0.137020219891532
"Gambling Contrast, eNet",eNet_gam,-0.001503389205016,-0.001050235351951,-0.002752924612646,-0.024440412850029,-0.001787250008823,-0.004004126016297,-0.042347955998839,-0.002039878299437
"Gambling FC, eNet",eNet_gam_FC_PCA75,0.058823086082886,0.045003712716246,0.046149472134649,0.087309445607785,0.026318636620694,0.11076630504537,0.098874826604357,0.09898244183834
"Language Contrast, eNet",eNet_lan,0.165566913019967,0.118035315319889,0.172238345043964,0.087213144698718,0.016536714767336,0.127038280532701,0.207308967368239,0.233254925473583
"Language FC, eNet",eNet_lan_FC_PCA75,0.160652008192724,0.110869634127908,0.087273264721236,0.151272086207231,0.046019864679041,0.183125927041731,0.166930362736763,0.109863223255845
"Motor Contrast, eNet",eNet_mot,0.113548170530811,0.04659087955663,0.074502815098228,0.106080992937305,-0.00097648124734,0.049007807754435,0.012627533644745,0.062011534147398
"Motor FC, eNet",eNet_mot_FC_PCA75,0.119448108267619,0.066507296929189,0.117017533349566,0.084655274860155,0.084387689562223,0.059620224802127,0.105501098801027,0.124015500863314
"Relational Contrast, eNet",eNet_rel,0.05202609224223,0.062645256127948,0.020086843736293,0.133485723740739,0.178473817488932,0.102341869531001,0.15149211764064,0.093371082261957
"Relational FC, eNet",eNet_rel_FC_PCA75,0.109774795004494,0.065037754496448,0.131988169538348,0.092264787284949,0.030811302528193,0.118427024065128,0.072212287398553,0.081516537490954
"Resting State FC, eNet",eNet_rest_PCA75,0.065356978863313,0.055097645558569,0.097154473269955,0.100066845023516,0.048313500762718,0.067280046980279,0.05149509526655,0.103077973164373
"Social Cognition Contrast, eNet",eNet_soc,0.088712223747765,-0.000520360902485,0.082033851614198,0.048293462648934,0.077443155239529,0.023971857341729,-0.00399985660345,0.048150615239611
"Social Cognition FC, eNet",eNet_soc_FC_PCA75,0.210678163391,0.132302692846476,0.197214404509893,0.114506339708924,0.117232510680618,0.177906823537273,0.157842390620416,0.144812234067285
"Subcortical Volume, eNet",eNet_subc,-0.080467315241414,0.062340801792965,0.007331578390074,0.03025581653859,-0.039470684425328,0.050816553968136,0.019652184792547,0.010890610837671
"Surface Area, eNet",eNet_surf,-0.010510381684148,0.028752816819253,0.057019636212564,0.098211629231688,0.040512894396191,0.078574006465475,0.02873999451384,0.102774631822371
"Working Memory Contrast, eNet",eNet_wm,0.300920766071693,0.236395111569597,0.260357062683746,0.228847015000685,0.128054114128991,0.170224453411524,0.243474759227864,0.311232630012557
"Working Memory FC, eNet",eNet_wm_FC_PCA75,0.132780803771998,0.121988637460811,0.219408634389409,0.226744123196174,0.087262966928742,0.230003999428005,0.234765987460897,0.238817094806959
"Total Brain Volume, RF",rf_VolBrain,-0.03349398801217,0.066186491645442,-0.040708131421702,0.065231732941003,0.001611729257894,0.02937480255411,0.068750296279446,0.03311246280563
