,r2,mae,corr
eNet_brainVol,0.08562605445339898,0.7558287581255884,0.3132415795931873
eNet_cort,0.03634460347643206,0.7848503306070487,0.21757577019879498
eNet_facename,0.1742423491467888,0.7160588796037438,0.43108765511981467
eNet_facename_FC_PCA75,0.03302812657105858,0.7791566006670336,0.2245200171041759
eNet_faces,0.09078399547089813,0.7572933245944027,0.31435443457028384
eNet_faces_FC_PCA75,0.005511865310115541,0.7940963705022475,0.14251718831051838
eNet_mid,0.008763080846737112,0.7974461463299143,0.16225120051894737
eNet_mid_FC_PCA75,0.03451378001364217,0.7816111016877494,0.2348503724898466
eNet_rest_PCA75,0.05319187742776418,0.7720634343339635,0.2794071375536981
eNet_stroop,0.027073486401776346,0.7815889499991041,0.2061184448042876
eNet_stroop_FC_PCA75,0.06990960024661384,0.7671691205469087,0.29350156179877424
eNet_subc,0.05262171292458773,0.7732389312342224,0.2545472249281679
eNet_surf,0.07402228113772417,0.7679080871156064,0.2953502447457602
rf_brainVol,0.05873432909946574,0.7688979031055837,0.2662538721522808
rf_cort,0.029099150926170166,0.7866747234161732,0.19876093181450266
rf_facename,0.1530800958695538,0.7284790307699792,0.4216191456336773
rf_facename_FC_PCA75,0.045646793867983156,0.7741800327284581,0.2531220315681861
rf_faces,0.05015370370957247,0.7750690740234599,0.2534450064325613
rf_faces_FC_PCA75,0.021247602679909803,0.7885405571421383,0.18788577435299272
rf_mid,-0.001719920277090067,0.798256390860022,0.12011588663137816
rf_mid_FC_PCA75,0.027279147663751706,0.7850790136899415,0.217584776142044
rf_rest_PCA75,0.04170817844008212,0.7796442784135543,0.2601520400435698
rf_stroop,0.0752260148607242,0.7686151085242887,0.2939795587402978
rf_stroop_FC_PCA75,0.06209596134177294,0.7711417806097625,0.2906279222234032
rf_subc,0.042536004484402916,0.7776163480969049,0.2378580222893561
rf_surf,0.06269499107348134,0.7703863966810546,0.2810418015395503
svr_brainVol,0.07955314836307704,0.7585502316158016,0.30493555971275593
svr_cort,0.041443876948591085,0.783261030835811,0.22691525965785098
svr_facename,0.17981859957744487,0.7140372664122958,0.43977775252434004
svr_facename_FC_PCA75,0.057982786620384065,0.7693771722583419,0.2670708853939013
svr_faces,0.0699264756209568,0.7639848301782362,0.2864922710217067
svr_faces_FC_PCA75,0.011855980521349998,0.7918720130188136,0.17839039394422046
svr_mid,0.003846963093553178,0.7948372324469452,0.14693395117939703
svr_mid_FC_PCA75,0.04201502829976308,0.7728810191966822,0.24794070159556197
svr_rest_PCA75,0.05534472423664062,0.772664732642888,0.2817421838177502
svr_stroop,0.11646999966413282,0.747035477507434,0.35261854676614884
svr_stroop_FC_PCA75,0.09085351664970041,0.7541269334316025,0.3166030679323654
svr_subc,0.04934850248298656,0.7745696942544493,0.25026023460804075
svr_surf,0.04726147442876949,0.7754168052033753,0.2563403462473544
xgb_brainVol,0.06353905621915079,0.7651960664141939,0.27574934393978173
xgb_cort,0.0025947578634386253,0.7940496109775339,0.140422978368299
xgb_facename,0.1248174589238719,0.7418567729088971,0.38356417464611503
xgb_facename_FC_PCA75,0.04796164734699393,0.7734937160712944,0.2547532832528951
xgb_faces,0.021138987377155027,0.785184382257451,0.21025440213220511
xgb_faces_FC_PCA75,0.008425569340251642,0.7913863505404831,0.1631519875560873
xgb_mid,-0.04783224615551734,0.82209753185074,0.03705766129048282
xgb_mid_FC_PCA75,-0.0007170371547338604,0.7961813890956637,0.18450315257100097
xgb_rest_PCA75,0.029310357567351515,0.7808779967748726,0.2205015030559973
xgb_stroop,0.04584875363310405,0.7757372257830488,0.26180287085948745
xgb_stroop_FC_PCA75,0.04996475649030985,0.7719839066794767,0.2671308924473668
xgb_subc,0.025944632945502945,0.7826097464037375,0.2078026650934588
xgb_surf,0.06886242129540024,0.7678330696790595,0.28596343334528307
eNet_eNet_set1,0.2902114416774183,0.6637437720448887,0.5489797595912043
eNet_eNet_set2,0.18744841496585776,0.7176004716360593,0.4587257309342169
eNet_eNet_set3,0.12400521496391277,0.7360208756504536,0.37969481077570955
eNet_eNet_set4,0.04335724442229497,0.7647317471941638,0.27523424485065356
eNet_eNet_set5,0.23086745363681693,0.6946070455459206,0.4927493606228555
eNet_eNet_set6,0.26309456477032594,0.6806173025267538,0.5273998208702817
eNet_eNet_set7,0.13371983485439914,0.7368914878772289,0.39626377882244185
eNet_eNet_set8,0.08374826443972298,0.7529363176926468,0.3256478704407208
eNet_rf_set1,0.2828258874865869,0.6705321949863767,0.5427914540416499
eNet_rf_set2,0.18146373969454538,0.7183179363728038,0.45257283903689777
eNet_rf_set3,0.0892920090967672,0.7479220572486908,0.35032608064217646
eNet_rf_set4,0.06377916718609764,0.7548415387674269,0.29206813022088624
eNet_rf_set5,0.2390322903286744,0.6914092844862233,0.496958427773932
eNet_rf_set6,0.2614320518568047,0.6777204586330895,0.5222459324278536
eNet_rf_set7,0.13035868478638515,0.7373136225741754,0.3917416274371459
eNet_rf_set8,0.08571162795662032,0.7511579119428377,0.33578329338821156
eNet_svr_set1,0.283894184956623,0.6634542143939398,0.5469468680595445
eNet_svr_set2,0.1841288072959775,0.7190698140790902,0.4622586773120961
eNet_svr_set3,0.12319448842222543,0.7362158769636532,0.38012655668244616
eNet_svr_set4,0.06078510467416742,0.7598441374950723,0.2957272053835685
eNet_svr_set5,0.23049002191186974,0.6937094924759616,0.4946813342714437
eNet_svr_set6,0.25836112330064415,0.6804410113734468,0.5270679126816834
eNet_svr_set7,0.11930715707164355,0.7413131291207465,0.3860004859964968
eNet_svr_set8,0.08568413421707477,0.7520784124640532,0.335664537920798
eNet_xgb_set1,0.27183138389052264,0.6729855030361975,0.536549403866747
eNet_xgb_set2,0.17229055384559158,0.7204874500011567,0.4556904296756166
eNet_xgb_set3,0.10071099111182576,0.7449565661906943,0.3624024198392787
eNet_xgb_set4,0.05098918773910462,0.760990135045782,0.2895037909444193
eNet_xgb_set5,0.23404086983880926,0.6916422661575324,0.49964990328862385
eNet_xgb_set6,0.24774356239276146,0.6829959201452077,0.5181960903601858
eNet_xgb_set7,0.1276831025852387,0.7375121561481268,0.3993194632444301
eNet_xgb_set8,0.08493803368817043,0.7487630012230769,0.3352254849559571
rf_eNet_set1,0.14869218426646966,0.7345574420841733,0.5145739967694972
rf_eNet_set2,0.1391180292107101,0.7366629140866235,0.4120079330700926
rf_eNet_set3,0.06691346335801317,0.7677879856014498,0.2897465800376503
rf_eNet_set4,0.06534308276266163,0.7658672849416097,0.2923631664676783
rf_eNet_set5,0.13620139987745344,0.7386903887814906,0.4524998238869796
rf_eNet_set6,0.14686912700259872,0.735367071100787,0.4879715037783057
rf_eNet_set7,0.09335920819096168,0.7560914680411432,0.37428594938284804
rf_eNet_set8,0.0830862925361859,0.7593010832788893,0.3426980591566986
rf_rf_set1,0.13248075221159067,0.7422381477352916,0.4685949300628022
rf_rf_set2,0.13129998956439173,0.7381387477672324,0.3928337539780086
rf_rf_set3,0.05166285616924747,0.7735359003794432,0.26215786264470964
rf_rf_set4,0.05078571633668716,0.7750248792751305,0.2717317688209627
rf_rf_set5,0.12882595691666018,0.7436866280163482,0.42539538679475736
rf_rf_set6,0.127355945773536,0.7445761862516008,0.4370845951902009
rf_rf_set7,0.08835860698593019,0.7588832297743991,0.3449546018393274
rf_rf_set8,0.0805453855524098,0.7618889243483817,0.3229120496487387
rf_svr_set1,0.14848532642269838,0.7359623661787698,0.5006540086420078
rf_svr_set2,0.13932123553913076,0.734473652119254,0.40221955206884646
rf_svr_set3,0.06501914113889597,0.7685046122894651,0.28361886946646686
rf_svr_set4,0.057306217256149754,0.7710142653594867,0.27517583785105904
rf_svr_set5,0.1325624052743624,0.7421933623950709,0.42818811489887587
rf_svr_set6,0.14137684024343475,0.739159263965733,0.4720249846029406
rf_svr_set7,0.09093880311081688,0.7582638129218163,0.3543674540764861
rf_svr_set8,0.08401615438907066,0.760996331580884,0.3315132921633149
rf_xgb_set1,0.12242222066910495,0.7480680640273559,0.45227832979332167
rf_xgb_set2,0.11781757487075435,0.744929808746492,0.37008617815981865
rf_xgb_set3,0.05392229578873258,0.7728593231653959,0.2638829773879391
rf_xgb_set4,0.052124459901142575,0.7735833247947792,0.2659306127131641
rf_xgb_set5,0.1205206433912376,0.748879273824916,0.4097752949834774
rf_xgb_set6,0.11497534701514567,0.750719895135087,0.4133650215637212
rf_xgb_set7,0.07703210528519053,0.7643194278852237,0.3207814506290538
rf_xgb_set8,0.07982944518207528,0.7624762939062728,0.3215535779995494
svr_eNet_set1,0.24824101104781798,0.6883429601233331,0.5082379662380788
svr_eNet_set2,0.18224457590529688,0.7128126060455687,0.44626938326426563
svr_eNet_set3,0.07056464353228266,0.7611391284486142,0.3400993369198863
svr_eNet_set4,0.0633257676412017,0.7613647505554927,0.3108795515548031
svr_eNet_set5,0.2130189663206463,0.6974752374321508,0.4689577845659357
svr_eNet_set6,0.21956739982570234,0.6937396984632231,0.4824149292324845
svr_eNet_set7,0.11154441565268633,0.7445563165848945,0.3854303564334372
svr_eNet_set8,0.07678668001725726,0.7582866062454608,0.3451031562310787
svr_rf_set1,0.14678000057091992,0.7337029293240767,0.4286808456235001
svr_rf_set2,0.14919688977023554,0.7310775732129843,0.42701245034520435
svr_rf_set3,-0.011476480491114018,0.794248388636573,0.29269456765711765
svr_rf_set4,0.024194316345311155,0.7756656700177053,0.28779249980156096
svr_rf_set5,0.17624506669866613,0.7196634553120101,0.4474542661039872
svr_rf_set6,0.1955563199491818,0.7053969934990868,0.46511081002175764
svr_rf_set7,0.058202230499343637,0.7645124954111159,0.35014995292789475
svr_rf_set8,0.0214177150854746,0.7809678085502034,0.32220971436282986
svr_svr_set1,0.2175136595813551,0.7030809962562848,0.47585443729151217
svr_svr_set2,0.17489060938256434,0.7131244804809299,0.4486276821905128
svr_svr_set3,0.046498131631224085,0.7714021267417132,0.321098237447783
svr_svr_set4,0.052085802524477955,0.7672027146147915,0.3065509729997983
svr_svr_set5,0.1998321639570644,0.7024033767670679,0.4615499665236859
svr_svr_set6,0.20080195902945414,0.7005179608942106,0.46619196111362776
svr_svr_set7,0.09136679076899372,0.7530483727427509,0.37103319543277635
svr_svr_set8,0.05857970827953883,0.7644998268989278,0.33486750739565485
svr_xgb_set1,0.1851080609960407,0.7165898577160098,0.4540125901492876
svr_xgb_set2,0.14389957913562013,0.7339141416048898,0.4298196661265739
svr_xgb_set3,0.029742378733108477,0.7782810929897089,0.3238586193086595
svr_xgb_set4,0.03594508386006577,0.7703614272737649,0.2969636177859328
svr_xgb_set5,0.17271265485694917,0.7214667946237495,0.4465334958062656
svr_xgb_set6,0.17250153494310086,0.711763880987572,0.45292267678737824
svr_xgb_set7,0.05175769552703112,0.7674176549936024,0.35189062841342533
svr_xgb_set8,0.021875760717796067,0.7782632151777459,0.3198128557570184
xgb_eNet_set1,0.1247233935403718,0.744517803130961,0.39270958243988724
xgb_eNet_set2,0.051436706087332085,0.7796877318181623,0.26895711689627916
xgb_eNet_set3,0.017894450430300055,0.7876229854296078,0.2667846476665757
xgb_eNet_set4,0.0022143083262840613,0.7937268067077082,0.228585059028594
xgb_eNet_set5,0.10331403192160325,0.7564057973485008,0.33683761889230934
xgb_eNet_set6,0.08504690666778181,0.7642517419037136,0.3211403248631383
xgb_eNet_set7,0.028791368954911172,0.7813970971383615,0.25035839331735965
xgb_eNet_set8,0.02307697852274842,0.7816556893985672,0.24388336011854866
xgb_rf_set1,0.021920081998656138,0.7902757948892213,0.23750125619845405
xgb_rf_set2,-0.028203930330346485,0.8084999418154785,0.17993514394636298
xgb_rf_set3,-0.027167971250841187,0.8054205355712328,0.23710134125326168
xgb_rf_set4,-0.029013091745466686,0.8045551207668771,0.21467743128244896
xgb_rf_set5,0.027837946467192985,0.7798935448706226,0.2224675525436753
xgb_rf_set6,-0.013246933350286467,0.8029392636101681,0.1910849504926502
xgb_rf_set7,-0.001508142988362596,0.791562615256262,0.22547983426164234
xgb_rf_set8,-0.009608985787835518,0.7952295408826533,0.22242871700976646
xgb_svr_set1,0.059401949301160654,0.7748067220747512,0.271728496407233
xgb_svr_set2,-0.00015763505410721596,0.7983893284805277,0.20991260296792766
xgb_svr_set3,-0.011953591132270427,0.8002147176448273,0.24814215556416563
xgb_svr_set4,-0.02158750576016271,0.8030793306772613,0.21904201775976265
xgb_svr_set5,0.047127795400416055,0.7780665883633663,0.24668531551401054
xgb_svr_set6,0.029262514381521196,0.7878185770781422,0.23686229039027487
xgb_svr_set7,0.00645033198702037,0.7912265555254352,0.23322613346035706
xgb_svr_set8,0.0003550729131052144,0.7909518195371225,0.2315694127425267
xgb_xgb_set1,0.040618171622173974,0.7827941114151125,0.24334141426221498
xgb_xgb_set2,-0.005983439787812572,0.8005821017005174,0.20005204975211527
xgb_xgb_set3,-0.022660292833320987,0.8038608877971182,0.24256990102919632
xgb_xgb_set4,-0.02580586676348051,0.8042869353818042,0.21707342026527862
