,r2,mae,corr
eNet_brainVol,0.09539466122010008,0.7460007352880116,0.3235898327395823
eNet_cort,0.04038459664805046,0.7777052232879512,0.21859660689793342
eNet_facename,0.17121892251580398,0.7134187056322554,0.4252525303705899
eNet_facename_FC_PCA75,0.05575354341327843,0.7665221137257072,0.2589836957046442
eNet_faces,0.0897449733329397,0.7527107949779565,0.30957288444040815
eNet_faces_FC_PCA75,0.009634837840762356,0.7879746551916181,0.14477647769059482
eNet_mid,0.004466918707052562,0.7927525249247589,0.13143808681458732
eNet_mid_FC_PCA75,0.0369867368286383,0.7755088426122688,0.2365897561044283
eNet_rest_PCA75,0.05310428259021165,0.7697915805782133,0.27355660020930755
eNet_stroop,-0.0010941445082784465,0.7938068100836592,0.10338323382006213
eNet_stroop_FC_PCA75,0.05998945190264001,0.7645314784589541,0.26785550290037113
eNet_subc,0.07454142899027032,0.7541921693591364,0.29534093654325816
eNet_surf,0.06911738989672622,0.7548289967935217,0.2879927133149987
rf_brainVol,0.0717293721340269,0.7545843072420516,0.28846628739939356
rf_cort,0.022878392752589818,0.7851796657940936,0.17770600447888799
rf_facename,0.12498978422076792,0.7333734810120498,0.37822750329611443
rf_facename_FC_PCA75,0.05724455103493177,0.7668488807058382,0.274042768231258
rf_faces,0.047898770890867866,0.7676910675431541,0.23550637442247457
rf_faces_FC_PCA75,0.01895406786278337,0.782013711226295,0.18564835395147375
rf_mid,0.001741217404776523,0.7929596767987716,0.1331700341142393
rf_mid_FC_PCA75,0.030774779295689263,0.7755436693037356,0.21828541293547876
rf_rest_PCA75,0.0443302872309082,0.7738136079985425,0.26519463968659646
rf_stroop,0.06517561467155789,0.764905785178401,0.2763671772942018
rf_stroop_FC_PCA75,0.05871949279403014,0.7680239815317089,0.27052935173241394
rf_subc,0.05920639492715017,0.7595952552335359,0.26436860043918736
rf_surf,0.07390551918840615,0.756535736656514,0.29253849744702615
svr_brainVol,0.08850592658711465,0.7510592277209838,0.3135573628032366
svr_cort,0.03968184627874938,0.7811872493564423,0.22003708855086274
svr_facename,0.17776978344314895,0.7148200518097434,0.4307743594464339
svr_facename_FC_PCA75,0.07641367484414334,0.7553430638566285,0.29470435783636606
svr_faces,0.08037299462672935,0.7521527660317303,0.2947749026466981
svr_faces_FC_PCA75,0.012860300536366427,0.78779033958981,0.16882202090152917
svr_mid,-0.014074840251014877,0.8015037039352058,0.09278312427181297
svr_mid_FC_PCA75,0.04782453645932357,0.7646751927663512,0.2549081303374678
svr_rest_PCA75,0.07639218195995293,0.7599446170417136,0.294257622503271
svr_stroop,0.08936055250809785,0.747300598473298,0.31162094698569626
svr_stroop_FC_PCA75,0.07888053945624778,0.7513789812981043,0.2946641802008112
svr_subc,0.07890488249890604,0.7518239472609446,0.29581978292467653
svr_surf,0.07218642932236109,0.7558669659144334,0.28850969446449237
xgb_brainVol,0.0678582651411639,0.7571474670814291,0.28248752444633934
xgb_cort,-0.008285300466493164,0.797736576112291,0.11710017459701993
xgb_facename,0.1423997465916465,0.73128236129377,0.38283144129843666
xgb_facename_FC_PCA75,0.046567815040901094,0.7725732422314555,0.24371115263607016
xgb_faces,0.02505148301274675,0.7779527316670379,0.20578051409127288
xgb_faces_FC_PCA75,0.019685794274127373,0.7759440716310902,0.1787366174197625
xgb_mid,-0.013049143261803144,0.7979549465604954,0.07673345489508906
xgb_mid_FC_PCA75,0.018513886408185774,0.7792111603432595,0.1872925769551093
xgb_rest_PCA75,0.05852888683340597,0.7655299264722597,0.25731633548911226
xgb_stroop,0.03829424724229328,0.7742548574803205,0.22692962112997384
xgb_stroop_FC_PCA75,0.03889454132549281,0.7763507394017193,0.23170129797130162
xgb_subc,0.04764803667071565,0.7632631022207688,0.2443960914764362
xgb_surf,0.06255676807118195,0.7646167268860528,0.27134297407283015
eNet_eNet_set1,0.2630896068709705,0.6715983079409116,0.522979494234044
eNet_eNet_set2,0.17780039077550497,0.7148149590671683,0.452276299044225
eNet_eNet_set3,0.11892596904706987,0.7379562027352128,0.3652846641764757
eNet_eNet_set4,0.07574714370263934,0.7488434109765338,0.29702296836772923
eNet_eNet_set5,0.22775470793538735,0.6837661617830523,0.4875309953825099
eNet_eNet_set6,0.25323637536388005,0.6780040424599729,0.516717215528383
eNet_eNet_set7,0.14908210952450426,0.7259302185628407,0.4007820574735654
eNet_eNet_set8,0.10459364072097214,0.7410185197291443,0.3383685741008046
eNet_rf_set1,0.2602216210289883,0.6742538385164648,0.5192972488630044
eNet_rf_set2,0.18214339862775603,0.7146804423145959,0.4514048714430923
eNet_rf_set3,0.09447422914237662,0.7502804126640233,0.3335485673302981
eNet_rf_set4,0.09032573984950074,0.7428367349447481,0.32073833596937323
eNet_rf_set5,0.2410732332331333,0.6834099658191075,0.4992879124269545
