,r2,mae,corr
eNet_brainVol,-0.008341846662559105,0.7955923342020365,0.10117094938109858
eNet_cort,-0.01598915022521406,0.7965081919116532,0.04516152625667514
eNet_facename,0.02488836199649983,0.7820602859567393,0.20883296198046244
eNet_facename_FC_PCA75,-0.020655973597748307,0.7976392586184513,-0.0007173242548780347
eNet_faces,-0.00607960975049493,0.7940191743985107,0.11907511211386025
eNet_faces_FC_PCA75,-0.019202803364558818,0.7982163122244496,0.015353848199874369
eNet_mid,-0.020884472694489484,0.7986763693080621,0.015960497469317037
eNet_mid_FC_PCA75,-0.016285594900421283,0.7954721342628897,0.016024356347266216
eNet_rest_PCA75,-0.005357757709265181,0.7924709809842639,0.13234998471482848
eNet_stroop,-0.01423080942833813,0.795858336041298,0.1773563558961292
eNet_stroop_FC_PCA75,-0.01400033216185432,0.7966481083856323,0.08557424752154065
eNet_subc,-0.01899920917151749,0.7977948245384942,0.02217946140846708
eNet_surf,-0.02138167078766067,0.8001582348115814,0.0023862468097119865
rf_brainVol,-0.012675228708020006,0.7962456892517181,0.06589382618725234
rf_cort,-0.023644598548531372,0.7996940070836173,0.029201976726544048
rf_facename,0.008136325919131524,0.7852244494036668,0.17378652291485158
rf_facename_FC_PCA75,-0.01853193001931173,0.7977365806652175,-0.010232717405089084
rf_faces,-0.007305312028894125,0.7978549280999923,0.09578352749764632
rf_faces_FC_PCA75,-0.013631208176542477,0.7972079700993152,0.06604848442937991
rf_mid,-0.020599817295691682,0.7959708888399327,0.014441246188684156
rf_mid_FC_PCA75,-0.021004172399177432,0.798861522411678,0.0835822277480449
rf_rest_PCA75,-0.014919061179211792,0.7965759848947741,0.08687717367316296
rf_stroop,-0.0009538419571944219,0.7890270506833013,0.13166396715792966
rf_stroop_FC_PCA75,-0.015102810995900051,0.7978635320817571,0.07543016771236681
rf_subc,-0.02506502065135046,0.8016483169976658,0.008305746489047543
rf_surf,-0.01512910410368191,0.798468025721054,0.06951812600044231
svr_brainVol,-0.00937773692534243,0.7953646537378539,0.10362480193775447
svr_cort,-0.018010358889214904,0.7968821513116842,0.06713157987919667
svr_facename,-0.0020431026474396763,0.7907391636936577,0.14624110560869033
svr_facename_FC_PCA75,-0.01768548561788495,0.7948600592568792,0.025073789633693524
svr_faces,-0.02886354137234905,0.804480204893527,0.08313272713864832
svr_faces_FC_PCA75,-0.02080897330534218,0.7992594443049407,0.03838931721557511
svr_mid,-0.021417342947958908,0.7989664639970618,0.047057720278605206
svr_mid_FC_PCA75,-0.021547561793584444,0.7982468999712011,0.04000884664726978
svr_rest_PCA75,-0.01054942113610069,0.7959618121147202,0.10306213136788721
svr_stroop,-0.0014042110711389721,0.793563150772952,0.14152369533674355
svr_stroop_FC_PCA75,-0.012962811251644937,0.7955054041574571,0.07520650534403192
svr_subc,-0.021807793765803156,0.7981499094726036,0.02600411902593728
svr_surf,-0.018785575733208777,0.7974484345164211,0.017265676258383277
xgb_brainVol,-0.014624336437751724,0.7977567165607835,0.07279989071957384
xgb_cort,-0.03629051104079089,0.8061247026781455,0.02444647147088996
xgb_facename,0.012840732533240378,0.784130546328208,0.17495521150689708
xgb_facename_FC_PCA75,-0.030893109931438487,0.8038972087360519,-0.02422626035570885
xgb_faces,-0.01723064332414015,0.7985250513517131,0.1335556657656811
xgb_faces_FC_PCA75,-0.030281389130216115,0.8041240377174693,0.04616186271789447
xgb_mid,-0.029119927296626442,0.7996336903583063,0.014455095127036287
xgb_mid_FC_PCA75,-0.01461941027283247,0.7965471152344523,0.08924893938433516
xgb_rest_PCA75,-0.02289044197724905,0.8025880886072558,0.09857319779454064
xgb_stroop,-0.010142562704117286,0.7945982032983414,0.09424300088077939
xgb_stroop_FC_PCA75,-0.02273086919071681,0.7998447819205531,0.06167834634627696
xgb_subc,-0.03469606106379405,0.8021880335279439,0.0017089185017135622
xgb_surf,-0.00482118734278517,0.7978612794933072,0.10704116238435443
eNet_eNet_set1,-0.04738895404890691,0.8104061105747487,0.17323651525148318
eNet_eNet_set2,-0.046880359351949084,0.8107722587148553,0.16960513482785436
eNet_eNet_set3,-0.04821176805002198,0.8111985184133427,0.11595421199349723
eNet_eNet_set4,-0.0892822657962541,0.8255399557113218,0.024885455241174772
eNet_eNet_set5,-0.05386633153617017,0.8120122329916933,0.1562399859853747
eNet_eNet_set6,-0.04603650208010895,0.807602598499736,0.18185059052048771
eNet_eNet_set7,-0.08768602505050398,0.8263271945529758,0.07640989793862918
eNet_eNet_set8,-0.05649613486101308,0.8114936945048739,0.10095626714736983
eNet_rf_set1,-0.05552542292615286,0.811886748919341,0.15965192991012483
eNet_rf_set2,-0.03792193519153727,0.8061666211120025,0.16641812851802756
eNet_rf_set3,-0.05181129735499563,0.8142859331814057,0.11310152427084642
eNet_rf_set4,-0.08774801219441265,0.826526803445125,0.023234861332143558
eNet_rf_set5,-0.07374122855343841,0.8152474325780688,0.13414354682781363
eNet_rf_set6,-0.030020979542555924,0.8005698221186656,0.18826362439893982
eNet_rf_set7,-0.08789289419512769,0.829335353159754,0.08151205550504814
eNet_rf_set8,-0.05689937024326498,0.8149128853726545,0.11442469323583802
eNet_svr_set1,-0.05281381627610345,0.812222822234391,0.16986289556280082
eNet_svr_set2,-0.06148251103424153,0.8146640631017703,0.16418843647208645
eNet_svr_set3,-0.05846828647942738,0.8128549322523655,0.10953525105582358
eNet_svr_set4,-0.10048990253849241,0.8278606596287491,0.023396841617288548
eNet_svr_set5,-0.07172774225921151,0.8180387157051798,0.15007572429579472
eNet_svr_set6,-0.06753230997333656,0.8146490997748079,0.17104327619641843
eNet_svr_set7,-0.10176564644191928,0.831315933721908,0.06036570515885454
eNet_svr_set8,-0.05431502923353625,0.8117696408089516,0.10199845280322963
eNet_xgb_set1,-0.08190136544988734,0.8232829622233897,0.15535591914769747
eNet_xgb_set2,-0.056812429128149225,0.811528454275272,0.15669090686586817
eNet_xgb_set3,-0.05574408535287229,0.8162373600609583,0.11417396551677496
eNet_xgb_set4,-0.10059137323672927,0.8310224954623059,0.025793662561697343
eNet_xgb_set5,-0.09217886807870011,0.8216712022909357,0.1373790232377521
eNet_xgb_set6,-0.059686729867731506,0.8091623496474006,0.17424771430505895
eNet_xgb_set7,-0.11295679103687495,0.8395023229934521,0.07343528091240681
eNet_xgb_set8,-0.06080424434479941,0.8162066573386378,0.1060766028809337
rf_eNet_set1,0.009470773629421756,0.7870888750708586,0.1644599564912473
rf_eNet_set2,-0.0013110782559802184,0.7957423829762195,0.14507623658787325
rf_eNet_set3,-0.06946104061063105,0.8291135506813585,0.05639646514161105
rf_eNet_set4,-0.07725878081865521,0.8222881593332272,0.05987202671665244
rf_eNet_set5,0.006320498369145484,0.7906830262544664,0.15719545570576812
rf_eNet_set6,-0.0020294346835369697,0.7942901782586368,0.13217148964552067
rf_eNet_set7,-0.031032815524076947,0.8069925881898453,0.05695811910192198
rf_eNet_set8,-0.024895421935293132,0.8027397277079077,0.07723088846579138
rf_rf_set1,0.005724716996914855,0.7902146749954577,0.1480069662441647
rf_rf_set2,-0.022252026224715258,0.8071734629239412,0.1218302871659416
rf_rf_set3,-0.11993950777009318,0.8447164693537463,0.06897827039349083
rf_rf_set4,-0.09903156583099723,0.8322641217964982,0.04066451576503897
rf_rf_set5,0.00012292319803405442,0.7935332403860793,0.14961827797761407
rf_rf_set6,-0.01367468794276597,0.8012777410413445,0.11329531508711835
rf_rf_set7,-0.05134746619076437,0.8157514596672052,0.047172474918350416
rf_rf_set8,-0.04196090407955685,0.8103775520204779,0.07140443127146426
rf_svr_set1,0.005806410555568488,0.7891071941586035,0.14671880114062744
rf_svr_set2,-0.00802102815438867,0.7998760916652127,0.14324289808467658
rf_svr_set3,-0.10479669428923787,0.8388764919652133,0.053465904353597986
rf_svr_set4,-0.10277514967734279,0.8313858043545455,0.056472080634419185
rf_svr_set5,0.0016746224603403834,0.7930969781931553,0.14379502683403175
rf_svr_set6,-0.009204098707980795,0.7984558730947692,0.1259815794638826
rf_svr_set7,-0.04588085916415712,0.816186167860641,0.05503615048063978
rf_svr_set8,-0.033526094390633907,0.8068076780268093,0.08022580623530098
rf_xgb_set1,0.00032310448952778604,0.7923239008652033,0.133049386282527
rf_xgb_set2,-0.016840560889835543,0.8037559459007583,0.1292898574589858
rf_xgb_set3,-0.11971445614323085,0.8435071674487473,0.06714410478632629
rf_xgb_set4,-0.10151286815819471,0.8329270114977015,0.04525135046399799
rf_xgb_set5,-0.002180089726457319,0.7954626889328161,0.14017156770362285
rf_xgb_set6,-0.015563585960548156,0.8022510963264732,0.11401040218165083
rf_xgb_set7,-0.04798182270235461,0.8153811340173956,0.0528982075084915
rf_xgb_set8,-0.04061092864450122,0.809484728797301,0.07172863386593728
svr_eNet_set1,-0.04615084027007908,0.8160384463195633,0.1250501501794785
svr_eNet_set2,-0.07444493474380764,0.8268349016444311,0.09810305474401189
svr_eNet_set3,-0.03608853149135444,0.8171858622558654,0.09815893089059831
svr_eNet_set4,-0.06999466638286152,0.8203200600719193,0.05430724287804115
svr_eNet_set5,-0.062216919707765626,0.8211829836139675,0.0999645516907135
svr_eNet_set6,-0.06199678908212617,0.8204979043305798,0.10769341815335753
svr_eNet_set7,-0.06688147577459927,0.8287426121821367,0.07805814862733558
svr_eNet_set8,-0.04588504926970648,0.8141164447435799,0.09007749404608312
svr_rf_set1,-0.09912954244539256,0.8401486667836779,0.10867001497761827
svr_rf_set2,-0.12655397161816997,0.8470943702198293,0.0669555905245245
svr_rf_set3,-0.048443447996630744,0.8206198561270749,0.07881003415657796
svr_rf_set4,-0.0839266586849295,0.8291614276076059,0.044594320687245496
svr_rf_set5,-0.1105236993605194,0.8412975498501147,0.08385595938226693
svr_rf_set6,-0.1063628941564608,0.8405701400619144,0.08619964361516193
svr_rf_set7,-0.07995017100635472,0.8335682553427809,0.07671111585894298
svr_rf_set8,-0.08826484503623101,0.8324101637349745,0.07313465892436598
svr_svr_set1,-0.06612746797220366,0.823885593242181,0.11672115089525581
svr_svr_set2,-0.09028260148862431,0.8332146440387318,0.09176038724137543
svr_svr_set3,-0.039616635460180634,0.8160461104354723,0.08087189502997563
svr_svr_set4,-0.07738909723893175,0.8248766873141528,0.04173589326334344
svr_svr_set5,-0.08121129591014589,0.828844128198263,0.09512400098247593
svr_svr_set6,-0.07147478426271588,0.8236059634624685,0.09762926175285166
svr_svr_set7,-0.09178893164535507,0.8319709840629799,0.049559651121512574
svr_svr_set8,-0.06620376225061449,0.8232944878996811,0.08718580964653645
svr_xgb_set1,-0.08209567694589179,0.8339183238769995,0.12575300901229514
svr_xgb_set2,-0.1112531312467604,0.8420530690222802,0.07874569643574077
svr_xgb_set3,-0.056302993184659096,0.8230937556540269,0.07769360542682348
svr_xgb_set4,-0.10651876682886087,0.8393294930853754,0.039018973700519335
svr_xgb_set5,-0.10360933382087138,0.8357855477223189,0.08656233900531267
svr_xgb_set6,-0.09644699226480109,0.8364698466859478,0.09219139694524439
svr_xgb_set7,-0.10638398938213964,0.845457591617193,0.05791494497344253
svr_xgb_set8,-0.08540299293485619,0.8340164357799393,0.07682982635620218
xgb_eNet_set1,-0.02115655792857594,0.7981089888240932,0.14540695714020385
xgb_eNet_set2,-0.05276868574936422,0.8151183824817542,0.13464270006398973
xgb_eNet_set3,-0.07654413001540417,0.8300063636617018,0.12214494221484518
xgb_eNet_set4,-0.1551222797832832,0.8528043733608387,0.053089380436771964
xgb_eNet_set5,-0.03912405276951124,0.809695874293735,0.13429924291183684
xgb_eNet_set6,-0.030182289789348164,0.8057253478792766,0.14235921752309727
xgb_eNet_set7,-0.08066049407533031,0.8295992862758048,0.10682487270745929
xgb_eNet_set8,-0.08442108822811882,0.8302642178660148,0.10154225067768423
xgb_rf_set1,-0.06396088254709054,0.8159944753002523,0.10986427330111599
xgb_rf_set2,-0.08668262072499346,0.8285441463520475,0.12372106214633884
xgb_rf_set3,-0.09076725699792419,0.8326064952223314,0.12550860874684303
xgb_rf_set4,-0.15779213430040176,0.8553624147499693,0.055018342888115135
xgb_rf_set5,-0.07213227926644374,0.8220508678366395,0.11686257434987268
xgb_rf_set6,-0.07363962379130354,0.822903392067262,0.11759042941143574
xgb_rf_set7,-0.10047889881970085,0.8396667683278036,0.09578283597129193
xgb_rf_set8,-0.11303168558740441,0.8420179488049158,0.09651712646118873
xgb_svr_set1,-0.03224380920749771,0.8026986056319393,0.1384926102088025
xgb_svr_set2,-0.07372436186731503,0.8228727379919448,0.13372936716473252
xgb_svr_set3,-0.11015576651557248,0.8426871003745859,0.11432803080424318
xgb_svr_set4,-0.17795445536220272,0.861776240946466,0.051490578318506224
xgb_svr_set5,-0.053319915479912834,0.815002536749409,0.1307874990793579
xgb_svr_set6,-0.0452932415606717,0.8116954331758827,0.13695188334750164
xgb_svr_set7,-0.09527001448905033,0.8355411454848262,0.10368057192930312
xgb_svr_set8,-0.10356376011729121,0.838723971465238,0.10037516799152771
xgb_xgb_set1,-0.058162082018256935,0.8134372325995279,0.1122832393156126
xgb_xgb_set2,-0.08193964362123181,0.8270328618745447,0.12518124432719363
xgb_xgb_set3,-0.11233012628796353,0.841001745138983,0.1128166049745567
xgb_xgb_set4,-0.18839140164027654,0.8681561133913236,0.05184775798052644
xgb_xgb_set5,-0.06782774549674085,0.820538601154043,0.12190437389005426
xgb_xgb_set6,-0.060185911983220715,0.8184579102552225,0.1271716442166249
xgb_xgb_set7,-0.11138682409053444,0.8437276972275881,0.09811069295164557
xgb_xgb_set8,-0.1157394919954456,0.8425437530138744,0.09755654377319105
