,r2,mae,corr
eNet_VolBrain,0.03250430137533886,0.7995967515244404,0.20574870106610493
eNet_cort,0.013030534685024686,0.8068034877620875,0.15835659302940047
eNet_emo,0.04630122371455314,0.7950335214871813,0.25211486521594234
eNet_gam,-0.009990771542879667,0.8171511496063001,
eNet_gam_FC_PCA75,0.07152849083129074,0.7817964972026856,0.2945383157899639
eNet_lan,0.1408990757780496,0.7511068806271672,0.39213589116125985
eNet_lan_FC_PCA75,0.12700079637030987,0.7612002380075495,0.3916413695903209
eNet_mot,0.05792415655277648,0.7910755927220012,0.2720652702650341
eNet_mot_FC_PCA75,0.09514409092940253,0.7730624333711731,0.34674744264691737
eNet_rel,0.09924035034621756,0.7658720468875923,0.3351343275034131
eNet_rel_FC_PCA75,0.08775408222588321,0.775260345309697,0.3328583244493139
eNet_rest_PCA75,0.07348031986115902,0.7790080770908012,0.3038154090888022
eNet_soc,0.04551061854072881,0.7926698573571153,0.24150725702229955
eNet_soc_FC_PCA75,0.1565619449202355,0.7391721267026303,0.4271904358922667
eNet_subc,0.00766869333165518,0.8123674475456684,0.15596174089452117
eNet_surf,0.05300940347215419,0.7969750974579792,0.24501094849100236
eNet_wm,0.23493823901333222,0.7025442970963004,0.49985527984176203
eNet_wm_FC_PCA75,0.18647153093037427,0.7357701807110497,0.4641316327020185
rf_VolBrain,0.0237581745062065,0.8027165997631962,0.18599520937825054
rf_cort,0.011377283515888237,0.8098845150926036,0.1499082870488201
rf_emo,0.036613908332944894,0.8002210612929008,0.21755867130498585
rf_gam,0.006048773976104038,0.8138198202744555,0.14437925596407264
rf_gam_FC_PCA75,0.053470624674408024,0.7817656965046057,0.27163267516751294
rf_lan,0.10882722459284509,0.7655034077020983,0.3547007037813708
rf_lan_FC_PCA75,0.092841216371874,0.7773868096654686,0.33927357777982403
rf_mot,0.059274422824113285,0.7936633548734441,0.29194177898485457
rf_mot_FC_PCA75,0.054228929535720685,0.7865872752967998,0.2643484606090621
rf_rel,0.08889579039218687,0.7748519256050551,0.31775153843921544
rf_rel_FC_PCA75,0.07151863625254458,0.7817215584895301,0.29929793673228694
