name,label,r2,mae,corr
"Total Brain Volume, eNet",eNet_brainVol,0.086,0.756,0.313
"Cortical Thickness, eNet",eNet_cort,0.036,0.785,0.218
"Facename: Encoding-Distractor, eNet",eNet_facename,0.174,0.716,0.431
"Facename FC, eNet",eNet_facename_FC_PCA75,0.033,0.779,0.225
"Emotion Processing Contrast, eNet",eNet_faces,0.091,0.757,0.314
"Emotion Processing FC, eNet",eNet_faces_FC_PCA75,0.006,0.794,0.143
"MID Contrast, eNet",eNet_mid,0.009,0.797,0.162
"MID FC, eNet",eNet_mid_FC_PCA75,0.035,0.782,0.235
"Resting State FC, eNet",eNet_rest_PCA75,0.053,0.772,0.279
"Stroop Contrast, eNet",eNet_stroop,0.027,0.782,0.206
"Stroop FC, eNet",eNet_stroop_FC_PCA75,0.070,0.767,0.294
"Subcortical Volume, eNet",eNet_subc,0.053,0.773,0.255
"Surface Area, eNet",eNet_surf,0.074,0.768,0.295
"Total Brain Volume, RF",rf_brainVol,0.059,0.769,0.266
"Cortical Thickness, RF",rf_cort,0.029,0.787,0.199
"Facename: Encoding-Distractor, RF",rf_facename,0.153,0.728,0.422
"Facename FC, RF",rf_facename_FC_PCA75,0.046,0.774,0.253
"Emotion Processing Contrast, RF",rf_faces,0.050,0.775,0.253
"Emotion Processing FC, RF",rf_faces_FC_PCA75,0.021,0.789,0.188
"MID Contrast, RF",rf_mid,-0.002,0.798,0.120
"MID FC, RF",rf_mid_FC_PCA75,0.027,0.785,0.218
"Resting State FC, RF",rf_rest_PCA75,0.042,0.780,0.260
"Stroop Contrast, RF",rf_stroop,0.075,0.769,0.294
"Stroop FC, RF",rf_stroop_FC_PCA75,0.062,0.771,0.291
"Subcortical Volume, RF",rf_subc,0.043,0.778,0.238
"Surface Area, RF",rf_surf,0.063,0.770,0.281
"Total Brain Volume, SVR",svr_brainVol,0.080,0.759,0.305
"Cortical Thickness, SVR",svr_cort,0.041,0.783,0.227
"Facename: Encoding-Distractor, SVR",svr_facename,0.180,0.714,0.440
"Facename FC, SVR",svr_facename_FC_PCA75,0.058,0.769,0.267
"Emotion Processing Contrast, SVR",svr_faces,0.070,0.764,0.286
"Emotion Processing FC, SVR",svr_faces_FC_PCA75,0.012,0.792,0.178
"MID Contrast, SVR",svr_mid,0.004,0.795,0.147
"MID FC, SVR",svr_mid_FC_PCA75,0.042,0.773,0.248
"Resting State FC, SVR",svr_rest_PCA75,0.055,0.773,0.282
"Stroop Contrast, SVR",svr_stroop,0.116,0.747,0.353
"Stroop FC, SVR",svr_stroop_FC_PCA75,0.091,0.754,0.317
