name,label,r2,mae,corr
"Total Brain Volume, eNet",eNet_brainVol,0.095,0.746,0.324
"Cortical Thickness, eNet",eNet_cort,0.040,0.778,0.219
"Facename: Encoding-Distractor, eNet",eNet_facename,0.171,0.713,0.425
"Facename FC, eNet",eNet_facename_FC_PCA75,0.056,0.767,0.259
"Emotion Processing Contrast, eNet",eNet_faces,0.090,0.753,0.310
"Emotion Processing FC, eNet",eNet_faces_FC_PCA75,0.010,0.788,0.145
"MID Contrast, eNet",eNet_mid,0.004,0.793,0.131
"MID FC, eNet",eNet_mid_FC_PCA75,0.037,0.776,0.237
"Resting State FC, eNet",eNet_rest_PCA75,0.053,0.770,0.274
"Stroop Contrast, eNet",eNet_stroop,-0.001,0.794,0.103
"Stroop FC, eNet",eNet_stroop_FC_PCA75,0.060,0.765,0.268
"Subcortical Volume, eNet",eNet_subc,0.075,0.754,0.295
"Surface Area, eNet",eNet_surf,0.069,0.755,0.288
"Total Brain Volume, RF",rf_brainVol,0.072,0.755,0.288
"Cortical Thickness, RF",rf_cort,0.023,0.785,0.178
"Facename: Encoding-Distractor, RF",rf_facename,0.125,0.733,0.378
"Facename FC, RF",rf_facename_FC_PCA75,0.057,0.767,0.274
"Emotion Processing Contrast, RF",rf_faces,0.048,0.768,0.236
"Emotion Processing FC, RF",rf_faces_FC_PCA75,0.019,0.782,0.186
"MID Contrast, RF",rf_mid,0.002,0.793,0.133
"MID FC, RF",rf_mid_FC_PCA75,0.031,0.776,0.218
"Resting State FC, RF",rf_rest_PCA75,0.044,0.774,0.265
"Stroop Contrast, RF",rf_stroop,0.065,0.765,0.276
"Stroop FC, RF",rf_stroop_FC_PCA75,0.059,0.768,0.271
"Subcortical Volume, RF",rf_subc,0.059,0.760,0.264
"Surface Area, RF",rf_surf,0.074,0.757,0.293
"Total Brain Volume, SVR",svr_brainVol,0.089,0.751,0.314
"Cortical Thickness, SVR",svr_cort,0.040,0.781,0.220
"Facename: Encoding-Distractor, SVR",svr_facename,0.178,0.715,0.431
"Facename FC, SVR",svr_facename_FC_PCA75,0.076,0.755,0.295
"Emotion Processing Contrast, SVR",svr_faces,0.080,0.752,0.295
"Emotion Processing FC, SVR",svr_faces_FC_PCA75,0.013,0.788,0.169
"MID Contrast, SVR",svr_mid,-0.014,0.802,0.093
"MID FC, SVR",svr_mid_FC_PCA75,0.048,0.765,0.255
"Resting State FC, SVR",svr_rest_PCA75,0.076,0.760,0.294
"Stroop Contrast, SVR",svr_stroop,0.089,0.747,0.312
"Stroop FC, SVR",svr_stroop_FC_PCA75,0.079,0.751,0.295
"Subcortical Volume, SVR",svr_subc,0.079,0.752,0.296
"Surface Area, SVR",svr_surf,0.072,0.756,0.289
"Total Brain Volume, XGB",xgb_brainVol,0.068,0.757,0.282
"Cortical Thickness, XGB",xgb_cort,-0.008,0.798,0.117
"Facename: Encoding-Distractor, XGB",xgb_facename,0.142,0.731,0.383
"Facename FC, XGB",xgb_facename_FC_PCA75,0.047,0.773,0.244
"Emotion Processing Contrast, XGB",xgb_faces,0.025,0.778,0.206
"Emotion Processing FC, XGB",xgb_faces_FC_PCA75,0.020,0.776,0.179
"MID Contrast, XGB",xgb_mid,-0.013,0.798,0.077
"MID FC, XGB",xgb_mid_FC_PCA75,0.019,0.779,0.187
"Resting State FC, XGB",xgb_rest_PCA75,0.059,0.766,0.257
"Stroop Contrast, XGB",xgb_stroop,0.038,0.774,0.227
"Stroop FC, XGB",xgb_stroop_FC_PCA75,0.039,0.776,0.232
"Subcortical Volume, XGB",xgb_subc,0.048,0.763,0.244
