name,label,r2,mae,corr
"Total Brain Volume, eNet",eNet_brainVol,-0.008,0.796,0.101
"Cortical Thickness, eNet",eNet_cort,-0.016,0.797,0.045
"Facename: Encoding-Distractor, eNet",eNet_facename,0.025,0.782,0.209
"Facename FC, eNet",eNet_facename_FC_PCA75,-0.021,0.798,-0.001
"Emotion Processing Contrast, eNet",eNet_faces,-0.006,0.794,0.119
"Emotion Processing FC, eNet",eNet_faces_FC_PCA75,-0.019,0.798,0.015
"MID Contrast, eNet",eNet_mid,-0.021,0.799,0.016
"MID FC, eNet",eNet_mid_FC_PCA75,-0.016,0.795,0.016
"Resting State FC, eNet",eNet_rest_PCA75,-0.005,0.792,0.132
"Stroop Contrast, eNet",eNet_stroop,-0.014,0.796,0.177
"Stroop FC, eNet",eNet_stroop_FC_PCA75,-0.014,0.797,0.086
"Subcortical Volume, eNet",eNet_subc,-0.019,0.798,0.022
"Surface Area, eNet",eNet_surf,-0.021,0.800,0.002
"Total Brain Volume, RF",rf_brainVol,-0.013,0.796,0.066
"Cortical Thickness, RF",rf_cort,-0.024,0.800,0.029
"Facename: Encoding-Distractor, RF",rf_facename,0.008,0.785,0.174
"Facename FC, RF",rf_facename_FC_PCA75,-0.019,0.798,-0.010
"Emotion Processing Contrast, RF",rf_faces,-0.007,0.798,0.096
"Emotion Processing FC, RF",rf_faces_FC_PCA75,-0.014,0.797,0.066
"MID Contrast, RF",rf_mid,-0.021,0.796,0.014
"MID FC, RF",rf_mid_FC_PCA75,-0.021,0.799,0.084
"Resting State FC, RF",rf_rest_PCA75,-0.015,0.797,0.087
"Stroop Contrast, RF",rf_stroop,-0.001,0.789,0.132
"Stroop FC, RF",rf_stroop_FC_PCA75,-0.015,0.798,0.075
"Subcortical Volume, RF",rf_subc,-0.025,0.802,0.008
"Surface Area, RF",rf_surf,-0.015,0.798,0.070
"Total Brain Volume, SVR",svr_brainVol,-0.009,0.795,0.104
"Cortical Thickness, SVR",svr_cort,-0.018,0.797,0.067
