name,label,r2,mae,corr
"Total Brain Volume, eNet",eNet_VolBrain,0.033,0.800,0.206
"Cortical Thickness, eNet",eNet_cort,0.013,0.807,0.158
"Emotion Processing Contrast, eNet",eNet_emo,0.046,0.795,0.252
"Gambling Contrast, eNet",eNet_gam,-0.010,0.817,
"Gambling FC, eNet",eNet_gam_FC_PCA75,0.072,0.782,0.295
"Language Contrast, eNet",eNet_lan,0.141,0.751,0.392
"Language FC, eNet",eNet_lan_FC_PCA75,0.127,0.761,0.392
"Motor Contrast, eNet",eNet_mot,0.058,0.791,0.272
"Motor FC, eNet",eNet_mot_FC_PCA75,0.095,0.773,0.347
"Relational Contrast, eNet",eNet_rel,0.099,0.766,0.335
"Relational FC, eNet",eNet_rel_FC_PCA75,0.088,0.775,0.333
"Resting State FC, eNet",eNet_rest_PCA75,0.073,0.779,0.304
"Social Cognition Contrast, eNet",eNet_soc,0.046,0.793,0.242
"Social Cognition FC, eNet",eNet_soc_FC_PCA75,0.157,0.739,0.427
"Subcortical Volume, eNet",eNet_subc,0.008,0.812,0.156
"Surface Area, eNet",eNet_surf,0.053,0.797,0.245
"Working Memory Contrast, eNet",eNet_wm,0.235,0.703,0.500
"Working Memory FC, eNet",eNet_wm_FC_PCA75,0.186,0.736,0.464
"Total Brain Volume, RF",rf_VolBrain,0.024,0.803,0.186
"Cortical Thickness, RF",rf_cort,0.011,0.810,0.150
"Emotion Processing Contrast, RF",rf_emo,0.037,0.800,0.218
"Gambling Contrast, RF",rf_gam,0.006,0.814,0.144
"Gambling FC, RF",rf_gam_FC_PCA75,0.053,0.782,0.272
"Language Contrast, RF",rf_lan,0.109,0.766,0.355
"Language FC, RF",rf_lan_FC_PCA75,0.093,0.777,0.339
"Motor Contrast, RF",rf_mot,0.059,0.794,0.292
"Motor FC, RF",rf_mot_FC_PCA75,0.054,0.787,0.264
"Relational Contrast, RF",rf_rel,0.089,0.775,0.318
"Relational FC, RF",rf_rel_FC_PCA75,0.072,0.782,0.299
"Resting State FC, RF",rf_rest_PCA75,0.051,0.788,0.270
"Social Cognition Contrast, RF",rf_soc,0.077,0.780,0.304
"Social Cognition FC, RF",rf_soc_FC_PCA75,0.099,0.769,0.353
"Subcortical Volume, RF",rf_subc,0.028,0.803,0.207
"Surface Area, RF",rf_surf,0.054,0.795,0.249
"Working Memory Contrast, RF",rf_wm,0.188,0.732,0.452
"Working Memory FC, RF",rf_wm_FC_PCA75,0.109,0.766,0.391
"Total Brain Volume, SVR",svr_VolBrain,0.011,0.802,0.191
"Cortical Thickness, SVR",svr_cort,0.007,0.802,0.164
"Emotion Processing Contrast, SVR",svr_emo,0.054,0.791,0.267
"Gambling Contrast, SVR",svr_gam,-0.003,0.818,0.156
"Gambling FC, SVR",svr_gam_FC_PCA75,0.065,0.775,0.309
"Language Contrast, SVR",svr_lan,0.144,0.741,0.399
"Language FC, SVR",svr_lan_FC_PCA75,0.138,0.749,0.401
"Motor Contrast, SVR",svr_mot,0.089,0.779,0.320
"Motor FC, SVR",svr_mot_FC_PCA75,0.059,0.782,0.308
"Relational Contrast, SVR",svr_rel,0.098,0.764,0.338
"Relational FC, SVR",svr_rel_FC_PCA75,0.107,0.763,0.359
"Resting State FC, SVR",svr_rest_PCA75,0.055,0.778,0.302
"Social Cognition Contrast, SVR",svr_soc,0.050,0.790,0.261
"Social Cognition FC, SVR",svr_soc_FC_PCA75,0.159,0.735,0.415
"Subcortical Volume, SVR",svr_subc,-0.009,0.813,0.149
"Surface Area, SVR",svr_surf,0.049,0.792,0.254
"Working Memory Contrast, SVR",svr_wm,0.235,0.701,0.504
"Working Memory FC, SVR",svr_wm_FC_PCA75,0.192,0.724,0.463
"Total Brain Volume, XGB",xgb_VolBrain,0.021,0.803,0.185
"Cortical Thickness, XGB",xgb_cort,-0.009,0.820,0.110
"Emotion Processing Contrast, XGB",xgb_emo,0.019,0.807,0.192
"Gambling Contrast, XGB",xgb_gam,-0.005,0.818,0.114
"Gambling FC, XGB",xgb_gam_FC_PCA75,0.063,0.780,0.277
"Language Contrast, XGB",xgb_lan,0.103,0.769,0.342
"Language FC, XGB",xgb_lan_FC_PCA75,0.074,0.781,0.311
"Motor Contrast, XGB",xgb_mot,0.054,0.797,0.262
"Motor FC, XGB",xgb_mot_FC_PCA75,0.050,0.787,0.248
"Relational Contrast, XGB",xgb_rel,0.074,0.779,0.288
"Relational FC, XGB",xgb_rel_FC_PCA75,0.059,0.787,0.274
"Resting State FC, XGB",xgb_rest_PCA75,0.027,0.793,0.236
"Social Cognition Contrast, XGB",xgb_soc,0.050,0.789,0.259
"Social Cognition FC, XGB",xgb_soc_FC_PCA75,0.116,0.756,0.363
"Subcortical Volume, XGB",xgb_subc,0.028,0.803,0.202
"Surface Area, XGB",xgb_surf,0.021,0.806,0.200
"Working Memory Contrast, XGB",xgb_wm,0.185,0.730,0.447
"Working Memory FC, XGB",xgb_wm_FC_PCA75,0.138,0.748,0.390
"Stacked: All, eNet+eNet",eNet_eNet_set1,0.352,0.646,0.604
"Stacked: Task Contrast, eNet+eNet",eNet_eNet_set2,0.304,0.664,0.565
"Stacked: Non Task, eNet+eNet",eNet_eNet_set3,0.094,0.772,0.334
"Stacked: Task FC, eNet+eNet",eNet_eNet_set4,0.240,0.703,0.505
"Stacked: Task Contrast & Task FC, eNet+eNet",eNet_eNet_set5,0.352,0.639,0.605
"Stacked: All excluding Task FC, eNet+eNet",eNet_eNet_set6,0.317,0.663,0.574
"Stacked: All excluding Task Contrast, eNet+eNet",eNet_eNet_set7,0.233,0.706,0.495
"Stacked: Resting and Task FC, eNet+eNet",eNet_eNet_set8,0.236,0.704,0.500
"Stacked: All, eNet+RF",eNet_rf_set1,0.340,0.652,0.597
"Stacked: Task Contrast, eNet+RF",eNet_rf_set2,0.298,0.668,0.559
"Stacked: Non Task, eNet+RF",eNet_rf_set3,0.099,0.770,0.346
"Stacked: Task FC, eNet+RF",eNet_rf_set4,0.237,0.705,0.500
"Stacked: Task Contrast & Task FC, eNet+RF",eNet_rf_set5,0.337,0.653,0.594
"Stacked: All excluding Task FC, eNet+RF",eNet_rf_set6,0.309,0.665,0.568
"Stacked: All excluding Task Contrast, eNet+RF",eNet_rf_set7,0.233,0.710,0.497
