name,label,HCP_A_CI_lower,HCP_A_CI_upper,DUD_45yo_CI_lower,DUD_45yo_CI_upper,DUD_childhood_CI_lower,DUD_childhood_CI_upper,DUD_residual_CI_lower,DUD_residual_CI_upper,HCP_YA_CI_lower,HCP_YA_CI_upper
"Total Brain Volume, eNet",eNet_VolBrain,0.100598772374687,0.267910351236606,,,,,,,0.149494847994143,0.273341886328932
"CARIT Contrast, eNet",eNet_carit1,-0.01571526445701,0.147809521325659,,,,,,,,
"CARIT FC, eNet",eNet_carit_FC_PCA75,0.200390227892474,0.367193272060311,,,,,,,,
"Cortical Thickness, eNet",eNet_cort,0.228345492751989,0.385661936586522,0.144727127389408,0.287076038722577,0.147809425497102,0.285993324469267,-0.043182622063159,0.098973823649698,0.090876655192986,0.217516815297168
"Facename: Encoding-Recall, eNet",eNet_face4,0.236766381591376,0.398467347703613,,,,,,,,
"Facename: Encoding-Distractor, eNet",eNet_face5,0.38841172221995,0.513980312081282,,,,,,,,
"Facename: Recall-Distractor, eNet",eNet_face6,0.36263826864916,0.499001837777121,,,,,,,,
"Facename FC, eNet",eNet_face_FC_PCA75,0.340938052115137,0.484005777308111,,,,,,,,
"Resting State FC, eNet",eNet_rest_PCA75,0.362492705550679,0.50236783871829,0.197960310734219,0.338178663320632,0.1977657724239,0.337470294326644,0.050687972226121,0.182183488459107,0.232633976478776,0.359090612033875
"Subcortical Volume, eNet",eNet_subc,0.152168755271457,0.324442653575676,0.185009446500587,0.324880218888578,0.222318622454773,0.363373195706142,-0.077203055291541,0.059968658300384,0.08458496947589,0.212260695090386
"Surface Area, eNet",eNet_surf,0.147075245705586,0.316596963603742,0.228962658814437,0.357253448007532,0.217064391004396,0.340971909059645,-0.081695069682187,0.047897785898903,0.193576658411878,0.315792343039533
"Vismotor Contrast, eNet",eNet_vism,0.235891184362009,0.37330297403092,,,,,,,,
"Vismotor FC, eNet",eNet_vism_FC_PCA75,0.20173530511113,0.365545948810032,,,,,,,,
"Total Brain Volume, RF",rf_VolBrain,0.084592736478475,0.271408860705389,,,,,,,0.121426981419556,0.255894421270705
"CARIT Contrast, RF",rf_carit1,-0.09903948988154,0.07679400329915,,,,,,,,
"CARIT FC, RF",rf_carit_FC_PCA75,0.133950420099889,0.307815795815624,,,,,,,,
"Cortical Thickness, RF",rf_cort,0.199645613660256,0.36416563630802,0.115106964239691,0.275737459473952,0.097652917479565,0.244452111390389,-0.102471375267925,0.061528138711075,0.085983528327478,0.210427339378463
"Facename: Encoding-Recall, RF",rf_face4,0.22425974885251,0.379297217680465,,,,,,,,
"Facename: Encoding-Distractor, RF",rf_face5,0.294633410055876,0.445523155961808,,,,,,,,
"Facename: Recall-Distractor, RF",rf_face6,0.240694231383984,0.407132839133589,,,,,,,,
"Facename FC, RF",rf_face_FC_PCA75,0.250050867930348,0.404793699474135,,,,,,,,
