name,label,HCP_A_CI_lower,HCP_A_CI_upper,DUD_45yo_CI_lower,DUD_45yo_CI_upper,DUD_childhood_CI_lower,DUD_childhood_CI_upper,DUD_residual_CI_lower,DUD_residual_CI_upper,HCP_YA_CI_lower,HCP_YA_CI_upper
"Total Brain Volume, eNet",eNet_VolBrain,0.745841064882772,0.845138072894895,,,,,,,0.762420458848447,0.838910548206337
"CARIT Contrast, eNet",eNet_carit1,0.765024660535972,0.866072590439303,,,,,,,,
"CARIT FC, eNet",eNet_carit_FC_PCA75,0.735173503665477,0.834091870631302,,,,,,,,
"Cortical Thickness, eNet",eNet_cort,0.717358967359195,0.816444139569996,0.744496402057371,0.829569274269604,0.735710122340398,0.820336825976454,0.755084376827907,0.84263691072814,0.768302757544768,0.846960440848376
"Facename: Encoding-Recall, eNet",eNet_face4,0.716804069290961,0.815562598835608,,,,,,,,
"Facename: Encoding-Distractor, eNet",eNet_face5,0.67151859701577,0.765340807128501,,,,,,,,
"Facename: Recall-Distractor, eNet",eNet_face6,0.68485905846947,0.778456306365803,,,,,,,,
"Facename FC, eNet",eNet_face_FC_PCA75,0.706277898705565,0.80240606612379,,,,,,,,
"Resting State FC, eNet",eNet_rest_PCA75,0.685816144077619,0.781647495153979,0.731147700978663,0.814933285042473,0.729033095224197,0.813556668838236,0.751613420049934,0.83790465129529,0.740666668187428,0.817963037884413
"Subcortical Volume, eNet",eNet_subc,0.746622079921856,0.842817456975975,0.733000370996252,0.817263703814204,0.712545331119586,0.79738060636181,0.756676478129125,0.844099828665065,0.774515111593741,0.851751314940299
"Surface Area, eNet",eNet_surf,0.739542777912945,0.839319317773629,0.728157188290484,0.810520489783351,0.714904036505466,0.799317079292734,0.759150543771838,0.846343005972411,0.76021671644961,0.834652917717607
"Vismotor Contrast, eNet",eNet_vism,0.727647898478019,0.824399215660852,,,,,,,,
"Vismotor FC, eNet",eNet_vism_FC_PCA75,0.738087610223207,0.83637851188778,,,,,,,,
"Total Brain Volume, RF",rf_VolBrain,0.748621096857669,0.849979376202958,,,,,,,0.765075387519783,0.842189507541578
"CARIT Contrast, RF",rf_carit1,0.767784307984662,0.871067761665705,,,,,,,,
"CARIT FC, RF",rf_carit_FC_PCA75,0.74564998844003,0.845917022382031,,,,,,,,
"Cortical Thickness, RF",rf_cort,0.725644617537337,0.825488065849655,0.746093042555441,0.830575111130038,0.743454972433166,0.828559702282409,0.758245333299833,0.846254510469726,0.771811022935391,0.849475088870169
"Facename: Encoding-Recall, RF",rf_face4,0.7231247507984,0.822892550015786,,,,,,,,
"Facename: Encoding-Distractor, RF",rf_face5,0.715342491171707,0.811448633607956,,,,,,,,
"Facename: Recall-Distractor, RF",rf_face6,0.728103795262327,0.824114481992179,,,,,,,,
"Facename FC, RF",rf_face_FC_PCA75,0.718970487934529,0.818095786458618,,,,,,,,
"Resting State FC, RF",rf_rest_PCA75,0.691434529508198,0.788155321037706,0.738336049863391,0.823278938541815,0.732638953920518,0.817008929720728,0.755188399075261,0.842842417039327,0.749382583003058,0.827580023832362
"Subcortical Volume, RF",rf_subc,0.745488606939918,0.844780059435303,0.736946241880062,0.821272790714354,0.717475318768407,0.802577206770405,0.759998762132817,0.847573703231974,0.765130307334765,0.841942715156844
"Surface Area, RF",rf_surf,0.743047693583446,0.841915466382697,0.729376459136752,0.812573894450135,0.716739054920429,0.800392991864417,0.757476454021241,0.843856129862955,0.758414876785727,0.833723861536215
"Vismotor Contrast, RF",rf_vism,0.734681840822408,0.833496709863461,,,,,,,,
"Vismotor FC, RF",rf_vism_FC_PCA75,0.746238301290403,0.845790261556963,,,,,,,,
"Total Brain Volume, SVR",svr_VolBrain,0.740385034337539,0.843372297626442,,,,,,,0.764142806012803,0.841479045102818
"CARIT Contrast, SVR",svr_carit1,0.763744347716367,0.866484588662766,,,,,,,,
"CARIT FC, SVR",svr_carit_FC_PCA75,0.732450281958315,0.833539565415687,,,,,,,,
"Cortical Thickness, SVR",svr_cort,0.714697129025701,0.814933866409152,0.742370749053686,0.826542011732923,0.740688609694226,0.823945253124757,0.755922216572763,0.843809499318505,0.763793845449227,0.843525774874066
"Facename: Encoding-Recall, SVR",svr_face4,0.725843228090492,0.824657562486523,,,,,,,,
"Facename: Encoding-Distractor, SVR",svr_face5,0.669260585647861,0.764084040935326,,,,,,,,
"Facename: Recall-Distractor, SVR",svr_face6,0.697912008884239,0.794094510526548,,,,,,,,
"Facename FC, SVR",svr_face_FC_PCA75,0.686764442855152,0.781045776910735,,,,,,,,
"Resting State FC, SVR",svr_rest_PCA75,0.665880762091816,0.759882881137649,0.732204446803696,0.815153965359775,0.718741177936393,0.802425770297181,0.754674125821561,0.841804234646111,0.739213278806248,0.818224773762061
"Subcortical Volume, SVR",svr_subc,0.745167378485757,0.841978825997484,0.734349582065633,0.818205276044584,0.710247412989751,0.795139235325834,0.756808021069655,0.844564695543207,0.774314231283449,0.853861178768885
"Surface Area, SVR",svr_surf,0.727842047990918,0.829159143470972,0.734706590504758,0.81927540194655,0.716012769925354,0.800016621416243,0.756515400944679,0.844156273188045,0.755693727002957,0.831444564292739
"Vismotor Contrast, SVR",svr_vism,0.727217211895078,0.826127412220387,,,,,,,,
"Vismotor FC, SVR",svr_vism_FC_PCA75,0.725707977320494,0.826764531592151,,,,,,,,
"Total Brain Volume, XGB",xgb_VolBrain,0.748011861698168,0.85010922681749,,,,,,,0.765380619189073,0.84224529078602
"CARIT Contrast, XGB",xgb_carit1,0.769866547402922,0.875612229902128,,,,,,,,
"CARIT FC, XGB",xgb_carit_FC_PCA75,0.737716431226704,0.843034885275129,,,,,,,,
"Cortical Thickness, XGB",xgb_cort,0.728518882063618,0.831031630831313,0.751598053434789,0.83882102790686,0.755429131637711,0.842099235533256,0.764066151931519,0.852545829675047,0.781191890038639,0.859838463318145
"Facename: Encoding-Recall, XGB",xgb_face4,0.723458563563181,0.822052397576634,,,,,,,,
"Facename: Encoding-Distractor, XGB",xgb_face5,0.708760131887394,0.804452687406827,,,,,,,,
"Facename: Recall-Distractor, XGB",xgb_face6,0.727880067374239,0.823533476625678,,,,,,,,
"Facename FC, XGB",xgb_face_FC_PCA75,0.714003597836996,0.812718354096812,,,,,,,,
"Resting State FC, XGB",xgb_rest_PCA75,0.687767038688568,0.784600419083773,0.739896140662674,0.824669949340711,0.723924821371171,0.808303476527769,0.761176145608541,0.847957922242708,0.75397313583238,0.833327579150254
"Subcortical Volume, XGB",xgb_subc,0.740631175593324,0.839685885321555,0.741449130034053,0.826759431805548,0.721735650022213,0.807788017322237,0.760328515868617,0.848092332086616,0.765401483264044,0.842599418629217
"Surface Area, XGB",xgb_surf,0.755081942672656,0.857605149735144,0.726993770972202,0.810435169967269,0.724548800831311,0.808472820253258,0.75674897161314,0.842365957189169,0.769848759658051,0.846584369642636
"Vismotor Contrast, XGB",xgb_vism,0.739201944270633,0.838409461395607,,,,,,,,
"Vismotor FC, XGB",xgb_vism_FC_PCA75,0.741111982479378,0.841324711620134,,,,,,,,
"Stacked: All, eNet+eNet",eNet_eNet_set1,0.596084665850089,0.679040594307723,0.628127366454431,0.701055711679954,0.635287650874668,0.710507368527216,0.766936666686083,0.854337933842157,0.613834599177591,0.677401539038591
"Stacked: Task Contrast, eNet+eNet",eNet_eNet_set2,0.635891499087282,0.725758814879427,0.679934374271802,0.757840609236667,0.677298290186432,0.756343645048832,0.768279916893275,0.856905693990366,0.63040720346435,0.697672280309126
"Stacked: Non Task, eNet+eNet",eNet_eNet_set3,0.662979160986349,0.754546432212842,0.696697497801488,0.779146066052523,0.69806806461179,0.780098810664514,0.768333800700523,0.856717141783165,0.735905858679738,0.809482182213543
"Stacked: Task FC, eNet+eNet",eNet_eNet_set4,0.685702201420562,0.780508697991916,0.722730415521442,0.811190162505562,0.707523083892598,0.793795465927087,0.782400516187903,0.87209482491304,0.668244917711836,0.738000823166027
"Stacked: Task Contrast & Task FC, eNet+eNet",eNet_eNet_set5,0.623477501662949,0.712015191789689,0.657828086866516,0.734013481917325,0.646089288031309,0.723631596817082,0.769388045783644,0.857824556319637,0.607374300063299,0.672031580568653
"Stacked: All excluding Task FC, eNet+eNet",eNet_eNet_set6,0.601784580013681,0.687198978709831,0.64403242327946,0.716987951854557,0.641667141341759,0.717535144694892,0.765772902822055,0.852135500489551,0.629198612064736,0.694782647646311
"Stacked: All excluding Task Contrast, eNet+eNet",eNet_eNet_set7,0.633970940766427,0.719891139650968,0.69811723817725,0.779201271391017,0.686826523620115,0.767392429444569,0.78336620918119,0.871644544820925,0.671193013323419,0.740391863549608
"Stacked: Resting and Task FC, eNet+eNet",eNet_eNet_set8,0.651698961835237,0.743353107657884,0.711581706488292,0.796229931970587,0.700999052596579,0.785044167245435,0.769030655931767,0.857356826007868,0.670176783028916,0.73943884496391
"Stacked: All, eNet+RF",eNet_rf_set1,0.596143613935829,0.679237012644808,0.63506705677137,0.706842909027186,0.638159679143686,0.712574637829347,0.768455316288041,0.857672086271954,0.62012965915759,0.684043698315875
"Stacked: Task Contrast, eNet+RF",eNet_rf_set2,0.634749706425649,0.727067160735768,0.682090435749016,0.758675145134632,0.677575338479644,0.755509944732333,0.763234819010593,0.852005933981578,0.634464684771065,0.701317581941137
"Stacked: Non Task, eNet+RF",eNet_rf_set3,0.668129492045049,0.759831498237961,0.707414778043879,0.792141470981728,0.709322387924411,0.79395844411542,0.772061270593248,0.860754686964503,0.733177421594005,0.806266044026338
"Stacked: Task FC, eNet+RF",eNet_rf_set4,0.686222625032807,0.782342608613351,0.712763904666044,0.799062170230295,0.702834395924405,0.787961235856751,0.782652425229519,0.873248716729776,0.671093849374467,0.740668096589381
"Stacked: Task Contrast & Task FC, eNet+RF",eNet_rf_set5,0.616617197323652,0.705641650247173,0.656014737824795,0.729583845645702,0.647014116497227,0.722267949320559,0.770554600540572,0.861714784192782,0.621277061202998,0.685300100102872
"Stacked: All excluding Task FC, eNet+RF",eNet_rf_set6,0.603195416772056,0.690514244893376,0.642467319798317,0.715542149709672,0.639124871851211,0.714811824365438,0.758265037298448,0.846048635929056,0.63231997176043,0.697437025419003
"Stacked: All excluding Task Contrast, eNet+RF",eNet_rf_set7,0.627901291197086,0.713258614647765,0.698180626013105,0.779202074742959,0.682206670706644,0.764375180414323,0.786931285204782,0.87520027003562,0.676113756924123,0.744702986751922
"Stacked: Resting and Task FC, eNet+RF",eNet_rf_set8,0.651788308974983,0.742296109236253,0.70939677365932,0.793409494122638,0.700262655776427,0.784123901068321,0.772020723955376,0.860436843834349,0.674604617274076,0.744357129742494
"Stacked: All, eNet+SVR",eNet_svr_set1,0.599393707725353,0.682396163087203,0.627316025126877,0.70058109308682,0.63515263287435,0.710326859445418,0.769031503508306,0.856741206787234,0.610139400711361,0.67471866714173
"Stacked: Task Contrast, eNet+SVR",eNet_svr_set2,0.642503691332353,0.733831846597113,0.682026995734494,0.75969301631976,0.677249597034195,0.756645459362697,0.771941593298185,0.86077811604312,0.62972839307082,0.697204855057768
"Stacked: Non Task, eNet+SVR",eNet_svr_set3,0.659544835848554,0.753649259829189,0.697330782364259,0.779202629411362,0.701747191200807,0.784710881564262,0.770453379260703,0.859197146127807,0.733337486041801,0.808139566980013
"Stacked: Task FC, eNet+SVR",eNet_svr_set4,0.682795566215568,0.777834946503714,0.7180704357893,0.804043494976632,0.70762582553549,0.793886184666697,0.784002840260962,0.874220096393579,0.664108814735904,0.73422671960734
"Stacked: Task Contrast & Task FC, eNet+SVR",eNet_svr_set5,0.628216250550163,0.71703528892357,0.656843788137815,0.733507069141297,0.646784620486898,0.725299515685281,0.775002241041557,0.864217479771791,0.606264508352944,0.671616145700017
"Stacked: All excluding Task FC, eNet+SVR",eNet_svr_set6,0.603855287473697,0.688605569203126,0.644637813735096,0.717994440182463,0.646156696174342,0.722916524213934,0.77183364518282,0.860402813927626,0.625018976823903,0.691303859730976
