name,label,HCP_A_CI_lower,HCP_A_CI_upper,DUD_45yo_CI_lower,DUD_45yo_CI_upper,DUD_childhood_CI_lower,DUD_childhood_CI_upper,DUD_residual_CI_lower,DUD_residual_CI_upper,HCP_YA_CI_lower,HCP_YA_CI_upper
"Total Brain Volume, eNet",eNet_VolBrain,0.002486319575509,0.069304338788701,,,,,,,0.019080953548778,0.072041906215394
"CARIT Contrast, eNet",eNet_carit1,-0.014470954524405,0.022338663697448,,,,,,,,
"CARIT FC, eNet",eNet_carit_FC_PCA75,0.041130072076234,0.097068265526056,,,,,,,,
"Cortical Thickness, eNet",eNet_cort,0.049784121995554,0.140398833937743,0.015804400104499,0.080078411679637,0.020252242515768,0.076918183299596,-0.006611212890475,0.00915300619826,0.005415094915846,0.044227080254206
"Facename: Encoding-Recall, eNet",eNet_face4,0.055399768204528,0.151648330402095,,,,,,,,
"Facename: Encoding-Distractor, eNet",eNet_face5,0.154762678305848,0.249010563716984,,,,,,,,
"Facename: Recall-Distractor, eNet",eNet_face6,0.133709888066975,0.23562793626559,,,,,,,,
"Facename FC, eNet",eNet_face_FC_PCA75,0.103018051284674,0.167423222459235,,,,,,,,
"Resting State FC, eNet",eNet_rest_PCA75,0.128042598974211,0.214553745758727,0.040165520568518,0.093707935982724,0.039804089077705,0.085888644038157,0.002508634177477,0.023410883402723,0.055138007644648,0.116272909152436
"Subcortical Volume, eNet",eNet_subc,0.022157415457636,0.092342004718463,0.030791090827808,0.102957524649625,0.049031820600001,0.123895718909547,-0.008243763994879,0.004250118618561,-0.000609793034299,0.044631307953192
"Surface Area, eNet",eNet_surf,0.016384636076379,0.094167193652698,0.052293880683767,0.120999586284876,0.044456547273874,0.114464051757472,-0.010266560301782,0.003658699820667,0.034846452058236,0.096840474059431
"Vismotor Contrast, eNet",eNet_vism,0.047555289306776,0.141116711006745,,,,,,,,
"Vismotor FC, eNet",eNet_vism_FC_PCA75,0.040433262558167,0.093777009803002,,,,,,,,
"Total Brain Volume, RF",rf_VolBrain,-0.02230724469069,0.07518039603587,,,,,,,0.008343494728498,0.063991352754715
"CARIT Contrast, RF",rf_carit1,-0.023057556328161,0.007977379879185,,,,,,,,
"CARIT FC, RF",rf_carit_FC_PCA75,0.019912867316577,0.066793922804221,,,,,,,,
"Cortical Thickness, RF",rf_cort,0.038658746336137,0.126202135056103,0.010545410661027,0.069285116721705,0.007010244274391,0.054781838186884,-0.021608655015354,0.004773864084888,0.006003623707947,0.039069313572621
"Facename: Encoding-Recall, RF",rf_face4,0.05218824449081,0.119206826294952,,,,,,,,
"Facename: Encoding-Distractor, RF",rf_face5,0.083413209149362,0.148018846382838,,,,,,,,
"Facename: Recall-Distractor, RF",rf_face6,0.059017002486785,0.140265776472993,,,,,,,,
"Facename FC, RF",rf_face_FC_PCA75,0.061166197873706,0.124296308917677,,,,,,,,
"Resting State FC, RF",rf_rest_PCA75,0.118923012006917,0.18782503320527,0.033455560740617,0.076720867699629,0.032318645888442,0.075524138168587,-0.004950602136126,0.010171509129679,0.033884815370209,0.087773240477971
"Subcortical Volume, RF",rf_subc,0.014683808139184,0.089057342442663,0.025653130004976,0.084555920583907,0.037108337377018,0.101417389417323,-0.022631436111393,0.007644218083698,0.013245093231635,0.067636113228225
"Surface Area, RF",rf_surf,0.01263093478696,0.086320387714679,0.043565082743559,0.105585335765916,0.050853843497812,0.114989557606649,-0.004122290391704,0.008749323110293,0.035461344237846,0.093079693253163
"Vismotor Contrast, RF",rf_vism,0.034553180067015,0.102631481215281,,,,,,,,
"Vismotor FC, RF",rf_vism_FC_PCA75,0.015996678663834,0.0736913968996,,,,,,,,
"Total Brain Volume, SVR",svr_VolBrain,-0.006691321289973,0.059070357161905,,,,,,,-0.012989067572281,0.062386587597194
"CARIT Contrast, SVR",svr_carit1,-0.034034615924065,0.021627848286631,,,,,,,,
"CARIT FC, SVR",svr_carit_FC_PCA75,0.023689223343268,0.106752529850514,,,,,,,,
"Cortical Thickness, SVR",svr_cort,0.052485953822886,0.144980487696887,0.02221010463932,0.08324116056067,0.017068662359358,0.08033153957262,-0.011152380580307,0.006541585893368,-0.006547790828137,0.04188863568068
"Facename: Encoding-Recall, SVR",svr_face4,0.039172553913579,0.140189615861713,,,,,,,,
"Facename: Encoding-Distractor, SVR",svr_face5,0.13947580454622,0.250131845346038,,,,,,,,
"Facename: Recall-Distractor, SVR",svr_face6,0.086376486675437,0.210698556968731,,,,,,,,
"Facename FC, SVR",svr_face_FC_PCA75,0.123496650840195,0.23240900916766,,,,,,,,
"Resting State FC, SVR",svr_rest_PCA75,0.156112874533485,0.264329736022867,0.030392754825324,0.115687626302545,0.043528226865868,0.128935031183655,-0.004968543382771,0.021352523798706,0.013548023472833,0.122766105968398
"Subcortical Volume, SVR",svr_subc,0.007956538199107,0.091389690105617,0.026949587995419,0.099179331810622,0.050514330144969,0.132217474934788,-0.014571747843534,0.00361433028776,-0.025615684171946,0.035917869699759
"Surface Area, SVR",svr_surf,0.010602699029948,0.118608010168622,0.02913438954191,0.09506179646089,0.045721107280111,0.117260997359673,-0.007954945301836,0.00148527130644,0.018536494659152,0.102454866772978
"Vismotor Contrast, SVR",svr_vism,0.023684110469014,0.138356713992713,,,,,,,,
"Vismotor FC, SVR",svr_vism_FC_PCA75,0.013321893440616,0.119885622989164,,,,,,,,
"Total Brain Volume, XGB",xgb_VolBrain,-0.03276373977135,0.07528098007352,,,,,,,0.003115808935972,0.064700677140653
"CARIT Contrast, XGB",xgb_carit1,-0.068412998952799,0.006826182168466,,,,,,,,
"CARIT FC, XGB",xgb_carit_FC_PCA75,-0.022035558067754,0.079281965108183,,,,,,,,
"Cortical Thickness, XGB",xgb_cort,0.002331711094629,0.120177025777191,-0.018658837577843,0.049661451344676,-0.031938867767245,0.035393424540368,-0.043615800225919,0.007418234693072,-0.017741169082724,0.026305136550977
"Facename: Encoding-Recall, XGB",xgb_face4,0.039837787189526,0.133867233306169,,,,,,,,
"Facename: Encoding-Distractor, XGB",xgb_face5,0.07416627608014,0.179398526711461,,,,,,,,
"Facename: Recall-Distractor, XGB",xgb_face6,0.042815446920086,0.157053254911564,,,,,,,,
"Facename FC, XGB",xgb_face_FC_PCA75,0.049449496028005,0.148592338790157,,,,,,,,
"Resting State FC, XGB",xgb_rest_PCA75,0.108528130288614,0.20985702161652,0.007662683555776,0.081299426917606,0.033011428472926,0.10989669997975,-0.023653146359847,0.021387098167293,-0.003423045356411,0.087161441964485
"Subcortical Volume, XGB",xgb_subc,0.007718643704104,0.099896467288181,0.000340383369632,0.076705535456187,0.018004188547455,0.096220153782914,-0.03557024057875,0.005543219163183,0.012664801165542,0.073434857665528
"Surface Area, XGB",xgb_surf,-0.053633413479308,0.068421839431222,0.044310549640262,0.117777687360901,0.032790275905131,0.110775276243661,-0.006968304345953,0.032124225571786,-0.010416387965699,0.07840106802928
"Vismotor Contrast, XGB",xgb_vism,0.019734046928922,0.116002534509436,,,,,,,,
"Vismotor FC, XGB",xgb_vism_FC_PCA75,-0.012753634576647,0.095063543345464,,,,,,,,
"Stacked: All, eNet+eNet",eNet_eNet_set1,0.313621914339744,0.431008688867749,0.237276295148072,0.362476415116058,0.208659320554678,0.326708825075189,-0.079672988432897,0.037914415658389,0.312458094384205,0.41462092020628
"Stacked: Task Contrast, eNet+eNet",eNet_eNet_set2,0.20286241778401,0.349354101264993,0.126107100621546,0.265335051678349,0.112886358662942,0.252281921011302,-0.088373717997685,0.036911914927318,0.257977907213202,0.370906100456919
