,Fold_0,Fold_1,Fold_2,Fold_3,Fold_4
eNet_VolBrain,0.29309809083111726,0.12010720334138707,0.11485669859795669,0.2708475128533784,0.1308443800110596
eNet_carit1,-0.004485645655767798,0.09593026868958213,0.18022208494467756,0.007410913761867512,0.08933745124636219
eNet_carit_FC_PCA75,0.3610851772745668,0.26914040954510926,0.2558711537702025,0.22696426977577017,0.31998870681467473
eNet_cort,0.3451187069880334,0.28524111120897405,0.21803837476972826,0.32700270771857287,0.38222136917440996
eNet_face4,0.36570605628693353,0.3106676178172585,0.2728917601404106,0.39088196558168986,0.27237873998647233
eNet_face5,0.574715296432923,0.49212701006100945,0.3578739518084739,0.44685781561281934,0.4062052151698336
eNet_face6,0.4830720756385681,0.4711226362184727,0.4607171783335028,0.45148780663265503,0.3096985635755232
eNet_face_FC_PCA75,0.45106287919199106,0.487275447615527,0.3966029969151556,0.3752375788613095,0.3448281322835789
eNet_rest_PCA75,0.5214268363550016,0.3127257081178968,0.48220693252691865,0.4356926853430537,0.44695055715504284
eNet_subc,0.23974431706867458,0.18842631191110137,0.23491886063092932,0.2933221572210045,0.23468457361260697
eNet_surf,0.37507384513841185,0.34178310634185594,0.21184523134168676,0.18505010835351543,0.13431050936039302
eNet_vism,0.3333859993875484,0.40889798333154137,0.25290545226951017,0.3279487152339496,0.22061070648517578
eNet_vism_FC_PCA75,0.31363298948158286,0.31726680398500895,0.2595151399929828,0.2996833017876062,0.2534129765204826
rf_VolBrain,0.3083046296444682,0.10063599081388343,0.10562855640893033,0.23702259409382667,0.09488135066920143
rf_carit1,-0.0978059892930277,0.03803047964624188,0.20402973562775445,0.18801614328159846,0.08162721506238926
rf_carit_FC_PCA75,0.4242801540780534,0.1335665231824203,0.20592280075524,0.14456365083069514,0.27078983313398547
rf_cort,0.3337706397154791,0.2510484533523541,0.22670089287045692,0.2264489343478342,0.42189543793160017
rf_face4,0.23550988118461313,0.3431449315679994,0.3217576512605976,0.3416696371652853,0.28462536677267747
rf_face5,0.5198377666650067,0.4553985149688229,0.39550913306833846,0.25164847496865317,0.2884397233349712
rf_face6,0.23821009073155464,0.46778690560453673,0.34362761050435686,0.3528267520726972,0.21713526056859994
rf_face_FC_PCA75,0.42647410219783366,0.3928716644792106,0.33919287695506317,0.348350334087701,0.14117644124175194
rf_rest_PCA75,0.5414972700490834,0.38426999523794336,0.514793812945903,0.3815677590604582,0.4020135842838733
rf_subc,0.2139589594392572,0.17910605634491822,0.20112735399652187,0.2787634998488098,0.2804674489679468
rf_surf,0.3238677386769292,0.18951879558151527,0.14497649164697038,0.21916070324016082,0.22100141932866912
rf_vism,0.3521828481613533,0.27222423254414696,0.2305207330924467,0.258233202282026,0.21865811408071492
rf_vism_FC_PCA75,0.2050734794337441,0.2348105324301795,0.24150717036181857,0.2838022485086643,0.10492296127650015
svr_VolBrain,0.281579599099255,0.10448218176723989,0.13629799239965024,0.22143577558389396,0.11637250149910514
svr_carit1,-0.005212254063099386,0.12710181941353804,0.13365178852290593,0.10902211695700917,0.039654618276281285
svr_carit_FC_PCA75,0.34592596036327944,0.27977280509697855,0.2045605164342164,0.22987405191730362,0.3204440030506196
svr_cort,0.36005668987890516,0.2995694260377651,0.22372443980762363,0.3528278449497993,0.4332128123084124
svr_face4,0.33496782640623024,0.3041617619238053,0.263016882442394,0.3821089227757023,0.24543590997981996
svr_face5,0.6062063405599328,0.46704883033210703,0.38040997256501663,0.4356534781938559,0.36335913333564535
svr_face6,0.4064534096350634,0.49022471538444157,0.3569462729289143,0.4026425443680166,0.2900058803714016
svr_face_FC_PCA75,0.4841783581832134,0.5516585061773589,0.35405642636084766,0.43624761437028503,0.35895494732848265
svr_rest_PCA75,0.46489559062656227,0.4264435098917265,0.4584360146814925,0.5163054936453629,0.4345804626123606
svr_subc,0.2335682782439661,0.20295911953844742,0.24073330828842954,0.23602640261605073,0.259135399454402
svr_surf,0.3865181460870589,0.3154962876916855,0.21040122345969603,0.24495601687091012,0.16396694229507877
svr_vism,0.3126392150266433,0.3914672990097138,0.33458440299325687,0.24718112139646384,0.23511288875465433
svr_vism_FC_PCA75,0.20143922136338493,0.3004676899168405,0.3055756053950985,0.3086033168827239,0.23106116245191483
xgb_VolBrain,0.19941503407495853,0.12830552505421466,0.14824164456591088,0.21534969122657155,0.17106503381444677
xgb_carit1,-0.12174550643414421,0.11076522926919927,0.1480796734098701,-0.009296487468014456,0.10163857776877187
xgb_carit_FC_PCA75,0.2794231346928492,0.1303862494966451,0.18385195928350756,0.15899707373377855,0.22611283289402415
xgb_cort,0.2548391001185353,0.23328357528267463,0.22536023801466687,0.21633184618852624,0.39058570753754374
xgb_face4,0.2547044538117981,0.33553842202214146,0.2294304963097801,0.3625322961484506,0.2602059937324529
xgb_face5,0.4444015187667276,0.45073449021665846,0.324917770693785,0.2662840746616466,0.285642698266544
xgb_face6,0.366430657429031,0.45105550690777174,0.32812751278502755,0.2694217004832543,0.15715796375511248
xgb_face_FC_PCA75,0.40969767809923074,0.40953518050945714,0.30446423419304985,0.28092398304864774,0.18356506423439808
xgb_rest_PCA75,0.3997323796521389,0.35632245763327375,0.536867451801088,0.3373598078486997,0.36372727222146833
xgb_subc,0.21667303275054361,0.18971141754321325,0.2757046461066506,0.26331213922950314,0.25900025177510483
xgb_surf,0.31784498465078226,0.18725968800318582,0.04722959187626008,0.1271620302568145,0.1632578494216294
xgb_vism,0.30182468184839906,0.36348795348538826,0.1729703653527429,0.2637800874799747,0.20322449422428626
xgb_vism_FC_PCA75,0.17142042724794582,0.20032879596522946,0.2802399000900915,0.23175740209606008,0.17836589219071242
eNet_eNet_set1,0.6542353596739099,0.63508247015773,0.5748068331146517,0.6203526584055308,0.5591054989944214
eNet_eNet_set2,0.5749823579798863,0.5806780094392263,0.4452876420585951,0.5871578067564661,0.4433871281614378
eNet_eNet_set3,0.574965468032542,0.4137614224524115,0.4779240586523295,0.4604963860830998,0.44273960905638143
eNet_eNet_set4,0.46227215922706855,0.4614401463085313,0.41274796749986736,0.40831721241422947,0.359157181607504
eNet_eNet_set5,0.595406008081739,0.5912467801105672,0.47028557888772504,0.6044881846822528,0.4806634242663673
eNet_eNet_set6,0.6423696158337872,0.6221382543976528,0.5659805830937217,0.6195146159036231,0.539779564188953
eNet_eNet_set7,0.6054043919143648,0.5349500441435677,0.5511662251989602,0.5028927280660123,0.5388384851764141
eNet_eNet_set8,0.5626612576250432,0.45827798764795313,0.524076993264983,0.4951054307134992,0.4700756659304284
eNet_rf_set1,0.6513495613924097,0.6646514927866212,0.5734985013044349,0.6073650472636294,0.5613377229234529
eNet_rf_set2,0.604747561987654,0.5946972568507063,0.4398938875580648,0.5576726997617631,0.44509831270856004
eNet_rf_set3,0.6200873715722386,0.4141474139960079,0.44041499325445715,0.4857329513567998,0.45779360737983554
eNet_rf_set4,0.41231769758235715,0.4785044288190008,0.42461385005097974,0.39756948368378553,0.3884489517933517
eNet_rf_set5,0.6217982562599785,0.6217835630610726,0.47748728254029194,0.5788893929965333,0.48754165718111486
eNet_rf_set6,0.6487748428859124,0.6459998237379703,0.5290217776416118,0.5996119086106233,0.5338543076514009
eNet_rf_set7,0.6176335510275295,0.5524806617058073,0.5710755757612387,0.5331131555320451,0.5484043522584381
eNet_rf_set8,0.5284059181729188,0.512713556873666,0.5247232487795295,0.4925293333894966,0.4720852476812015
eNet_svr_set1,0.6450956665758368,0.6394804798871707,0.5724371596376462,0.6177274663548278,0.5641157696768393
eNet_svr_set2,0.5572204537599048,0.5788328029369767,0.4236426880916367,0.5866035476707749,0.4462871763870958
eNet_svr_set3,0.5802806255380224,0.42502046312171055,0.4699391783998689,0.44813653221274613,0.46393509495415064
eNet_svr_set4,0.4627887687204418,0.467702390156697,0.4183552890841693,0.4132724219920821,0.3646021844282142
eNet_svr_set5,0.5832910016199837,0.5967392143566574,0.4616981369985156,0.5979541117025565,0.4850953505132099
eNet_svr_set6,0.6410261629730892,0.6273049222823542,0.5624061244228582,0.6095907540018264,0.5487260294550628
eNet_svr_set7,0.6130145005353556,0.5421006060422369,0.56561855975328,0.4895482325879865,0.5424186357848907
eNet_svr_set8,0.5634078898873464,0.4746473349688723,0.5272184452633788,0.5021925272413128,0.4752057112002716
eNet_xgb_set1,0.614340023126748,0.6412078889824236,0.5587856177845345,0.5699983378541887,0.5442246894007998
eNet_xgb_set2,0.5755121184366518,0.5847779992711556,0.4325930995624564,0.554393710703084,0.44782556367402304
eNet_xgb_set3,0.6277549180479238,0.4223904564461084,0.44187684230697144,0.4488707189657011,0.46027517118393313
eNet_xgb_set4,0.4268801182738292,0.493471825246643,0.4171803586595617,0.42962251287586506,0.37441550335785245
