,Fold_0,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6
eNet_brainVol,0.3275417586932815,0.2358801438972751,0.31778002028642727,0.2376995319486023,0.3602779314422888,0.35973682013881414,0.3537748507456222
eNet_cort,0.20167534310960833,0.15805105676603784,0.2730079084456494,0.16723603648585117,0.1847767192515786,0.2741271943970281,0.2641561329358115
eNet_facename,0.40038218929261804,0.2880165180253791,0.5391786527170976,0.5161649075162611,0.4052292269336861,0.42706707687252116,0.44157501448113984
eNet_facename_FC_PCA75,0.25602058776488723,0.22768180350339381,0.3069698689597676,0.17496601072937157,0.18953309366909335,0.05955112545211982,0.356917629650598
eNet_faces,0.37468871784123126,0.18765761480841445,0.3608087371299207,0.28758823677360446,0.37517787152117743,0.2643606943537884,0.3501991695638501
eNet_faces_FC_PCA75,0.14452421310694719,0.1371148641885294,0.11889855042878633,0.25485444410221847,0.1971005854904362,-0.006217750625121782,0.1513454114818329
eNet_mid,0.03345050558582688,0.25229328707236326,0.1650421073605745,0.23429765880581502,0.2031305295359995,0.16940998029394752,0.07813433497810471
eNet_mid_FC_PCA75,0.30063921487003437,0.25684318744807644,0.150271859012799,0.23840016924536442,0.25520290421997077,0.16834591297992726,0.2742493596527543
eNet_rest_PCA75,0.14259319876921908,0.15850239333189473,0.2647199603441037,0.39726309992488257,0.4715274588160041,0.324341987509572,0.19690186418021038
eNet_stroop,0.06465743441662977,0.33704132564268097,0.20228121230095486,0.19896450306708152,0.23730068037869267,0.1860473952990564,0.21653656252491704
eNet_stroop_FC_PCA75,0.26270061629932595,0.28981173147692063,0.281289586927056,0.39641607804901535,0.3135098020371212,0.232725189596647,0.2780579282053337
eNet_subc,0.2118105958554134,0.251344145966497,0.26081605654461115,0.12120509929840154,0.34008185032462546,0.2935780983576902,0.30299472814993683
eNet_surf,0.2215757512321432,0.23129819286380257,0.26268849606152417,0.2855398815787082,0.4111022499287272,0.3489099627883584,0.3063371787670581
rf_brainVol,0.25373444624284747,0.22578930134519803,0.24261500774741257,0.2055721211083506,0.3074230699648943,0.32598575367236304,0.3026574049848994
rf_cort,0.23036744272645027,0.1439868792158241,0.23221589363654066,0.157117651259025,0.14292838928509927,0.22336159809783676,0.2613486684807425
rf_facename,0.37905678292626543,0.32296194991600646,0.47468956162648335,0.4997366292122892,0.4283821648357432,0.40998983163120717,0.4365170992877463
rf_facename_FC_PCA75,0.4006305983378104,0.22724996605340586,0.3306615993726797,0.1379482036655436,0.30534481376459155,0.03624503587067431,0.33377400391259704
rf_faces,0.3969820769013866,0.13625088625371432,0.27543526552729924,0.2582281983510619,0.24195737877912954,0.17843321579646734,0.2868280234188697
rf_faces_FC_PCA75,0.17471441957936618,0.12900288917777733,0.19861303036458244,0.2148056569264752,0.24044110732358354,0.09018338567680662,0.26743993142235756
rf_mid,0.09370760713815947,0.23088491073252337,0.12132358315444501,0.07423725757133212,0.16892611012658282,0.13235249386454143,0.01937924383206286
rf_mid_FC_PCA75,0.19511167997183254,0.3548522337483233,0.12847172169560078,0.18069320651402637,0.2778283990250755,0.06765719205124279,0.3184789999882067
rf_rest_PCA75,0.22163647763679176,0.18092783703063417,0.27793208134569014,0.2915693372302865,0.40032703852333484,0.26662343333845245,0.18204807519979838
rf_stroop,0.30331472868329534,0.29279341417628346,0.30368460993701885,0.2177195563835026,0.3721372024768377,0.37760873662507377,0.190598662900073
rf_stroop_FC_PCA75,0.3016603858491033,0.2764943453141476,0.21358929627691126,0.44782836884827204,0.293837839159334,0.23041993839874764,0.27056528171730665
rf_subc,0.2048262928568405,0.2835582738788061,0.19349345754085548,0.1296536578612843,0.3236727537386546,0.25864869688475567,0.2711530232642961
rf_surf,0.24508071814279753,0.17458940196355807,0.27945662674207417,0.2745303091692356,0.4157021570786008,0.28358249966094634,0.2943508980196392
svr_brainVol,0.3165807600298154,0.2175182065160982,0.33020829033688553,0.19639285836884718,0.3588455514525223,0.34175000802850203,0.3732532432566209
svr_cort,0.3092507134756699,0.205883083944259,0.2834919185975917,0.13995766158374742,0.17659091919968478,0.2196847234899253,0.2535477973140787
svr_facename,0.4246813426265403,0.2745268927046085,0.5606770475249672,0.4783519284257458,0.41621703070863103,0.4710396828316769,0.45295034284821056
svr_facename_FC_PCA75,0.25931657362379346,0.28342622816011304,0.33719505541924266,0.2624632922533331,0.3332555324955096,0.0863375443701068,0.3075019714352103
svr_faces,0.3111036850574634,0.2085696917711724,0.3756339268331112,0.2793280661871585,0.2758096437380593,0.20830978868821665,0.3466910948767658
svr_faces_FC_PCA75,0.1656713026056144,0.18379055078705098,0.08755029026215641,0.1825938052412983,0.1650464348310551,0.14100871399166987,0.3230716598906982
svr_mid,0.03775591639985609,0.21645486268474656,0.13408767170173158,0.22517510123816065,0.24112863214311897,0.09944347780652578,0.07449199628163963
svr_mid_FC_PCA75,0.23617210435930974,0.2817741255556625,0.20576230691223849,0.2309904602514858,0.3508240446726801,0.14130883723387028,0.28875303218368703
svr_rest_PCA75,0.2237758117434605,0.18058041568376648,0.320338433474742,0.3548774059311515,0.4958194623670895,0.23569981803990783,0.1611039394841332
svr_stroop,0.338252974605864,0.34652653835356395,0.38996812706763234,0.3011540518970423,0.3292117622640872,0.4065116660199248,0.35670470715492725
svr_stroop_FC_PCA75,0.32602624193605906,0.3399847859602445,0.28473957564284136,0.3927868258279029,0.3682106428044235,0.2141535969400272,0.2903198064150593
svr_subc,0.21294257132355987,0.23955270458361433,0.25694313405742647,0.1415700670135008,0.314824953433272,0.2828090247016205,0.30317918714329123
svr_surf,0.15463264688525402,0.19941420104719318,0.27398076072204697,0.22436014417099362,0.3594447309499447,0.3266020450126327,0.2559478949434155
xgb_brainVol,0.27384249088460677,0.2419577946193459,0.2496868192911846,0.23323526770041955,0.32778701156920875,0.2956979114384062,0.3080381120753001
xgb_cort,0.1484383457859915,0.020799355852023152,0.21236341244344428,0.10672740150581465,0.1680275458695282,0.17049387458112172,0.15611091254016946
xgb_facename,0.343785812463003,0.2135853444524606,0.5126976047270648,0.4290209003214511,0.39603718204702,0.39746628861454025,0.39235608989726506
xgb_facename_FC_PCA75,0.32722886095935055,0.2507979743281688,0.3142277376141579,0.2287729202318593,0.34422446437332044,0.050320831162287735,0.2677001941011212
xgb_faces,0.2904630418798398,0.09324570692052361,0.22499404963817807,0.2017089510279965,0.23530457194882215,0.16046610461981814,0.2655983888902575
xgb_faces_FC_PCA75,0.14403854174914985,0.13320859010323896,0.1558646740678384,0.15763236285605028,0.1684978189499824,0.05538791915324896,0.32743400601310235
xgb_mid,-0.025699978018394392,0.003228789864678165,0.12108380553714528,-0.0075732272139368145,0.057343629231096954,-0.009774351997184808,0.12079496162997534
xgb_mid_FC_PCA75,0.17316367389514134,0.28703945590757773,0.0820811732243738,0.1127232280142853,0.3232381522623436,0.020877323016574818,0.29239906167671026
xgb_rest_PCA75,0.13015843191664928,0.16822093043287484,0.22614539473684364,0.23838329990866158,0.392271055486369,0.23092686173582455,0.15740454717475805
xgb_stroop,0.20872193060752592,0.30192047754299045,0.24289438952203415,0.3518462535160431,0.2788827068054706,0.32967708898781584,0.11867724903453221
xgb_stroop_FC_PCA75,0.2594188310072708,0.3552871193187307,0.1353666633206745,0.4555218984463005,0.2646507672502638,0.09568625759640642,0.30398471019192114
xgb_subc,0.18729190713183105,0.2438192102925618,0.13987589971054432,0.10863774152932462,0.2712143174093088,0.23468390162252117,0.26909567795811973
xgb_surf,0.23800136117107554,0.18044647846634396,0.27651631369072477,0.30009393658948896,0.3942983405841317,0.31068992045606453,0.30169768245915174
eNet_eNet_set1,0.46288342454869297,0.44660507507716185,0.5686211880162446,0.5740653614986402,0.635969315958425,0.5448587950877208,0.6098551569515445
eNet_eNet_set2,0.45465830339607977,0.33517604266651385,0.523996530395243,0.5175214448679883,0.48291424415346773,0.427763105446338,0.46905044561388776
eNet_eNet_set3,0.24590867094636223,0.24600276490047687,0.36981958611481947,0.41471298817780566,0.5759356257354863,0.436227773777315,0.3692562657777019
eNet_eNet_set4,0.3378994330881189,0.29382026788712734,0.24226617139845535,0.2719364269739694,0.30192314144783816,0.10124806408719626,0.37754620907186964
eNet_eNet_set5,0.5098055944373737,0.3941854692304496,0.4962599085914243,0.5659861241875721,0.5210196840636668,0.42349263544111254,0.5384961084083896
eNet_eNet_set6,0.42631896370052064,0.37589865356239505,0.5868770510603976,0.5606034999283555,0.6261211785896044,0.5639376345077135,0.552041764742985
eNet_eNet_set7,0.3241873971684728,0.3052894875035384,0.3958826860358867,0.41302058443129996,0.5170504875434938,0.36840917716079113,0.45000663191361023
eNet_eNet_set8,0.3083545906645744,0.2740179762219307,0.3019535106014136,0.36409586402521865,0.44622698831437346,0.21053377969888148,0.3743523835586531
eNet_rf_set1,0.48112896089265755,0.44378289116480707,0.5595504497720949,0.535075535156144,0.6538002900409849,0.5359613632831712,0.5902406879816888
eNet_rf_set2,0.4399162062538867,0.344396125634119,0.5046362675823306,0.45551359928691093,0.505229572907857,0.44925729884748045,0.46906080274569983
