,Fold_0,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6
eNet_brainVol,0.3068874512989349,0.30623206080179977,0.3689793809214369,0.24357314329097568,0.3324823484875212,0.36730831731355984,0.3396661270628479
eNet_cort,0.1729089079857013,0.1527146055477236,0.2397384753576452,0.24537996626575898,0.24857812106254815,0.2338254957579604,0.2370306763081961
eNet_facename,0.3762399930508951,0.2821075843240052,0.525516869306572,0.5105813004257039,0.5119237559552412,0.3761249503877517,0.39427325914395994
eNet_facename_FC_PCA75,0.26473565877806643,0.28262167383967524,0.3763360908250164,0.22600674864168568,0.27320683662591994,0.11919185616868187,0.27078700505346365
eNet_faces,0.2459218517448155,0.23015984048659183,0.2839543918742117,0.32421342626961097,0.454011537359291,0.24535444923675725,0.3833946941115788
eNet_faces_FC_PCA75,0.1313250111657936,0.21971389915293563,0.20199648554780747,0.18678409576264973,0.15118795395918613,-0.040808324561455014,0.16323622280724606
eNet_mid,0.033791430223402336,0.2201481612043537,0.09075815360529699,0.13880664940075735,0.332744233314699,0.04546908250434513,0.058348897449256816
eNet_mid_FC_PCA75,0.31260578159690544,0.27309188055490335,0.22696618301213556,0.30232965940809514,0.1493694797938904,0.14631108167058457,0.24545422669448352
eNet_rest_PCA75,0.1803617586263907,0.13384791997891737,0.33474284856673114,0.3273153455849096,0.39258793931141583,0.32718232404342307,0.21885806535336497
eNet_stroop,0.02827427321497382,0.21403697205947728,0.04430553776505846,0.1318031719334381,0.07843386190994972,0.15557854022778878,0.07125027962974881
eNet_stroop_FC_PCA75,0.2601250997802298,0.23507095526267668,0.3134500061146951,0.24468960482185623,0.28557642611049,0.24599377322189042,0.2900826549907595
eNet_subc,0.26727721136861554,0.35682552526631994,0.3674639695258734,0.12838507212220965,0.32309400991847126,0.3254239331111299,0.29891683449018736
eNet_surf,0.26331886677891225,0.33452200629019413,0.2961466918845085,0.18257492846449747,0.3217938252236088,0.2901274305249743,0.3274652440382954
rf_brainVol,0.29679816586305147,0.27894594384091914,0.3203174992347556,0.21860932858363707,0.30149861814846085,0.32119448263111483,0.2818999734938155
rf_cort,0.23997660879053448,0.12387366295847778,0.1430940667750774,0.20676423913236883,0.16662675880263178,0.2314067605256347,0.13219993436749072
rf_facename,0.3461258757079671,0.3237279869559655,0.4762776434266669,0.437737592681235,0.4460253377583013,0.2903423349165325,0.3273557516261327
rf_facename_FC_PCA75,0.309309194283361,0.2559897637527283,0.3848553102174912,0.2452934797707937,0.3668523857595684,-0.002766869459099805,0.35876611329396324
rf_faces,0.21818248990285402,0.19094207778508046,0.17506381339305455,0.17980769301717495,0.35314834292704805,0.16582166223351552,0.3655785416985944
rf_faces_FC_PCA75,0.09378062650197148,0.15956592813648335,0.26506534756361455,0.17219234436984077,0.26063044790828693,0.091947620407658,0.256356162772461
rf_mid,0.06943143690749448,0.23115506117097925,0.13399161859135345,0.08952102443514416,0.33019715301788133,0.12240014678661623,-0.04450620210979379
rf_mid_FC_PCA75,0.18515747609664568,0.2263280149799982,0.23146395143111803,0.26976230428321313,0.2547768890311721,0.1601043330041645,0.2004049217220397
rf_rest_PCA75,0.26732516388820743,0.1503619197521267,0.2983798751843407,0.23457243559165394,0.48278394212647535,0.24396421887625402,0.17897492238711682
rf_stroop,0.28287467410630196,0.29050681937769185,0.23984045355144826,0.16412946028524955,0.3231536887736747,0.3015400732413932,0.332525071723653
rf_stroop_FC_PCA75,0.21949577802542813,0.2670886974743718,0.26967646940571777,0.2930020190804357,0.3294848346253576,0.200304530476753,0.3146531330388336
rf_subc,0.2625983736790871,0.329233726376848,0.2800531441643445,0.12903723611716023,0.2805548631996053,0.2868067620579102,0.2822960974793565
rf_surf,0.2969982234859394,0.281585443430329,0.33324618949502804,0.22136653695843758,0.3237854834318841,0.2569465754481828,0.3338410298793823
svr_brainVol,0.30330066317827176,0.3157858763335574,0.3721319651179349,0.22871636819775704,0.3349420354108825,0.30827394508256023,0.33175068630169213
svr_cort,0.29203935612612153,0.19023197533598069,0.20986301188710957,0.2143856362112911,0.21215602710929998,0.18465076323383237,0.2369328499524042
