,Fold_0,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6
eNet_brainVol,0.1318133861923434,0.03658553832202362,0.10799211018795507,0.04259535780081129,0.10941862483581061,0.10810969426166218,0.1716819340670839
eNet_cort,0.1449736910867275,0.09047862751322112,0.14170320832248923,-0.05227320903767589,-0.047588522333390684,-0.006324638011320431,
eNet_facename,0.15575582445233693,0.2529182187403875,0.16685650420603748,0.3159839279696646,0.06649973821478335,0.2031619325622318,0.30065458771779524
eNet_facename_FC_PCA75,-0.05396459649784177,0.08086301472723821,0.07551295539126349,0.039868361529201576,0.009329422498230463,-0.054105083549464694,-0.10252534388277351
eNet_faces,0.1762852409214005,0.03550894825594425,0.09057200491130596,0.2370705197442068,0.1304869549530257,0.020230922837907873,0.1433711931732308
eNet_faces_FC_PCA75,-0.047814439372853096,0.045113548730806446,-0.015413938590329905,0.05247628751792027,0.05308750935005921,-0.054618714638481794,0.07464668440199945
eNet_mid,-0.08625987025445972,0.007472489633790793,0.06449344942111207,0.11311398650653826,0.021359277168033222,,-0.02441634765911241
eNet_mid_FC_PCA75,-0.029111895730368285,0.04367888963516646,0.08127175078117277,-0.11262758469677617,,0.015802911833191484,0.09713206626121101
eNet_rest_PCA75,0.07702098631093289,0.14636213348702798,0.20276642461399386,0.28934884859424387,0.17796843298483173,0.053483025458688715,-0.020499958445919522
eNet_stroop,,,0.1773563558961292,,,,
eNet_stroop_FC_PCA75,0.11465990010347725,0.19199591028611945,0.09810614864567088,0.17684232956529775,0.07739854563546665,-0.0278791543245744,-0.032103947260673
eNet_subc,-0.0180918693087551,-0.0812581965092394,-0.01836321347972931,0.09007158511703799,0.1471264420271763,0.015091141310748915,0.02068034070203016
eNet_surf,-0.030765806163565487,-0.09278607490681341,,,,0.15425122238937783,-0.021154354080150983
rf_brainVol,-0.023497596261119295,-0.0016602460537487075,0.07782993666453092,0.08953536011569556,0.12097087175812984,0.12405019408958855,0.07402826299768947
rf_cort,0.10345697735285331,-0.09149060102767885,0.016362686234802956,0.026419870292084806,-0.09463197080875978,-0.00818370858890934,0.25248058363141523
rf_facename,0.0865299845152025,0.15508972102237806,0.1262402610671976,0.22236432809427154,0.06894385106046373,0.282567963277517,0.27476955136693054
rf_facename_FC_PCA75,-0.05702993443358155,0.027974252891823342,-0.024641293662723066,-0.033701573274227556,0.031044765918655376,-0.023464344511402488,0.008189105235832356
rf_faces,0.18915826089093873,-0.06779287829917213,0.05939836329172079,0.1581685439040396,0.01909083926203281,0.09561544472368042,0.21684611871028403
rf_faces_FC_PCA75,-0.026778809170360615,0.06817006919641169,-0.015405541528777447,0.1267510793351883,0.1264455176268357,0.05790230348618554,0.12525477206017627
rf_mid,0.006685305200732926,-0.08604573828942051,0.011647737958044616,0.1099766622585758,0.018247088516485113,0.09359654667568457,-0.053018878999313415
rf_mid_FC_PCA75,-0.048745784568796635,0.13659544755802136,0.004462967553813604,0.028344570013047785,0.20893020858401323,0.037186286229675576,0.2183018988665394
rf_rest_PCA75,0.05967864591517904,0.11795723723439286,0.20216572908989816,0.08804226402763031,0.15269176804575105,-0.04136831014323366,0.02897288154252287
rf_stroop,0.049452188371323494,0.07755468786467286,0.1417392348294485,0.16427251075120694,0.1943508984698985,0.20595769662649022,0.08832055319246711
rf_stroop_FC_PCA75,0.021745888888814676,0.1527188272435082,-0.01690215230976705,0.05788934770189133,0.11198826021867396,0.15583149220889111,0.044739510034555494
rf_subc,-0.013134511665834958,0.036572411284081764,0.004802214477286591,0.1040333062880308,-0.07715612824031652,-0.043893065427649355,0.04691599870773447
rf_surf,-0.006020508668086566,-0.07099850569840246,0.032301891325427996,0.21063425661260488,0.1978023209371353,0.14416545325983765,-0.021258025765420546
svr_brainVol,0.13997185092278158,0.04504629297947427,0.15328162078175894,-0.015280871798025005,0.09261919822037469,0.04371309105335546,0.2660224314045614
svr_cort,0.1309683941724264,0.10273932162851418,0.13727145520133693,-0.06916864907233065,-0.07610699034859227,-0.02183846200699651,0.2660559895800186
svr_facename,0.08046919014595386,0.16009667979298028,0.016621904595595125,0.2685198487642825,0.08794025750160153,0.16059139980277945,0.2494484586576396
svr_facename_FC_PCA75,0.058955693681210286,0.07868445143803746,0.03144113455506572,0.06726131731077836,0.028966165720429978,-0.06954920941726712,-0.02024302585240001
svr_faces,0.18879691810261776,-0.025404169454471687,0.11574383135119433,0.16722965042828225,0.04921477376185561,-0.045236774650008374,0.13158486043106843
svr_faces_FC_PCA75,-0.05949615624322933,0.03194769379791297,0.02454482295430522,0.12944505678838145,0.014876449575246337,0.033499689533478594,0.0939076641029306
svr_mid,0.004325021908272594,-0.004164458493992211,0.205364755768274,0.055959383073007324,0.01940183259426375,0.10096639069780353,-0.05244888359739264
svr_mid_FC_PCA75,-0.0596693062069117,0.03063861709302749,0.029487628957698818,-0.023187893501899703,0.20095768837165692,0.024492132202706865,0.07734305961460977
svr_rest_PCA75,0.06791954526110122,0.15325605668817682,0.12384225703941122,0.29249516375417767,0.09082738623728762,0.019655294954068585,-0.026560784359012664
svr_stroop,0.09186336724513128,0.08640454142043799,0.0920834348390939,0.23596272065220864,0.24853447298926765,0.0601160776519922,0.1757012525590732
svr_stroop_FC_PCA75,0.13812089304365827,0.16439628293162223,-0.02849061702996205,0.09242656529806703,0.15295913803429867,-0.014533466314314236,0.021566741444853398
svr_subc,-0.0050065925709599085,-0.12984100604110926,0.042187976548604816,0.0985489185573179,0.11862438266297545,0.027996452837470473,0.02951870118726149
svr_surf,0.015670647958425668,-0.11271859876664563,-0.03348589604824159,0.16008664926370836,0.18477633667818366,-0.0230590604245189,-0.0704103448522286
xgb_brainVol,-0.040774164203404566,-0.004251245074669677,0.16259031956074652,0.0581119352181335,0.006899138836433269,0.12848107324949803,0.19854217745027977
xgb_cort,-0.06924184322343095,-0.10935311888559601,0.16661780176026186,0.06433351761769855,-0.05613415898017674,0.018365622603341368,0.15653747940413165
xgb_facename,0.09397870188782255,0.1769049792683964,0.04194278599959769,0.227668011693791,0.11396044035242643,0.2927621685354528,0.2774693928107925
xgb_facename_FC_PCA75,-0.0658941001321541,-0.08367116170390765,-0.022178201214711535,0.030504269971312288,0.026477408702833022,-0.059499263933755556,0.004677225820421561
xgb_faces,0.216571239956797,-0.08099730611880848,0.14944502471662544,0.09450351818838931,0.2754239485839186,0.13686946810884598,0.1430737669239997
xgb_faces_FC_PCA75,-0.00974431788708377,0.0015921749482178255,0.05337787705322913,0.11201117701051061,0.010066494138128906,0.05594486807165331,0.0998847656906053
xgb_mid,-0.09184541878629796,-0.05631240275142919,0.0854126306585313,0.15977450339965132,0.01811417602838926,0.10467796218701601,-0.11863578484660675
xgb_mid_FC_PCA75,-0.03204577632512875,0.1149203926884843,-0.03420069391714248,0.040934445131768624,0.24814565226984744,0.027399850906151997,0.25958870493636493
xgb_rest_PCA75,0.03151079637008232,0.1164751777102308,0.23222800232676072,0.04201999597685217,0.18843446800506886,0.04643944203415586,0.03290450213863378
xgb_stroop,0.09081809232235002,-0.02690427106949614,0.0653103009795602,0.1664008084863332,0.19611916017736497,0.12390950182441515,0.044047413444928255
xgb_stroop_FC_PCA75,0.05247446731719601,0.12498081024149604,-0.04453899665095801,0.014966992267621042,0.06845206588950108,0.1174599417363611,0.09795314362272146
xgb_subc,-0.02312411876237591,-0.005966668698672024,-0.007398761100753368,0.20118781188472382,-0.004477881400239678,-0.13303020579399366,-0.015227746616694245
