,Fold_0,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7
eNet_VolBrain,0.020526798521140147,0.174306315672544,0.18764613471910957,0.2087652687022704,0.11572121678326272,0.2631289850899662,0.40235519639451517,0.2735396926460312
eNet_cort,0.17235698903729033,0.14366496046836089,0.09327364019197196,0.22203784173865176,0.10068955637940652,0.19034143714167784,0.1779916007061115,0.1664967185717331
eNet_emo,0.15423115310812285,0.2473592554549719,0.31718238696061873,0.3203681913812112,0.12218177106576786,0.16187924294744765,0.27330008188548316,0.42041683892391546
eNet_gam,,,,,,,,
eNet_gam_FC_PCA75,0.2526941520041746,0.22051013459394062,0.22171074934830826,0.39116361631727004,0.17748829405868835,0.3512063811124928,0.40732458275571665,0.33420861612911984
eNet_lan,0.40716970797476415,0.3452824530923442,0.43188399099025576,0.32126691564139903,0.2156239483018717,0.3651423422757246,0.5215834782950692,0.5291342927186496
eNet_lan_FC_PCA75,0.4478385932117305,0.342849562683873,0.3108219887683607,0.4213199597589532,0.23743944314027118,0.4954086932171844,0.5222349609959411,0.35521775494625313
eNet_mot,0.3811221620403684,0.2282519070764713,0.3187257255138892,0.3906055582876584,0.11508408867419542,0.22928154445275722,0.25816439451695833,0.2552867815579742
eNet_mot_FC_PCA75,0.3614968808796713,0.275244736074028,0.3899841378804505,0.34372852040917345,0.2983443182361537,0.2683333220213402,0.4376820379951005,0.39916558767942173
eNet_rel,0.2539624359325335,0.26300349131596523,0.18022119860574232,0.4455383704375781,0.4277338141085414,0.32639217706256174,0.4755228204454915,0.308700312118891
eNet_rel_FC_PCA75,0.34767527978956914,0.2643952823404011,0.48213331957349875,0.36409590047355467,0.18199477931172245,0.36207603106932373,0.36537772576194366,0.29511827727449813
eNet_rest_PCA75,0.25789763006948097,0.24245648633416522,0.3762041232165442,0.3915816639170692,0.2261435244326481,0.2707425314269454,0.33319038256814393,0.3323069307454205
eNet_soc,0.32027424870309007,0.1048543697193845,0.3231262554051031,0.27856635736529145,0.30267581839776175,0.17025068736667923,0.2019399753018413,0.23037034391924507
eNet_soc_FC_PCA75,0.5088097127724212,0.37965725658456584,0.5131810422632983,0.3766626344537243,0.3440590320139055,0.4372490419342955,0.46972774648691806,0.3881770206290047
eNet_subc,-0.10655996357407842,0.3277267534704116,0.12392340073748957,0.2543245722572145,-0.00925991467440973,0.23364203065919273,0.28510117978760136,0.13879586849274775
eNet_surf,0.09843380620589222,0.1886084647333171,0.23894069091680317,0.3278146185479942,0.20827060836262176,0.28702529151202383,0.2783311150828758,0.3326629925664909
eNet_wm,0.556363775728207,0.49180485099419025,0.5242840687821596,0.5002746887769944,0.39133535777907574,0.4233094482293831,0.5214860767408287,0.5899839717032576
eNet_wm_FC_PCA75,0.3690089023626911,0.37016113917495996,0.5614392911188806,0.5140696137862287,0.3029934364459437,0.5113885720040978,0.5739112475217463,0.5100808592015997
rf_VolBrain,0.017770883432352197,0.2662419908746738,0.02815553764535794,0.30379827305029666,0.12067738426757497,0.17785160069526715,0.38040942829173996,0.19305657676874144
rf_cort,0.11997715601443437,0.12286084712065806,0.0954574227039871,0.24037603931375404,0.1059834433241966,0.26370189553966433,0.1176768251477007,0.1332326672261654
rf_emo,0.13519643625617753,0.14701800005168353,0.23635127785598367,0.2449680515032665,0.1524827041778923,0.2081866155356618,0.2649066185401296,0.3513596665190919
rf_gam,0.24442922984125787,0.15067484667170528,0.01916733334663047,0.2483362051982205,0.11007251595770381,0.10399085915901657,0.25622622679495355,0.022136830743093153
rf_gam_FC_PCA75,0.30431991268512815,0.20043032758294382,0.17858451184486013,0.247450627520309,0.09680800120853686,0.3275294020184616,0.40526194977618846,0.4126766687036755
rf_lan,0.4305253135021015,0.25919095321092445,0.47655962231742804,0.28573706769611296,0.20268384897233993,0.37096886228171455,0.4369892159956015,0.3749507462747439
rf_lan_FC_PCA75,0.4068483743581466,0.35065775501287066,0.27161105990032486,0.30524844032934073,0.17980203722779572,0.4646504498096148,0.40731117112992643,0.32805933447057245
rf_mot,0.2982056667403651,0.24909195794483976,0.3365386263204788,0.4136796992392969,0.2833470185419267,0.1063790865298371,0.34672286577663036,0.3015693107854615
rf_mot_FC_PCA75,0.3325383001521087,0.11648164070832709,0.331328698775441,0.2581262588435246,0.11409765676967648,0.24948918290927452,0.4216377032338724,0.29108824348027185
rf_rel,0.3098872651591912,0.230331779018621,0.16757044492256506,0.4519660130802641,0.4516554779609636,0.28244386618215117,0.4662501143146131,0.18190734687535462
rf_rel_FC_PCA75,0.35292539804235945,0.2520926172332314,0.41752210338641177,0.37467672247802486,0.09866846397695597,0.2585350662050741,0.3117640179329908,0.3281991046032469
rf_rest_PCA75,0.27046112504019726,0.25841128115383033,0.1836958009944177,0.25620789846399306,0.25461656440787445,0.3823611442591129,0.35976535931438736,0.19578082298768604
rf_soc,0.43683854530026556,0.19179906128498347,0.327962780209122,0.378656171074367,0.3360981661090043,0.2043216392952612,0.2675429763516397,0.29041538555058344
rf_soc_FC_PCA75,0.44157298812916185,0.37728205134647785,0.39703104322892113,0.22608602793792384,0.31663360313367533,0.3821962802721542,0.4978762346424803,0.18772276130286952
rf_subc,0.03010701495697049,0.3521257023950103,0.2220252113971404,0.18897688003657992,0.15470097949017142,0.22138227550128564,0.35998213479849067,0.1263201938421062
rf_surf,0.13941945940054476,0.18389111219451415,0.14290357868878578,0.36046956587531254,0.2533184971689488,0.2885594573417714,0.35841428920001006,0.26180946660583077
rf_wm,0.4989534277340606,0.4547126204767592,0.4655731185436723,0.4575969431245158,0.319231188751978,0.3330075456733513,0.5341217350678337,0.5567612267342442
rf_wm_FC_PCA75,0.39221821793860434,0.22867681481035368,0.4256345124088727,0.49514311299864283,0.16718392625004502,0.39205866220127494,0.5516744990044049,0.4777693595121605
svr_VolBrain,0.023849931356911595,0.1899075836590127,0.11351956496433448,0.16447026986878407,0.14553953071526662,0.23506032303872393,0.40800225954146574,0.24827550836164927
svr_cort,0.154820183050346,0.1429592472260177,0.14507430273077204,0.22938760211310227,0.11896882789816074,0.21346536424951645,0.17577990874681027,0.1328237591094639
svr_emo,0.1595039462797322,0.2668133489717495,0.30884733701962974,0.32778119207785145,0.21929873644424303,0.14970537655736044,0.2655127959122194,0.43760139031371925
svr_gam,0.22213370963354226,0.08729563133381697,0.04405746619764532,0.2764351856179653,0.0646701429999746,0.14922851230363138,0.3198854717669255,0.0849178153415128
svr_gam_FC_PCA75,0.2288191143239379,0.2919066091236675,0.1671943288102201,0.40889643807276654,0.2013209332009488,0.3861310489951073,0.45902883008816575,0.32727952273443617
svr_lan,0.4454755694533039,0.32837957989012934,0.43915678020714455,0.32326347370316144,0.20482834559237056,0.424694666342707,0.513475534278976,0.5148486529316045
svr_lan_FC_PCA75,0.5089466060156594,0.31691740157454884,0.34839009016495726,0.4172850010188425,0.25984044113317706,0.5104212595153088,0.458995674514507,0.389512460016486
svr_mot,0.348274772956117,0.34699248374415403,0.34804186159179007,0.31063033050174926,0.2727591398865282,0.19495531887600873,0.4618986632191343,0.27600764115203824
svr_mot_FC_PCA75,0.3400971974485902,0.2316970027416338,0.32131862868462696,0.31778401060711325,0.22678753953778702,0.2621044044210723,0.39476828145734855,0.3697682910873481
svr_rel,0.26391355690714263,0.2401538959572953,0.19010097412720492,0.4732750486827636,0.46602673366946157,0.3492045638751205,0.49510472600720407,0.22595694406937208
svr_rel_FC_PCA75,0.3719396977898086,0.2934868523453684,0.5038639782688293,0.4060137383732363,0.1798434901049019,0.37873383558643336,0.3413735312708194,0.4000606536237436
svr_rest_PCA75,0.3044925422232527,0.28961338886678073,0.3665153443039729,0.35253026442325436,0.19697952201438484,0.2758030009264072,0.31408590819695814,0.3192187779598215
svr_soc,0.2584455921462716,0.1739144111653932,0.39858520534509045,0.3315013008286468,0.29671317831694677,0.13406304474980632,0.2784753642211596,0.212644989488154
svr_soc_FC_PCA75,0.492288283332309,0.3954832157040701,0.46423938474715326,0.39403790835738617,0.33972699342359974,0.41030904934490553,0.4586444320304497,0.36482257450428285
svr_subc,-0.12000794113477223,0.33966392519252253,0.07395980514716524,0.21000715833847655,0.04915870322140871,0.228503348838987,0.35157472072251006,0.06159128811403153
svr_surf,0.19266423332892785,0.1449367109432881,0.12932554111989913,0.41868094506904463,0.2603490149560383,0.2573978172033176,0.3169725586926759,0.3132233214289711
svr_wm,0.5380814873224312,0.5045275386764356,0.5400263751786081,0.5119747894803502,0.3999494306696301,0.4175858740345647,0.5728467736401489,0.5463409331867609
svr_wm_FC_PCA75,0.35923091054967915,0.3861326235064468,0.48733233313948715,0.5323620093838024,0.2856659870655521,0.5376011044419853,0.6199693606904155,0.49509327835342704
