,Fold_0,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6
eNet_brainVol,0.7250983323264805,0.7908504720875241,0.738668095106931,0.6565250126338559,0.8313428063261445,0.7973788372086645,0.6821415913264804
eNet_cort,0.7273315845544075,0.8290492163420133,0.7673550119787791,0.6757532135740966,0.8624386474836373,0.8428800599771626,0.7391288291055618
eNet_facename,0.6890601474577683,0.8011494765808009,0.6600846932902278,0.6106686519260246,0.7683729351019859,0.7863915666565782,0.6782034684124021
eNet_facename_FC_PCA75,0.7141726728364686,0.8021300890751415,0.730212788234878,0.6776375998751921,0.8536672259983064,0.8683165612721383,0.7195178587878255
eNet_faces,0.7221957238254794,0.8283792976327033,0.7468910671558084,0.6577784912631635,0.7890505871938567,0.8155502486642615,0.709130149110423
eNet_faces_FC_PCA75,0.7368929684102257,0.8351343831964071,0.7556369950544912,0.6935696833965964,0.8759672045515925,0.8767717778974667,0.7418495738345466
eNet_mid,0.7551291187454887,0.8354948637841692,0.7613542274026438,0.708271761018933,0.8694303718521345,0.8728315744660307,0.7467557572039125
eNet_mid_FC_PCA75,0.7216974400756343,0.8341374815465885,0.7384115859266243,0.6829888838319939,0.8734771221464088,0.8523901337593746,0.7254592509992567
eNet_rest_PCA75,0.7210796009596351,0.844025131362521,0.7433126945231566,0.6637330544859317,0.841899016922769,0.8353774446458309,0.7391141211476486
eNet_stroop,0.7795521556822052,0.8269061182893168,0.7532329035279949,0.6985962731564397,0.8910536651053307,0.8618827650174518,0.7454237898068758
eNet_stroop_FC_PCA75,0.7166692044107346,0.8162558706990963,0.7212030248965386,0.692235131836617,0.8458872172686477,0.8479877503589641,0.71148214974208
eNet_subc,0.7185516897324918,0.7884653499901891,0.7431152533721666,0.699382661124506,0.837941411102277,0.813401866300519,0.6784869538918051
eNet_surf,0.7220012174903976,0.7927737573364388,0.7356291807616689,0.6735099827471118,0.8369121825608535,0.8262022817233267,0.6967743749348553
rf_brainVol,0.717884743903054,0.8004725671719295,0.7418796903175747,0.6600036217179759,0.8452392616952599,0.8202087190003827,0.6964015468881843
rf_cort,0.7285987403253751,0.83367726979631,0.7782092664797079,0.6881807370741856,0.8793010930617174,0.836449571188684,0.7518409826326744
rf_facename,0.6840966390540676,0.8042154125302822,0.6921705081333095,0.6327556585576156,0.8115161973516956,0.812143992394124,0.6967159590632543
rf_facename_FC_PCA75,0.6985564534021189,0.8089071925593774,0.7266344289060647,0.6766163405926461,0.8482078434113705,0.9023628914397019,0.7066570146295884
rf_faces,0.7232279261119099,0.8355810209678645,0.7512649855044103,0.6856678298186308,0.8242187562965371,0.8475809267972725,0.7062960273054538
rf_faces_FC_PCA75,0.745833892389562,0.8290918336411792,0.7505210760642416,0.6978321129881295,0.8618331538829815,0.858678396610572,0.7303055130073992
rf_mid,0.7542988907991747,0.8386099631303529,0.7582962615144037,0.7064062829089663,0.8781364487800823,0.8567489642558879,0.7582209262025331
rf_mid_FC_PCA75,0.7410256905094292,0.822300326732208,0.7548049847358205,0.6712672395779892,0.8643671386762828,0.8490642806391536,0.7259760242552659
rf_rest_PCA75,0.726213021596903,0.8429357060605628,0.7396076992535278,0.6742630229816315,0.8506723355191994,0.8468948619541471,0.7361086086238257
rf_stroop,0.7279883604648915,0.81706930609184,0.7415862905349433,0.6952916836096285,0.8500123629312678,0.8170344002128594,0.7053580924033759
rf_stroop_FC_PCA75,0.7306977408447546,0.8160898274138276,0.7323859019599589,0.6870554021635173,0.8502317332568329,0.848973496234427,0.710733768848645
rf_subc,0.7187881396401948,0.7901424333522704,0.7565265789932446,0.6929031774230452,0.8456627804008349,0.8246911953422453,0.6884524814829153
rf_surf,0.7167971494163873,0.8079184612797806,0.733445297134787,0.669670046444402,0.8366549818808295,0.836100853323808,0.695163367115603
svr_brainVol,0.7316091797570342,0.788628526218909,0.7379601345732352,0.6633583512888563,0.8307903157675217,0.8156213369534641,0.6894467494878646
svr_cort,0.7135338026414899,0.830462436927789,0.7843619292100326,0.6776962091663025,0.8764062057134046,0.8470351837826257,0.738814978053452
svr_facename,0.6790269571077575,0.7881243911809279,0.6759831911156963,0.6176521529656485,0.7673870104577749,0.7894534298238431,0.6861132300165553
svr_facename_FC_PCA75,0.7083410035744521,0.7988174403270102,0.7092642879644295,0.6666166884702642,0.8256781417876373,0.8652621423013115,0.7134217425712944
svr_faces,0.7255408693895945,0.8163305543839541,0.7516252696181562,0.6521919063912368,0.7827823590777123,0.8254712584455861,0.7111271449158713
svr_faces_FC_PCA75,0.7449374090254275,0.8366510091127565,0.7664007980108819,0.6913705765441728,0.8707245937226824,0.8677549102890199,0.7366930804237299
svr_mid,0.7595481343040612,0.8410669871707042,0.7687364720598727,0.7194654821045624,0.882251732793449,0.8856158253425055,0.7538412937712864
svr_mid_FC_PCA75,0.7070509018144245,0.8135101634985239,0.7348760794801151,0.6600401992569088,0.8662107935292312,0.8399441275213998,0.7310940842638551
svr_rest_PCA75,0.7262129607709386,0.8407078612176777,0.7023129512572934,0.6498512405118014,0.8200630865254638,0.8364042028485917,0.7440600161602277
svr_stroop,0.72898817894582,0.8230203137725824,0.7068109647221751,0.6810045624286092,0.8173140620129495,0.777970320914875,0.6959957865160752
svr_stroop_FC_PCA75,0.6845936045292788,0.7873424392667384,0.7087385538419242,0.6982097711335362,0.841816102589526,0.8376677374720233,0.7012846602537038
svr_subc,0.717038457129738,0.7797047387999856,0.743858047642614,0.6998541971475072,0.8421490902894141,0.8054579989943154,0.6747051008230386
svr_surf,0.7221525238193186,0.7929544192605488,0.7374205292523185,0.6747829515184244,0.8413991652974798,0.8301065063132429,0.6922526659397003
xgb_brainVol,0.7381980946822011,0.7931072955319459,0.7453497527230674,0.6593473985534095,0.8378288173008336,0.8338369710573376,0.6923639397212079
xgb_cort,0.727129551432867,0.8423611512511774,0.7808813848603201,0.7409566219349694,0.8857862848225557,0.850318748438734,0.7567222900454129
xgb_facename,0.7020786272335093,0.7963435858032023,0.6862455958205902,0.6373643898270466,0.7809563616671343,0.7931481715402697,0.7228397971646376
xgb_facename_FC_PCA75,0.7092766560544791,0.8192036498866918,0.7197262390439236,0.6589803317741774,0.8586087283817773,0.9196220743981993,0.72259501608094
xgb_faces,0.7434218665093423,0.8363067832764168,0.7803677147877367,0.6940295334392773,0.8110862020325657,0.8446377787110083,0.735819242912918
xgb_faces_FC_PCA75,0.7524046843915743,0.8260369354102357,0.7345079039256015,0.6841763037662743,0.8616567345914864,0.856236734722929,0.7165892046095311
xgb_mid,0.7619102055508877,0.8340282769102211,0.7833151242258042,0.7268369601377318,0.8673082567857557,0.8609069647723786,0.7513788375406879
xgb_mid_FC_PCA75,0.7504690808617859,0.7985062243037556,0.7767030457081996,0.6724381302817812,0.8683836857122875,0.8588490865707187,0.7291288689642879
xgb_rest_PCA75,0.7265449917489443,0.843972219977625,0.7310890139401385,0.6766403967063768,0.7933140247500844,0.8405882319122254,0.7465606062704233
xgb_stroop,0.749140384715551,0.8299257458053352,0.7478742582099791,0.7177135757461033,0.8477233545347218,0.8096404041317948,0.7177662792187581
xgb_stroop_FC_PCA75,0.7379212536315682,0.813726590364235,0.7478058650408239,0.6892640691554095,0.8654601634579265,0.8642210714225981,0.716056162739473
xgb_subc,0.7255260766620599,0.7986386252796464,0.7619006189054366,0.714174558705181,0.8430783319781169,0.8240712177567536,0.6754522862581865
xgb_surf,0.7367113499686392,0.7939556586674469,0.7610768572329633,0.6730553287515151,0.8428476296154362,0.8489213107396296,0.6957489532267394
eNet_eNet_set1,0.6853568103692781,0.7330523663870444,0.624768510967841,0.6068078698568006,0.653638657355735,0.7620494702610552,0.6355144703886262
eNet_eNet_set2,0.712123627416443,0.7907915554396651,0.6912082382922624,0.6134565500488671,0.6960061117244307,0.8017754003994794,0.6983432301490298
eNet_eNet_set3,0.7329380258544612,0.8003590919203291,0.7094511628352033,0.656950239662222,0.7838076128185646,0.7913831024072264,0.6908041836484831
eNet_eNet_set4,0.7065088965411607,0.7774477617840747,0.7042010068776613,0.6618358597498388,0.8112185410023366,0.872612041481031,0.7080797693996346
eNet_eNet_set5,0.6622851088004031,0.7515725558258155,0.6458258257802365,0.6053346026189488,0.6820927891984496,0.7959719380978,0.6432803121597119
eNet_eNet_set6,0.7115962596950597,0.7415888642841401,0.652037424668844,0.6130004011122969,0.638177343356774,0.7624974505555139,0.627130553547183
eNet_eNet_set7,0.6949302473310784,0.7920311011024745,0.6870852190581087,0.6369998262638998,0.7587992529399638,0.8228717656099372,0.6887941176344222
eNet_eNet_set8,0.7099284304270502,0.7917108827575677,0.693245947079216,0.6390749068497421,0.793580170024032,0.8458907896138678,0.7136985113525348
