,Fold_0,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6
eNet_brainVol,0.6913720668244127,0.8073158154890157,0.8776565354156857,0.8352381397234969,0.8542653029280806,0.7686987208209403,0.734599758212623
eNet_cort,0.6893948130074037,0.7955720713536233,0.8766189631558726,0.8397855481324973,0.8626818267353374,0.7743272760983059,0.7371768448985334
eNet_facename,0.6905403924995968,0.7707973037865136,0.8807864434362996,0.8181092854371107,0.8589325340264241,0.7458407700602904,0.709415272450939
eNet_facename_FC_PCA75,0.6947325471336784,0.7948858070886253,0.8764828213828745,0.8417845984000758,0.8577983073664958,0.7795135493415336,0.738277179615876
eNet_faces,0.6883048690929533,0.7904015677686057,0.8870036171839376,0.8333713451847451,0.8443239365490903,0.7764535133516021,0.7382753716586411
eNet_faces_FC_PCA75,0.6979927091979297,0.7944552751965094,0.8886897237076986,0.8437316705626027,0.8501731713404733,0.7786533380902483,0.7338182974756841
eNet_mid,0.7013976960261994,0.7983877892380458,0.8769945384009566,0.8423618413244646,0.8534381341077741,0.7702771910959626,0.7478773949630316
eNet_mid_FC_PCA75,0.6970258483282746,0.7960958631869453,0.8751843730433836,0.843656265596515,0.8529027932057511,0.7699631686088941,0.7334766278704635
eNet_rest_PCA75,0.68831842431966,0.7853423106962946,0.8739727681048536,0.8366934715650151,0.8457223211724012,0.7716377368250913,0.7456098342065323
eNet_stroop,0.692540010979854,0.7959541257885517,0.8787191145611196,0.8434382717593146,0.8529027932057511,0.7702771910959626,0.7371768448985334
eNet_stroop_FC_PCA75,0.6949289879926497,0.7908498386809213,0.8800365523546334,0.8377801399010985,0.8522943876282726,0.7711718819168292,0.7494749702250219
eNet_subc,0.6951195213892011,0.8028206615899585,0.883541675120989,0.84205162577656,0.8525503629068494,0.770558489944955,0.7379214350409468
eNet_surf,0.7052212112349859,0.8045367711599583,0.8844446820960236,0.8434382717593146,0.8529027932057511,0.7689750869317512,0.7415888272932855
rf_brainVol,0.6995906912667569,0.8033806393204158,0.878985746474589,0.8378592984626098,0.8507907919382208,0.7661082164007462,0.7370044408986889
rf_cort,0.6902238183513084,0.8135085509868287,0.8774603197559602,0.8371620189524989,0.8712555683541595,0.7760853783579734,0.7321623948265916
rf_facename,0.6994635537032018,0.7828298217792296,0.8836816806787628,0.8296079726201737,0.8540808104393309,0.7368893405458343,0.7100179660591336
