,Fold_0,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6
eNet_brainVol,0.011443703960195228,-0.012212248055439856,0.007941730308074768,-0.05129080180002199,-0.03491504795842304,0.006885089636085917,0.013754647271615239
eNet_cort,0.00883232171881243,0.0008085424380919193,0.008205200740330265,-0.062138118046854096,-0.06398215399136897,-0.0029137753716956816,-0.000736069063814293
eNet_facename,0.017683646518422136,0.0500110819950953,0.026243881296115656,0.023243249699794966,-0.05190483721281325,0.0383013189837319,0.0706401926951521
eNet_facename_FC_PCA75,-0.020113171430685695,0.0004234054963820899,0.004415691027430113,-0.05567454311956421,-0.05290637963445377,-0.010627307332639946,-0.010109510190706716
eNet_faces,0.022326658213697836,-0.0037307215792321546,0.007069843646720586,-0.0348456294147137,-0.03142655043394016,-0.01975789205108769,0.01780702336509077
eNet_faces_FC_PCA75,-0.011884646565299972,-0.00392325118339798,-0.009555491667098126,-0.0544767463929694,-0.04389464583472957,-0.014864513943138924,0.004179672034722248
eNet_mid,-0.02406890396281347,-0.008157960548920373,0.0019289998212055348,-0.047696455116505554,-0.052663859166887095,-0.0002569688392046743,-0.015276161048300763
eNet_mid_FC_PCA75,-0.009240656238398204,-0.004902853670753382,0.0026896204106650057,-0.05939226793116559,-0.050182708904428885,-0.00019928975313177055,0.0072289917842638385
eNet_rest_PCA75,0.005102152925047343,0.015694658045148024,0.01725477311718404,-0.03478965648634169,-0.031054952874250752,0.0024210571120445445,-0.012132335803687777
eNet_stroop,-0.0003163544042767974,-0.005483032219100625,0.014361500151494733,-0.057002032719036366,-0.050182708904428885,-0.0002569688392046743,-0.000736069063814293
eNet_stroop_FC_PCA75,0.008961835763976134,0.00499081403044499,0.0037225356404448906,-0.04377177331885007,-0.04900486204501253,-0.0080424046209846,-0.01485847058299905
eNet_subc,-0.003350026360902758,-0.02382301859974456,-0.004586446052116777,-0.05060402668550301,-0.049362793427228935,-0.0003719790655101196,-0.0008961740096162796
eNet_surf,-0.020734744695309892,-0.015182330121848997,-0.0013693709504705165,-0.057002032719036366,-0.050182708904428885,0.003854937835390815,-0.009055445957920849
rf_brainVol,-0.014509587183350048,-0.016910671213655304,0.004736358509146665,-0.0407903611593603,-0.03900866162235306,0.013124153579449516,0.004632168133982484
