,Fold_0,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7
eNet_VolBrain,-0.028920079347188654,0.028479831407361322,0.03026740090303659,0.030877832586591047,-0.012673658761248596,0.0650697763952025,0.07994613747918089,0.06698717033977575
eNet_cort,0.028092799428537152,0.01844048649936958,0.0009192577130561208,0.01561712823292749,0.0018344555153331221,0.030226580270026893,-0.015739799668061716,0.024853369489008847
eNet_emo,-0.0010877478183897171,0.05712713209013587,0.08918230710753983,0.08924696485853745,-0.034236112659128626,0.004025798162169414,0.029131228084029015,0.1370202198915319
eNet_gam,-0.0015033892050160258,-0.0010502353519512564,-0.0027529246126456464,-0.024440412850028848,-0.0017872500088227383,-0.004004126016297294,-0.04234795599883867,-0.002039878299436859
eNet_gam_FC_PCA75,0.05882308608288611,0.045003712716245814,0.04614947213464893,0.08730944560778453,0.026318636620694114,0.11076630504536988,0.09887482660435643,0.09898244183834015
eNet_lan,0.16556691301996684,0.11803531531988865,0.17223834504396374,0.08721314469871821,0.01653671476733609,0.12703828053270116,0.20730896736823856,0.2332549254735835
eNet_lan_FC_PCA75,0.16065200819272407,0.11086963412790773,0.08727326472123642,0.15127208620723054,0.04601986467904118,0.18312592704173125,0.1669303627367631,0.10986322325584452
eNet_mot,0.11354817053081112,0.04659087955662955,0.0745028150982282,0.10608099293730533,-0.0009764812473400664,0.04900780775443503,0.012627533644745226,0.06201153414739746
eNet_mot_FC_PCA75,0.11944810826761854,0.06650729692918855,0.11701753334956588,0.08465527486015534,0.08438768956222276,0.059620224802127364,0.10550109880102743,0.12401550086331437
eNet_rel,0.052026092242230315,0.06264525612794791,0.02008684373629288,0.13348572374073897,0.17847381748893187,0.10234186953100133,0.1514921176406402,0.093371082261957
eNet_rel_FC_PCA75,0.10977479500449383,0.06503775449644777,0.13198816953834758,0.09226478728494891,0.030811302528192752,0.11842702406512828,0.0722122873985529,0.08151653749095367
eNet_rest_PCA75,0.06535697886331282,0.055097645558569,0.09715447326995474,0.10006684502351582,0.04831350076271834,0.06728004698027867,0.05149509526654994,0.10307797316437284
eNet_soc,0.08871222374776522,-0.0005203609024853062,0.08203385161419796,0.04829346264893386,0.07744315523952916,0.023971857341728686,-0.003999856603450258,0.04815061523961117
eNet_soc_FC_PCA75,0.21067816339099976,0.13230269284647567,0.19721440450989247,0.11450633970892365,0.11723251068061802,0.17790682353727338,0.15784239062041583,0.14481223406728516
eNet_subc,-0.08046731524141393,0.062340801792965306,0.007331578390073923,0.03025581653859033,-0.03947068442532786,0.05081655396813578,0.019652184792547156,0.010890610837670733
eNet_surf,-0.010510381684147863,0.02875281681925257,0.05701963621256401,0.09821162923168769,0.0405128943961911,0.07857400646547508,0.028739994513839684,0.10277463182237123
eNet_wm,0.3009207660716927,0.23639511156959725,0.2603570626837458,0.22884701500068538,0.1280541141289907,0.17022445341152437,0.24347475922786388,0.3112326300125574
eNet_wm_FC_PCA75,0.13278080377199764,0.12198863746081146,0.21940863438940883,0.2267441231961741,0.08726296692874147,0.23000399942800454,0.2347659874608975,0.23881709480695879
rf_VolBrain,-0.03349398801216985,0.06618649164544155,-0.04070813142170171,0.06523173294100293,0.001611729257893879,0.029374802554109625,0.06875029627944573,0.03311246280562985
rf_cort,0.013051228700884376,0.013900377358712634,0.006028183082114391,0.021780288982511498,0.009007143761346925,0.04241786869585862,-0.031098731020300363,0.015931908565977815
rf_emo,0.01526532956180815,0.018578778616541558,0.04673352946312059,0.048443781064665736,0.017873004002141757,0.039747344740796,0.018569565763858265,0.0876999334506271
rf_gam,0.034325149101611885,0.020164750961335298,-0.013497972605340358,0.0069453245937498576,0.0111301742098876,0.002378705875354603,-0.0061152649475568754,-0.006940675380209704
rf_gam_FC_PCA75,0.052506117241724715,0.023313674132442785,0.03146136571563096,0.0175672677695643,-0.0141049796658268,0.09221492801587772,0.11726671324988458,0.10753991093596593
rf_lan,0.16149593394706785,0.06654371072269094,0.18054339003296005,0.06534962271996803,0.028072878936898693,0.12727409374153476,0.11577505589681569,0.12556311074482474
